species,SRR539330,tax_id
ACTINOMYCES_SP._ICM47,0.22723322723322723,936548.0
HAEMOPHILUS_PARAINFLUENZAE,0.1304841304841305,729.0
PREVOTELLA_MELANINOGENICA,0.12434112434112433,28132.0
STREPTOCOCCUS_PARASANGUINIS,0.040297040297040294,1318.0
SCHAALIA_ODONTOLYTICA,0.037695037695037695,1660.0
VEILLONELLA_DISPAR,0.03533903533903534,39778.0
ROTHIA_MUCILAGINOSA,0.02196902196902197,43675.0
ACTINOMYCES_GRAEVENITZII,0.019575019575019576,55565.0
PREVOTELLA_NANCEIENSIS,0.018848018848018847,425941.0
CAMPYLOBACTER_CONCISUS,0.015424015424015424,199.0
STREPTOCOCCUS_SALIVARIUS,0.013874013874013874,1304.0
SCHAALIA_SP._ORNL0103,0.01375101375101375,2789426.0
VEILLONELLA_NAKAZAWAE,0.012995012995012996,2682456.0
CANDIDATUS_MINIMICROBIA_VALLESAE,0.01172101172101172,2841264.0
NEISSERIA_SUBFLAVA,0.0104000104000104,28449.0
NEISSERIA_FLAVESCENS,0.01006101006101006,484.0
ACTINOMYCES_SP._HMSC035G02,0.00917000917000917,1739406.0
STREPTOCOCCUS_SP._ACS2,0.007743007743007743,936576.0
ACTINOMYCES_SP._ICM54,0.006732006732006732,936549.0
ORIBACTERIUM_SINUS,0.006542006542006542,237576.0
STREPTOCOCCUS_INFANTIS,0.005498005498005498,68892.0
VEILLONELLA_TOBETSUENSIS,0.004903004903004903,1110546.0
VEILLONELLA_SP._AM51-8BH,0.004731004731004731,2292378.0
PREVOTELLA_PALLENS,0.004582004582004582,60133.0
ROTHIA_SP._HMSC061D12,0.004459004459004459,1715161.0
CANDIDATUS_NANOSYNBACTER_SP--HMT352,0.003736003736003736,2899133.0
VEILLONELLA_SP._S12025-13,0.003621003621003621,2682455.0
FUSOBACTERIUM_PSEUDOPERIODONTICUM,0.003538003538003538,2663009.0
VEILLONELLA_SP._ORAL-TAXON-158,0.003516003516003516,671228.0
ROTHIA_SP._HMSC071C12,0.003306003306003306,1739446.0
VEILLONELLA_SP._CLA-AA-H247,0.003239003239003239,2881272.0
CANDIDATUS_MINIMICROBIA_NAUDIS,0.00317000317000317,2841263.0
VEILLONELLA_SP._S13053-19,0.00313000313000313,2027456.0
VEILLONELLA_ATYPICA,0.002858002858002858,39777.0
VEILLONELLA_SP._T14073-2,0.002332002332002332,1911680.0
ROTHIA_SP._HMSC069C10,0.002179002179002179,1739346.0
VEILLONELLA_PARVULA,0.002167002167002167,29466.0
ACTINOMYCES_SP._ICM39,0.002098002098002098,1105029.0
VEILLONELLA_ROGOSAE,0.001873001873001873,423477.0
VEILLONELLA_INFANTIUM,0.001828001828001828,1911679.0
ROTHIA_SP._HMSC073B08,0.001795001795001795,1739388.0
ROTHIA_SP._HMSC076D04,0.001757001757001757,1739484.0
PREVOTELLA_SALIVAE,0.001722001722001722,228604.0
PREVOTELLA_HISTICOLA,0.001697001697001697,470565.0
VEILLONELLA_SP._T11011-6,0.001659001659001659,2027459.0
ROTHIA_SP._HMSC061C12,0.001624001624001624,1739547.0
NEISSERIA_SP._HMSC064D07,0.001488001488001488,1715087.0
PREVOTELLA_JEJUNI,0.001469001469001469,1177574.0
HAEMOPHILUS_SP._HMSC061E01,0.00144000144000144,1715211.0
STREPTOCOCCUS_SP._263-SSPC,0.001431001431001431,1579343.0
PORPHYROMONAS_PASTERI,0.001348001348001348,1583331.0
PREVOTELLA_BIVIA,0.001299001299001299,28125.0
ACTINOMYCES_SP._HPA0247,0.001279001279001279,1203556.0
