Genus,RA
Bordetella,0.558767754085018
Clostridium,0.2108091380019564
Bacteroides,0.1286426160601717
Phocaeicola,0.02225628514763251
Unclassified,0.02176435011390191
Lachnoclostridium,0.008631562217942788
Escherichia,0.008450892640515212
Lascolabacillus,0.007861196903674332
Ruminiclostridium,0.005828389381881647
Akkermansia,0.0054051299012051164
Burkholderia,0.004502389172834982
Eubacterium,0.004280032138559147
Ruminococcus,0.003451681311629321
Odoribacter,0.0032247618283116628
Butyrivibrio,0.0026633805125589167
Erysipelothrix,0.0013516077036822547
Achromobacter,0.0010399544157730157
Bifidobacterium,0.0002476990665651878
Petrimonas,0.0002403041145520156
Proteiniphilum,0.00011169846313670883
Parabacteroides,7.503924799727872e-05
Sphingobacterium,4.221492756969053e-05
Parapedobacter,4.152166623796924e-05
Shigella,3.7484220795400215e-05
Lachnobacterium,3.176444474037301e-05
Butyricicoccus,2.4628540555779888e-05
Anaerovorax,1.6420178360869167e-05
Cellulosilyticum,1.6265736512592465e-05
Geofilum,1.6237611319775302e-05
Enterobacter,1.3382410824397892e-05
Citrobacter,1.3351325084968398e-05
Hungatella,1.251077655928354e-05
Coprococcus,1.0375482315138422e-05
Klebsiella,8.899403116672764e-06
Pluralibacter,6.93113304390676e-06
Fusicatenibacter,6.506294605036986e-06
Defluviitalea,5.644035404195022e-06
Lelliottia,4.951020784691424e-06
Pseudoramibacter,4.291312314576571e-06
Longibacter,3.85043758155666e-06
Bacillus,3.3335754854868708e-06
Roseburia,3.138179409072898e-06
Prevotella,2.9129311543179014e-06
Cronobacter,2.8692630917859905e-06
Clostridioides,2.521892289272261e-06
Algoriphagus,2.3139138897558734e-06
Calonectria,2.0997676847971252e-06
Brevundimonas,2.0955735770963204e-06
Lapidilactobacillus,1.7536304433718678e-06
Paeniglutamicibacter,1.727972372731649e-06
Vibrio,1.7262453872077883e-06
Salmonella,1.6981201943906254e-06
Xanthomonas,1.5614416257879222e-06
Caballeronia,1.556013956998645e-06
Pseudomonas,1.4630034509278524e-06
Penicillium,1.4403059268999667e-06
Blastococcus,1.4222959350082748e-06
Leclercia,1.4158814173482202e-06
Brachymonas,1.3278051556313157e-06
Trinickia,1.309301739304235e-06
Xylaria,1.251571080363743e-06
Streptomyces,1.2458966993567715e-06
Nocardia,1.2355347862136063e-06
Gigaspora,1.2066694567433603e-06
Geosiphon,1.1997615146479168e-06
Pantoea,1.1699093363068932e-06
Hafnia,1.0719645858822124e-06
Anaeromyxobacter,1.067030341528324e-06
Muribaculum,1.0189214590779142e-06
Ampelomyces,1.0075726970639714e-06
Xenophilus,9.922765395669178e-07
Fusarium,9.641513467497552e-07
Hathewaya,9.53296009171201e-07
Cyclospora,8.733612506382121e-07
Acidovorax,8.301866125416903e-07
Variovorax,8.104496351261376e-07
Alcaligenes,7.717158169481152e-07
Ottowia,7.537058250564231e-07
Nocardioides,7.502518540087015e-07
Trabulsiella,7.324885743347039e-07
Phytophthora,7.009094104698194e-07
Rhizobacter,6.870935262789324e-07
Castellaniella,6.86846814061238e-07
Chondromyces,6.861066774081547e-07
Chaetomium,6.814191452719609e-07
Actinomadura,6.629157289448802e-07
Dictyostelium,6.394780682639113e-07
Paraburkholderia,6.325701261684678e-07
Pusillimonas,6.308431406446069e-07
Colletotrichum,6.231950618960802e-07
Saccharomycopsis,6.177673931068032e-07
Cohnella,5.654644029555882e-07
Pseudovirgaria,5.215496282059832e-07
Massilia,5.180956571582614e-07
Lysinibacillus,5.040330607496801e-07
Janthinobacterium,5.035396363142913e-07
Novosphingobium,5.020593630081247e-07
Micromonospora,4.968784064365421e-07
Arthrobacter,4.764012923679061e-07
Butyricimonas,4.4605568959149363e-07
Aphanomyces,4.40874733019911e-07
Serratia,4.088021447196377e-07
Parahaliea,4.036211881480551e-07
Devosia,3.989336560118613e-07
Aidingimonas,3.964665338349172e-07
Streptacidiphilus,3.9251913835180663e-07
Pandoraea,3.883250306510017e-07
Mycobacterium,3.8339078629711347e-07
Verminephrobacter,3.742624342424203e-07
Roseomonas,3.7352229758933704e-07
Porphyromonas,3.688347654531433e-07
Aureimonas,3.4095628485367493e-07
Marinobacter,3.14558077560373e-07
Thermomucor,2.948211001448202e-07
Candidimonas,2.126659316525816e-07
Xylella,3.700683265416153e-08
Hydrogenophaga,0.0
