species,S2_GItract_HiSeq_cami,tax_id
BORDETELLA_PERTUSSIS,0.3268966731033269,520
ACHROMOBACTER_XYLOSOXIDANS,0.21932878067121933,85698
CLOSTRIDIUM_BOTULINUM,0.1005968994031006,1491
ROSEBURIA_HOMINIS,0.0727009272990727,301301
CLOSTRIDIUM_PERFRINGENS,0.05944094055905944,1502
CLOSTRIDIUM_SCATOLOGENES,0.04814095185904814,1548
BACTEROIDES_FRAGILIS,0.04379095620904379,817
BACTEROIDES_THETAIOTAOMICRON,0.034070965929034074,818
PHOCAEICOLA_DOREI,0.020844979155020846,357276
CLOSTRIDIUM_CELLULOVORANS,0.01952998047001953,1493
CLOSTRIDIUM_BUTYRICUM,0.013225986774013225,1492
UNCLASSIFIED,0.008448991551008448,12908
CLOSTRIDIUM_ACETICUM,0.007237992762007238,84022
ACETIVIBRIO_THERMOCELLUS,0.006398993601006399,1515
PARABACTEROIDES_DISTASONIS,0.003345996654003346,823
CLOSTRIDIUM_PASTEURIANUM,0.00305999694000306,1501
DESULFOCURVIBACTER_AFRICANUS,0.002791997208002792,873
BUTYRIVIBRIO_HUNGATEI,0.002248997751002249,185008
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.002177997822002178,169679
THERMOCLOSTRIDIUM_STERCORARIUM,0.001978998021001979,1510
PHOCAEICOLA_VULGATUS,0.000886999113000887,821
BORDETELLA_HOLMESII,0.000813999186000814,35814
MURIBACULUM_INTESTINALE,0.000737999262000738,1796646
BACTEROIDES_UNIFORMIS,0.000352999647000353,820
CLOSTRIDIUM_SPOROGENES,0.000321999678000322,1509
BACTEROIDES_EGGERTHII,9.1999908000092e-05,28111
DOREA_LONGICATENA,8.4999915000085e-05,88431
PARABACTEROIDES_SP._ZJ-118,7.6999923000077e-05,2709398
BACTEROIDES_SP._AM23-18,7.1999928000072e-05,2292943
CLOSTRIDIUM_SP._AF36-18BH,2.5999974000026e-05,2293014
CLOSTRIDIOIDES_DIFFICILE,2.4999975000025e-05,1496
BACTEROIDES_OVATUS,2.4999975000025e-05,28116
CLOSTRIDIUM_SP._P21,2.2999977000023e-05,2716538
CLOSTRIDIUM_TARANTELLAE,2.1999978000022e-05,39493
BACTEROIDES_FAECIS,1.7999982000018e-05,674529
BACTEROIDES_XYLANISOLVENS,1.6999983000016998e-05,371601
CUPRIAVIDUS_SP._D384,1.0999989000011e-05,1538095
PARABACTEROIDES_SP._CH2-D42-20,9.99999000001e-06,2320086
BACTEROIDES_SALYERSIAE,9.99999000001e-06,291644
ECHINICOLA_ROSEA,8.999991000009e-06,1807691
BORDETELLA_BRONCHISEPTICA,7.999992000008e-06,518
PARABACTEROIDES_MERDAE,6.999993000007e-06,46503
PARABACTEROIDES_SP._D26,4.999995000005e-06,658662
PARABACTEROIDES_JOHNSONII,4.999995000005e-06,387661
BACTEROIDES_RODENTIUM,4.999995000005e-06,691816
BUTYRICIMONAS_VIROSA,4.999995000005e-06,544645
PARABACTEROIDES_SP._52,3.999996000004e-06,2302940
BACTEROIDES_FAECALIS,3.999996000004e-06,2447885
PREVOTELLA_COPRI,2.999997000003e-06,165179
CLOSTRIDIUM_NEONATALE,2.999997000003e-06,137838
BARNESIELLA_SP._GGCC-0306,2.999997000003e-06,2731211
BACTEROIDES_SP._AM41-16,2.999997000003e-06,2292952
CLOSTRIDIUM_SP._L74,2.999997000003e-06,1560217
PARABACTEROIDES_SP._AF39-10AC,2.999997000003e-06,2293117
PARABACTEROIDES_SP._D13,2.999997000003e-06,563193
PHOCAEICOLA_COPROCOLA,1.999998000002e-06,310298
BACTEROIDES_INTESTINALIS,1.999998000002e-06,329854
CLOSTRIDIUM_GRANTII,1.999998000002e-06,40575
BACTEROIDES_CELLULOSILYTICUS,1.999998000002e-06,246787
CLOSTRIDIUM_AKAGII,1.999998000002e-06,91623
CLOSTRIDIUM_LIQUORIS,1.999998000002e-06,1289519
PARABACTEROIDES_SP._20-3,1.999998000002e-06,469591
CLOSTRIDIUM_COMBESII,1.999998000002e-06,39481
CLOSTRIDIUM_NIAMEYENSE,1.999998000002e-06,1622073
CLOSTRIDIUM_TEPIDUM,1.999998000002e-06,1962263
STAPHYLOCOCCUS_SP._HMSC062A01,9.99999000001e-07,1715194
CLOSTRIDIUM_PUNICEUM,9.99999000001e-07,29367
CHLOROHERPETON_THALASSIUM,9.99999000001e-07,100716
CLOSTRIDIUM_AMYLOLYTICUM,9.99999000001e-07,1121298
BACTEROIDES_STERCORIS,9.99999000001e-07,46506
BACTEROIDES_TOGONIS,9.99999000001e-07,1917883
SALMONELLA_ENTERICA,9.99999000001e-07,28901
PARABACTEROIDES_SP._AF27-14,9.99999000001e-07,2293116
PARABACTEROIDES_GOLDSTEINII,9.99999000001e-07,328812
PARABACTEROIDES_ACIDIFACIENS,9.99999000001e-07,2290935
CLOSTRIDIUM_CELATUM,9.99999000001e-07,36834
CLOSTRIDIUM_PEPTIDIVORANS,9.99999000001e-07,100174
PARABACTEROIDES_SP._OF01-14,9.99999000001e-07,2293123
BACTEROIDES_PROPIONICIFACIENS,9.99999000001e-07,392838
PHOCAEICOLA_MASSILIENSIS,9.99999000001e-07,204516
ALISTIPES_PUTREDINIS,9.99999000001e-07,28117
CLOSTRIDIUM_SP._KNHS214,9.99999000001e-07,1540257
CLOSTRIDIUM_ZEAE,9.99999000001e-07,2759022
CLOSTRIDIUM_SACCHAROPERBUTYLACETONICUM,9.99999000001e-07,36745
BACTEROIDES_SP._2-1-33B,9.99999000001e-07,469589
BACTEROIDES_SP._OM05-10AA,9.99999000001e-07,2292282
CLOSTRIDIUM_SP._NCR,9.99999000001e-07,1538552
ENTEROBACTER_MORI,0.0,539813
ESCHERICHIA_SP._MOD1-EC5189,0.0,2093864
ENTEROBACTER_SP._ENT03,0.0,2854780
CLOSTRIDIUM_LUNDENSE,0.0,319475
ESCHERICHIA_ALBERTII,0.0,208962
ESCHERICHIA_SP._MOD1-EC4550,0.0,2093861
CLOSTRIDIUM_LUTICELLARII,0.0,1691940
ESCHERICHIA_COLI,0.0,562
ESCHERICHIA_FERGUSONII,0.0,564
CLOSTRIDIUM_MAGNUM,0.0,33954
CLOSTRIDIUM_LJUNGDAHLII,0.0,1538
ESCHERICHIA_SP._HH41S,0.0,2508714
ESCHERICHIA_SP._KTE114,0.0,1169321
ENTEROBACTER_SP._RIT-418,0.0,2202164
ENTEROBACTER_LUDWIGII,0.0,299767
ESCHERICHIA_SP._E4742,0.0,2044467
ENTEROBACTER_SP._SECR19-1250,0.0,2749084
ENTEROBACTER_ASBURIAE,0.0,61645
ESCHERICHIA_SP._E3659,0.0,2044462
ESCHERICHIA_SP._E13S3,0.0,2484854
ESCHERICHIA_SP._94-0001,0.0,2723312
ESCHERICHIA_SP._93-0816,0.0,2723308
ENTEROBACTER_CLOACAE,0.0,550
ERYSIPELOTHRIX_RHUSIOPATHIAE,0.0,1648
ENTEROBACTER_HORMAECHEI,0.0,158836
CLOSTRIDIUM_MASSILIAMAZONIENSE,0.0,1347366
DUGANELLA_SP._LEAF126,0.0,1736266
CLOSTRIDIUM_TAENIOSPORUM,0.0,394958
CLOSTRIDIUM_MONILIFORME,0.0,39489
DICTYOSTELIUM_ROSARIUM,0.0,306026
CLOSTRIDIUM_TEPIDIPROFUNDI,0.0,420412
CLOSTRIDIUM_SYMBIOSUM,0.0,1512
CLOSTRIDIUM_TETANI,0.0,1513
CLOSTRIDIUM_TETANOMORPHUM,0.0,1553
CLOSTRIDIUM_SEPTICUM,0.0,1504
CLOSTRIDIUM_THIOSULFATIREDUCENS,0.0,150336
CLOSTRIDIUM_SENEGALENSE,0.0,1465809
CLOSTRIDIUM_TYROBUTYRICUM,0.0,1519
CLOSTRIDIUM_ULIGINOSUM,0.0,119641
CLOSTRIDIUM_VINCENTII,0.0,52704
CLOSTRIDIUM_SARTAGOFORME,0.0,84031
ESCHERICHIA_WHITTAMII,0.0,2762229
CLOSTRIDIUM_ROSEUM,0.0,36839
COHNELLA_LUPINI,0.0,1294267
COLLETOTRICHUM_SPINOSUM,0.0,1347390
CLOSTRIDIUM_RECTALIS,0.0,2040295
COPROCOCCUS_SP._AF21-14LB,0.0,2292231
CLOSTRIDIUM_RAGSDALEI,0.0,217158
CLOSTRIDIUM_PUTREFACIENS,0.0,99675
CLOSTRIDIUM_POLYNESIENSE,0.0,1325933
CLOSTRIDIUM_POLYENDOSPORUM,0.0,69208
CRONOBACTER_DUBLINENSIS,0.0,413497
CLOSTRIDIUM_PASCUI,0.0,46609
CLOSTRIDIUM_PARAPUTRIFICUM,0.0,29363
CYCLOSPORA_CAYETANENSIS,0.0,88456
DEFLUVIITALEA_PHAPHYPHILA,0.0,1473580
DEVOSIA_SP._ROOT105,0.0,1736423
ESCHERICHIA_MARMOTAE,0.0,1499973
MARINOBACTER_SP._YWL01,0.0,1766722
EUBACTERIUM_SP._1001713B170207-170306-E7,0.0,2787097
PSEUDOMONAS_SP._R3-18-08,0.0,1173283
RUMINOCOCCUS_SP._AF42-10,0.0,2293180
ROSEOMONAS_SELENITIDURANS,0.0,2716335
ROSEOMONAS_SP._HJA6,0.0,2846776
ROSEBURIA_SP._AM59-24XD,0.0,2293138
RHIZOBACTER_GUMMIPHILUS,0.0,946333
PUSILLIMONAS_THIOSULFATOXIDANS,0.0,2028345
PSEUDOVIRGARIA_HYPERPARASITICA,0.0,470096
PSEUDORAMIBACTER_ALACTOLYTICUS,0.0,113287
PSEUDOMONAS_MANGROVI,0.0,2161748
PROTEINIPHILUM_SACCHAROFERMENTANS,0.0,1642647
SACCHAROMYCOPSIS_SCHOENII,0.0,44080
PROTEINIPHILUM_ACETATIGENES,0.0,294710
PREVOTELLA_TIMONENSIS,0.0,386414
PREVOTELLA_MELANINOGENICA,0.0,28132
PREVOTELLA_BIVIA,0.0,28125
PORPHYROMONAS_GINGIVALIS,0.0,837
PLURALIBACTER_GERGOVIAE,0.0,61647
PHYTOPHTHORA_X_ALNI,0.0,299392
PHOCAEICOLA_SARTORII,0.0,671267
PHOCAEICOLA_SALANITRONIS,0.0,376805
RUMINOCOCCUS_ALBUS,0.0,1264
SHIGELLA_BOYDII,0.0,621
