"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_petrii","LKT__s__Bordetella_petrii",894992101,100,894992101,22.08,194,5367247,403221,95316,177,27289,1.08,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_pertussis","LKT__s__Bordetella_pertussis",835702896,100,1730694997,42.7,361,3802731,75903,28681,320,8405,0.93,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_pseudohinzii","LKT__s__Bordetella_pseudohinzii",411163158,100,2141858155,52.84,85,4573314,729366,179036,77,68516,1.01,3
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_thetaiotaomicron","LKT__s__Bacteroides_thetaiotaomicron",372883492,100,2514741647,62.04,94,6109423,468159,146311,82,43315,0.96,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_aceticum","LKT__s__Clostridium_aceticum",287400839,100,2802142486,69.13,78,4170020,526014,130267,68,35183,1,2
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_fragilis","LKT__s__Bacteroides_fragilis",145504600,100,2947647086,72.72,574,5774287,216225,78925,551,4006,1.1,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_butyricum","LKT__s__Clostridium_butyricum",134297934,100,3081945020,76.04,96,4488686,297975,97382,83,25866,0.98,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_scatologenes","LKT__s__Clostridium_scatologenes",120018047,100,3201963067,79,261,5796504,153405,49825,222,13502,1.01,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_pasteurianum","LKT__s__Clostridium_pasteurianum",104783928,100,3306746995,81.58,137,4251423,202891,70626,119,16541,0.98,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_botulinum","LKT__s__Clostridium_botulinum",85666966,100,3392413961,83.69,6358,10512748,26555,2246,5148,716,2.71,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_bronchiseptica","LKT__s__Bordetella_bronchiseptica",81482224,100,3473896185,85.71,329,1558459,88523,16354,302,1468,0.3,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola_salanitronis","LKT__s__Phocaeicola_salanitronis",51243842,100,3525140027,86.97,385,4237953,82630,19372,315,5641,0.98,4
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnoclostridium","s__Lachnoclostridium_phytofermentans","LKT__s__Lachnoclostridium_phytofermentans",34938291,100,3560078318,87.83,1534,4777565,18423,4486,1196,1523,1.01,3
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","s__Escherichia_coli","LKT__s__Escherichia_coli",34077815,100,3594156133,88.67,2602,4981219,16167,2643,2054,861,0.97,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_saccharobutylicum","LKT__s__Clostridium_saccharobutylicum",33564402,100,3627720535,89.5,2373,4969597,24677,2832,1838,996,0.99,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Lascolabacillus","s__Lascolabacillus_massiliensis","LKT__s__Lascolabacillus_massiliensis",31863833,100,3659584368,90.29,117,2625259,141449,42953,100,12868,0.93,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola_vulgatus","LKT__s__Phocaeicola_vulgatus",30362983,100,3689947351,91.04,806,3172085,29804,5792,636,1970,0.62,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_autoethanogenum","LKT__s__Clostridium_autoethanogenum",24655592,100,3714602943,91.64,518,2832278,32150,7944,410,2835,0.65,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Thermoclostridium","s__Thermoclostridium_stercorarium","LKT__s__Thermoclostridium_stercorarium",23624243,100,3738227186,92.23,656,2938693,35811,6810,520,2196,0.98,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_bronchialis","LKT__s__Bordetella_bronchialis",21945070,100,3760172256,92.77,3861,3710183,16657,1015,2616,587,0.63,0
