Species,RA,TAX_ID
Bordetella pertussis,0.254083,520
Bordetella petrii,0.181416,94624
Bordetella pseudohinzii,0.097345,1331258
Clostridium aceticum,0.07497899999999999,84022
Bacteroides thetaiotaomicron,0.066372,818
Clostridium butyricum,0.032429,1492
Bacteroides fragilis,0.030973,817
Clostridium botulinum,0.029805,1491
Clostridium pasteurianum,0.026549,1501
Clostridium scatologenes,0.022124,1548
Fermentimonas caenicola,0.013274,1562970
Bacteroides salanitronis,0.013274,376805
Bordetella bronchiseptica,0.013274,518
Clostridium autoethanogenum,0.009647,84023
Akkermansia muciniphila,0.00885,239935
Bacteroides vulgatus,0.00885,821
[Clostridium] stercorarium,0.00885,1510
Clostridium acetobutylicum,0.00885,1488
Escherichia coli,0.00885,562
Eubacterium limosum,0.00885,1736
Lachnoclostridium phytofermentans,0.008094,66219
Clostridium saccharobutylicum,0.0073939999999999995,169679
Bordetella holmesii,0.006979,35814
Achromobacter xylosoxidans,0.004425,85698
Bacteroides dorei,0.004425,357276
Erysipelothrix rhusiopathiae,0.004425,1648
Burkholderia multivorans,0.004425,87883
Clostridium carboxidivorans,0.004425,217159
Bifidobacterium animalis,0.004425,28025
Bordetella parapertussis,0.004425,519
Ruminococcus albus,0.004425,1264
Butyrivibrio hungatei,0.004425,185008
Clostridium cellulovorans,0.004425,1493
Odoribacter splanchnicus,0.004425,28118
Bordetella bronchialis,0.004425,463025
Clostridium tetani,0.003627,1513
Clostridium beijerinckii,0.0014099999999999998,1520
Cellulosilyticum lentocellum,0.000755,29360
Riemerella anatipestifer,0.0,34085
Bordetella sp. H567,0.0,1697043
Neisseria weaveri,0.0,28091
Actinomyces sp. oral taxon 414,0.0,712122
Burkholderia sp. RPE64,0.0,758793
Burkholderia cenocepacia,0.0,95486
Bacteroides helcogenes,0.0,290053
Staphylococcus xylosus,0.0,1288
Maribacter sp. T28,0.0,1836467
Streptococcus gordonii,0.0,1302
Clostridium estertheticum,0.0,238834
Prevotella sp. oral taxon 299,0.0,652716
Streptococcus oralis,0.0,1303
Gramella flava,0.0,1486245
Mannheimia varigena,0.0,85404
Zunongwangia profunda,0.0,398743
Streptococcus mitis,0.0,28037
Burkholderia stabilis,0.0,95485
Burkholderia gladioli,0.0,28095
Streptococcus parasanguinis,0.0,1318
Lachnoclostridium sp. YL32,0.0,1834196
Porphyromonas asaccharolytica,0.0,28123
Formosa sp. Hel1_33_131,0.0,1336794
Clostridium formicaceticum,0.0,1497
Burkholderia pseudomultivorans,0.0,1207504
Lacinutrix venerupis,0.0,1486034
Clostridioides difficile,0.0,1496
Ruminiclostridium sp. KB18,0.0,1834198
Polaribacter reichenbachii,0.0,996801
Parabacteroides sp. YL27,0.0,1834200
Erysipelotrichaceae bacterium I46,0.0,1834207
Treponema sp. OMZ 838,0.0,1539298
Treponema caldarium,0.0,215591
Tannerella forsythia,0.0,28112
Elizabethkingia anophelis,0.0,1117645
Flavobacteriaceae bacterium 3519-10,0.0,531844
Burkholderia sp. Bp5365,0.0,1740162
Streptococcus salivarius,0.0,1304
Lactobacillus reuteri,0.0,1598
Streptococcus agalactiae,0.0,1311
Streptococcus parauberis,0.0,1348
Streptococcus pneumoniae,0.0,1313
Streptococcus iniae,0.0,1346
Streptococcus pyogenes,0.0,1314
Streptococcus intermedius,0.0,1338
Streptobacillus moniliformis,0.0,34105
Paraburkholderia rhizoxinica,0.0,412963
Streptococcus equi,0.0,1336
Ethanoligenens harbinense,0.0,253239
Streptococcus dysgalactiae,0.0,1334
Streptococcus anginosus,0.0,1328
Treponema azotonutricium,0.0,150829
Sediminicola sp. YIK13,0.0,1453352
Candidatus Arthromitus sp. SFB-mouse-NL,0.0,1508644
Streptococcus uberis,0.0,1349
Clostridium perfringens,0.0,1502
Lactococcus lactis,0.0,1358
Atopobium parvulum,0.0,1382
