SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,38,0.9939,0.0025,7.6121,0.9516,0.0055,100.0000,0.3722
S1,biobakery4,40,0.9867,0.0027,11.1385,0.9456,0.0063,89.1892,3.0587
S1,jams,40,0.9515,0.0061,11.4275,0.8787,0.0110,97.2973,1.0105
S1,wgsa2,41,0.7407,0.0093,11.4746,0.8093,0.0251,97.2973,1.3530
S1,woltka,55,0.7408,0.0111,28.7515,0.6939,0.0223,86.4865,7.5475
S2,biobakery3,21,0.9602,0.0070,0.9101,0.9265,0.0189,100.0000,0.0000
S2,biobakery4,22,0.9243,0.0113,7.1138,0.8757,0.0243,95.2381,3.8344
S2,jams,22,0.9409,0.0106,4.4927,0.8830,0.0197,100.0000,0.0000
S2,wgsa2,25,0.6807,0.0167,5.8138,0.7913,0.0440,100.0000,2.7854
S2,woltka,31,0.7208,0.0220,25.3984,0.6593,0.0378,80.9524,29.4447
