SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,17,0.9922,0.0085,11.2984,0.9275,0.0154,94.1176,0.0000
S1,biobakery4,17,1.0000,0.0005,0.1640,0.9957,0.0008,100.0000,0.0000
S1,jams,19,0.9955,0.0052,6.4123,0.9509,0.0088,94.1176,0.7807
S1,wgsa2,18,0.9965,0.0044,5.3399,0.9602,0.0079,94.1176,0.0000
S1,woltka,24,0.9342,0.0130,19.6749,0.8444,0.0310,94.1176,2.1935
S2,biobakery3,13,0.9563,0.0141,5.6829,0.9082,0.0249,83.3333,0.4089
S2,biobakery4,12,0.9518,0.0147,0.9660,0.9115,0.0297,100.0000,0.0000
S2,jams,13,0.9526,0.0150,3.4164,0.9022,0.0256,100.0000,0.0000
S2,wgsa2,12,0.9652,0.0134,0.7733,0.9194,0.0224,100.0000,0.0000
S2,woltka,15,0.7358,0.0392,23.0943,0.7061,0.0737,75.0000,1.0188
