species,S2,tax_id
ACHROMOBACTER_DENITRIFICANS,0.0005865,32002
ACHROMOBACTER_RUHLANDII,0.0,72557
ACHROMOBACTER_XYLOSOXIDANS,0.144063,85698
AKKERMANSIA_MUCINIPHILA,0.0,239935
BACTEROIDES_DOREI,0.0194907,357276
BACTEROIDES_FRAGILIS,0.0417052,817
BACTEROIDES_SALANITRONIS,0.0,376805
BACTEROIDES_THETAIOTAOMICRON,0.0261301,818
BACTEROIDES_VULGATUS,0.0,821
BIFIDOBACTERIUM_ANIMALIS,0.0,28025
BORDETELLA_BRONCHIALIS,0.0,463025
BORDETELLA_BRONCHISEPTICA,0.0,518
BORDETELLA_HOLMESII,0.0,35814
BORDETELLA_PARAPERTUSSIS,0.0,519
BORDETELLA_PERTUSSIS,0.4156861,520
BORDETELLA_PETRII,0.0,94624
BORDETELLA_PSEUDOHINZII,0.0,1331258
BURKHOLDERIA_MULTIVORANS,0.0,87883
BUTYRIVIBRIO_HUNGATEI,0.0040872999999999994,185008
CELLULOSILYTICUM_LENTOCELLUM,0.0,29360
CLOSTRIDIUM_ACETICUM,0.0080308,84022
CLOSTRIDIUM_ACETOBUTYLICUM,0.0,1488
CLOSTRIDIUM_AUTOETHANOGENUM,0.0,84023
CLOSTRIDIUM_BEIJERINCKII,0.0,1520
CLOSTRIDIUM_BOTULINUM,0.0537304,1491
CLOSTRIDIUM_BUTYRICUM,0.0125953,1492
CLOSTRIDIUM_CARBOXIDIVORANS,0.0,217159
CLOSTRIDIUM_CELLULOVORANS,0.0171535,1493
CLOSTRIDIUM_DIOLIS,0.0,223919
CLOSTRIDIUM_PASTEURIANUM,0.0039658,1501
CLOSTRIDIUM_PERFRINGENS,0.0853951,1502
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.0033141,169679
CLOSTRIDIUM_SCATOLOGENES,0.0365772,1548
CLOSTRIDIUM_SPOROGENES,0.0031256,1509
CLOSTRIDIUM_TETANI,0.0,1513
DESULFOVIBRIO_AFRICANUS,0.0040894,873
ERYSIPELOTHRIX_RHUSIOPATHIAE,0.0,1648
ESCHERICHIA_COLI,0.0,562
EUBACTERIUM_LIMOSUM,0.0,1736
FERMENTIMONAS_CAENICOLA,0.0,1562970
HUNGATEICLOSTRIDIUM_THERMOCELLUM,0.0087907,1515
LACHNOCLOSTRIDIUM_PHYTOFERMENTANS,0.0,66219
MURIBACULUM_INTESTINALE,0.0026772000000000002,1796646
ODORIBACTER_SPLANCHNICUS,0.0,28118
PARABACTEROIDES_DISTASONIS,0.0059158,823
ROSEBURIA_HOMINIS,0.0985684,301301
RUMINOCOCCUS_ALBUS,0.0,1264
THERMOCLOSTRIDIUM_STERCORARIUM,0.0043221,1510
