TAX_ID,Species,RA,Source,SampleID
83334,ESCHERICHIA_COLI_O157-H7,0.088,Expected,EG
1280,STAPHYLOCOCCUS_AUREUS,0.088,Expected,EG
487,NEISSERIA_MENINGITIDIS,0.088,Expected,EG
59201,SALMONELLA_ENTERICA_SUBSP--ENTERICA,0.076,Expected,EG
470,ACINETOBACTER_BAUMANNII,0.076,Expected,EG
573,KLEBSIELLA_PNEUMONIAE,0.076,Expected,EG
1314,STREPTOCOCCUS_PYOGENES,0.072,Expected,EG
85698,ACHROMOBACTER_XYLOSOXIDANS,0.072,Expected,EG
624,SHIGELLA_SONNEI,0.072,Expected,EG
1351,ENTEROCOCCUS_FAECALIS,0.096,Expected,EG
29494,VIBRIO_FURNISSII,0.096,Expected,EG
1639,LISTERIA_MONOCYTOGENES,0.096,Expected,EG
446,LEGIONELLA_PNEUMOPHILA,0.0014,Expected,EG
644,AEROMONAS_HYDROPHILA,0.0014,Expected,EG
83334,ESCHERICHIA_COLI_O157-H7,0.304,Expected,MIX-A
1280,STAPHYLOCOCCUS_AUREUS,0.304,Expected,MIX-A
487,NEISSERIA_MENINGITIDIS,0.304,Expected,MIX-A
59201,SALMONELLA_ENTERICA_SUBSP--ENTERICA,0.026,Expected,MIX-A
470,ACINETOBACTER_BAUMANNII,0.026,Expected,MIX-A
573,KLEBSIELLA_PNEUMONIAE,0.026,Expected,MIX-A
1314,STREPTOCOCCUS_PYOGENES,0.0,Expected,MIX-A
85698,ACHROMOBACTER_XYLOSOXIDANS,0.0,Expected,MIX-A
624,SHIGELLA_SONNEI,0.0,Expected,MIX-A
1351,ENTEROCOCCUS_FAECALIS,0.00033,Expected,MIX-A
29494,VIBRIO_FURNISSII,0.00033,Expected,MIX-A
1639,LISTERIA_MONOCYTOGENES,0.00033,Expected,MIX-A
446,LEGIONELLA_PNEUMOPHILA,0.0047,Expected,MIX-A
644,AEROMONAS_HYDROPHILA,0.0047,Expected,MIX-A
83334,ESCHERICHIA_COLI_O157-H7,0.00035,Expected,MIX-B
1280,STAPHYLOCOCCUS_AUREUS,0.00035,Expected,MIX-B
487,NEISSERIA_MENINGITIDIS,0.00035,Expected,MIX-B
59201,SALMONELLA_ENTERICA_SUBSP--ENTERICA,0.301,Expected,MIX-B
470,ACINETOBACTER_BAUMANNII,0.301,Expected,MIX-B
573,KLEBSIELLA_PNEUMONIAE,0.301,Expected,MIX-B
1314,STREPTOCOCCUS_PYOGENES,0.029,Expected,MIX-B
85698,ACHROMOBACTER_XYLOSOXIDANS,0.029,Expected,MIX-B
624,SHIGELLA_SONNEI,0.029,Expected,MIX-B
1351,ENTEROCOCCUS_FAECALIS,0.0,Expected,MIX-B
29494,VIBRIO_FURNISSII,0.0,Expected,MIX-B
1639,LISTERIA_MONOCYTOGENES,0.0,Expected,MIX-B
446,LEGIONELLA_PNEUMOPHILA,0.0053,Expected,MIX-B
644,AEROMONAS_HYDROPHILA,0.0053,Expected,MIX-B
83334,ESCHERICHIA_COLI_O157-H7,0.02758,Expected,MIX-D
1280,STAPHYLOCOCCUS_AUREUS,0.02758,Expected,MIX-D
487,NEISSERIA_MENINGITIDIS,0.02758,Expected,MIX-D
59201,SALMONELLA_ENTERICA_SUBSP--ENTERICA,0.0,Expected,MIX-D
470,ACINETOBACTER_BAUMANNII,0.0,Expected,MIX-D
573,KLEBSIELLA_PNEUMONIAE,0.0,Expected,MIX-D
1314,STREPTOCOCCUS_PYOGENES,0.00023,Expected,MIX-D
85698,ACHROMOBACTER_XYLOSOXIDANS,0.00023,Expected,MIX-D
624,SHIGELLA_SONNEI,0.00023,Expected,MIX-D
1351,ENTEROCOCCUS_FAECALIS,0.3,Expected,MIX-D
