Species,RA
BACTEROIDES_UNIFORMIS,0.047
BLAUTIA_SP._NBRC-113351,0.045
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.053
PARABACTEROIDES_DISTASONIS,0.048
BACILLUS_SUBTILIS,0.052
STREPTOCOCCUS_MUTANS,0.069
PSEUDOMONAS_PUTIDA,0.039
LACTOBACILLUS_DELBRUECKII,0.036
ESCHERICHIA_COLI,0.056
FLAVONIFRACTOR_PLAUTII,0.037
STAPHYLOCOCCUS_EPIDERMIDIS,0.048
CUTIBACTERIUM_ACNES,0.05
BIFIDOBACTERIUM_LONGUM,0.1
ANAEROSTIPES_CACCAE,0.053
RUMINOCOCCUS_GNAVUS,0.056
MEGASPHAERA_MASSILIENSIS,0.048
MEGAMONAS_FUNIFORMIS,0.037
COLLINSELLA_AEROFACIENS,0.062
AKKERMANSIA_MUCINIPHILA,0.06
