TAX_ID,species,RA,Source,SampleID
820,BACTEROIDES_UNIFORMIS,0.047,Expected,expected
2877527,BLAUTIA_SP._NBRC-113351,0.045,Expected,expected
1531,ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.053,Expected,expected
823,PARABACTEROIDES_DISTASONIS,0.048,Expected,expected
1423,BACILLUS_SUBTILIS,0.052,Expected,expected
1309,STREPTOCOCCUS_MUTANS,0.069,Expected,expected
303,PSEUDOMONAS_PUTIDA,0.039,Expected,expected
1584,LACTOBACILLUS_DELBRUECKII,0.036,Expected,expected
562,ESCHERICHIA_COLI,0.056,Expected,expected
292800,FLAVONIFRACTOR_PLAUTII,0.037,Expected,expected
1282,STAPHYLOCOCCUS_EPIDERMIDIS,0.048,Expected,expected
1747,CUTIBACTERIUM_ACNES,0.05,Expected,expected
216816,BIFIDOBACTERIUM_LONGUM,0.1,Expected,expected
105841,ANAEROSTIPES_CACCAE,0.053,Expected,expected
33038,RUMINOCOCCUS_GNAVUS,0.056,Expected,expected
1232428,MEGASPHAERA_MASSILIENSIS,0.048,Expected,expected
437897,MEGAMONAS_FUNIFORMIS,0.037,Expected,expected
74426,COLLINSELLA_AEROFACIENS,0.062,Expected,expected
239935,AKKERMANSIA_MUCINIPHILA,0.06,Expected,expected
1309,Streptococcus mutans,0.1242936015632965,woltka,SRR17380246
562,Escherichia coli,0.1215252639454601,woltka,SRR17380246
1282,Staphylococcus epidermidis,0.0978860462351183,woltka,SRR17380246
1531,Clostridium clostridioforme,0.0797953785454553,woltka,SRR17380246
1423,Bacillus subtilis,0.0648156398028271,woltka,SRR17380246
1747,Cutibacterium acnes,0.051372702456008,woltka,SRR17380246
239935,Akkermansia muciniphila,0.0275626618034001,woltka,SRR17380246
623,Shigella flexneri,0.0227840819187716,woltka,SRR17380246
823,Parabacteroides distasonis,0.0222812188097804,woltka,SRR17380246
216816,Bifidobacterium longum,0.0216531410092145,woltka,SRR17380246
1263065,Clostridium clostridioforme CAG:132,0.0213341101610946,woltka,SRR17380246
