species,S1,tax_id
ACHROMOBACTER_DENITRIFICANS,3.47e-05,32002
ACHROMOBACTER_RUHLANDII,0.003785,72557
ACHROMOBACTER_XYLOSOXIDANS,0.0041382,85698
AKKERMANSIA_MUCINIPHILA,0.0071033,239935
BACTEROIDES_DOREI,0.004355,357276
BACTEROIDES_FRAGILIS,0.0307574,817
BACTEROIDES_SALANITRONIS,0.0133365,376805
BACTEROIDES_THETAIOTAOMICRON,0.066445,818
BACTEROIDES_VULGATUS,0.008471600000000001,821
BIFIDOBACTERIUM_ANIMALIS,0.0043118,28025
BORDETELLA_BRONCHIALIS,0.0046798000000000005,463025
BORDETELLA_BRONCHISEPTICA,0.0126942,518
BORDETELLA_HOLMESII,0.0077156,35814
BORDETELLA_PARAPERTUSSIS,0.0134369,519
BORDETELLA_PERTUSSIS,0.2775053,520
BORDETELLA_PETRII,0.1877456,94624
BORDETELLA_PSEUDOHINZII,0.09990650000000001,1331258
BURKHOLDERIA_MULTIVORANS,0.0024301,87883
BUTYRIVIBRIO_HUNGATEI,0.0042677999999999995,185008
CELLULOSILYTICUM_LENTOCELLUM,0.0006574,29360
CLOSTRIDIUM_ACETICUM,0.0734835,84022
CLOSTRIDIUM_ACETOBUTYLICUM,0.0083919,1488
CLOSTRIDIUM_AUTOETHANOGENUM,0.0088633,84023
CLOSTRIDIUM_BEIJERINCKII,0.0012604,1520
CLOSTRIDIUM_BOTULINUM,0.0128143,1491
CLOSTRIDIUM_BUTYRICUM,0.0297062,1492
CLOSTRIDIUM_CARBOXIDIVORANS,0.0041806,217159
CLOSTRIDIUM_CELLULOVORANS,0.0043617,1493
CLOSTRIDIUM_DIOLIS,0.0007134999999999999,223919
CLOSTRIDIUM_PASTEURIANUM,0.0245509,1501
CLOSTRIDIUM_PERFRINGENS,0.0,1502
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.0067681,169679
CLOSTRIDIUM_SCATOLOGENES,0.0209617,1548
CLOSTRIDIUM_SPOROGENES,0.0008673,1509
CLOSTRIDIUM_TETANI,0.0030129,1513
DESULFOVIBRIO_AFRICANUS,0.0,873
ERYSIPELOTHRIX_RHUSIOPATHIAE,0.0044313,1648
ESCHERICHIA_COLI,0.0082021,562
FERMENTIMONAS_CAENICOLA,0.0130155,1562970
HUNGATEICLOSTRIDIUM_THERMOCELLUM,0.0,1515
LACHNOCLOSTRIDIUM_PHYTOFERMENTANS,0.0057151,66219
MURIBACULUM_INTESTINALE,0.0,1796646
ODORIBACTER_SPLANCHNICUS,0.0046099,28118
PARABACTEROIDES_DISTASONIS,0.0,823
ROSEBURIA_HOMINIS,0.0,301301
RUMINOCOCCUS_ALBUS,0.0012839000000000001,1264
THERMOCLOSTRIDIUM_STERCORARIUM,0.0090283,1510
