genus,S2,tax_id
ACHROMOBACTER,0.1445875,222
AKKERMANSIA,0.0,239934
BACTEROIDES,0.0872822,816
BIFIDOBACTERIUM,0.0,1678
BORDETELLA,0.4155263,517
BURKHOLDERIA,0.0,32008
BUTYRIVIBRIO,0.0040836,830
CELLULOSILYTICUM,0.0,698776
CLOSTRIDIUM,0.22415680000000002,1485
DESULFOVIBRIO,0.0040888,872
ERYSIPELOTHRIX,0.0,1647
ESCHERICHIA,0.0,561
FERMENTIMONAS,0.0,1784836
HUNGATEICLOSTRIDIUM,0.008793,35829
LACHNOCLOSTRIDIUM,0.0,1506553
MURIBACULUM,0.0026777,1918540
ODORIBACTER,0.0,283168
PARABACTEROIDES,0.005917,375288
ROSEBURIA,0.0985582,841
RUMINOCOCCUS,0.0,1263
THERMOCLOSTRIDIUM,0.004329,2304691
