genus,S1,tax_id
ACHROMOBACTER,0.007988199999999999,222
AKKERMANSIA,0.0071148999999999995,239934
BACTEROIDES,0.12324539999999999,816
BIFIDOBACTERIUM,0.0043062,1678
BORDETELLA,0.6045483,517
BURKHOLDERIA,0.0023878,32008
BUTYRIVIBRIO,0.0042496,830
CELLULOSILYTICUM,0.0006807,698776
CLOSTRIDIUM,0.1990045,1485
DESULFOVIBRIO,0.0,872
ERYSIPELOTHRIX,0.0044541,1647
ESCHERICHIA,0.008275,561
EUBACTERIUM,1.15e-05,1730
FERMENTIMONAS,0.013058700000000001,1784836
HUNGATEICLOSTRIDIUM,0.0,35829
LACHNOCLOSTRIDIUM,0.0057297,1506553
MURIBACULUM,0.0,1918540
ODORIBACTER,0.004588999999999999,283168
PARABACTEROIDES,0.0,375288
ROSEBURIA,0.0,841
RUMINOCOCCUS,0.0013014,1263
THERMOCLOSTRIDIUM,0.009054600000000001,2304691
