species,SRR17380241,tax_id
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.08156107190123597,1531
ESCHERICHIA_COLI,0.07608573741641703,562
PARABACTEROIDES_DISTASONIS,0.07590934395908487,823
PSEUDOMONAS_PUTIDA,0.07429121438228643,303
BACTEROIDES_UNIFORMIS,0.0706216187005614,820
BIFIDOBACTERIUM_LONGUM,0.06789414761175494,216816
RUMINOCOCCUS_GNAVUS,0.06569483727958465,33038
BACILLUS_SUBTILIS,0.057360501324480354,1423
BLAUTIA_PRODUCTA,0.053262667191428706,33035
ANAEROSTIPES_CACCAE,0.049672601507807196,105841
MEGASPHAERA_MASSILIENSIS,0.042984944359589786,1232428
AKKERMANSIA_MUCINIPHILA,0.038407891007196444,239935
FLAVONIFRACTOR_PLAUTII,0.038234556395945196,292800
STREPTOCOCCUS_MUTANS,0.0366531329721176,1309
CUTIBACTERIUM_ACNES,0.0343110764895051,1747
COLLINSELLA_AEROFACIENS,0.030441636197160983,74426
STAPHYLOCOCCUS_EPIDERMIDIS,0.029942024670613257,1282
MEGAMONAS_FUNIFORMIS,0.025495482084338505,437897
LACTOBACILLUS_DELBRUECKII,0.019819283373540164,1584
BLAUTIA_SP._NSJ-175,0.014667166957936788,2931396
UNCLASSIFIED,0.013484413139987071,12908
AKKERMANSIA_PHAGE_DTMO-2021A,0.003204651077427551,2879120
