species,SRR17380242
Enterocloster clostridioformis,81132.0
Escherichia coli,75210.0
Parabacteroides distasonis,73930.0
Pseudomonas putida,74157.0
Bacteroides uniformis,67698.0
Bifidobacterium longum,67580.0
Ruminococcus gnavus,61980.0
Bacillus subtilis,56513.0
Blautia producta,56756.0
Anaerostipes caccae,48344.0
Megasphaera massiliensis,42692.0
Akkermansia muciniphila,42165.0
Flavonifractor plautii,38383.0
Streptococcus mutans,34396.0
Cutibacterium acnes,34306.0
Staphylococcus epidermidis,28742.0
Collinsella aerofaciens,30643.0
Megamonas funiformis,23400.0
Lactobacillus delbrueckii,19627.0
Blautia Unclassified NSJ 34,5971.0
Blautia Unclassified NBRC 113351,3367.0
Blautia Unclassified AF13 16,1348.0
Blautia marasmi,2206.0
Akkermansia phage DTMo 2021a,0.0
Staphylococcus aureus,419.0
Bacteroides thetaiotaomicron,469.0
Clostridioides difficile,321.0
Sporofaciens musculi,278.0
Parabacteroides Unclassified AF27 14,0.0
Bacteroides Unclassified 3 1 23,149.0
Bacteroides eggerthii,180.0
Eisenbergiella massiliensis,0.0
Campylobacter coli,90.0
Bacteroides intestinalis,165.0
Bacteroides fragilis,80.0
Staphylococcus Unclassified HMSC076E07,63.0
Enterococcus faecium,53.0
Blautia Unclassified AM47 4,66.0
Bacteroides finegoldii,0.0
Phocaeicola vulgatus,23.0
Blautia Unclassified AF34 10,23.0
Citrobacter Unclassified RHBSTW 00053,0.0
Paenibacillus ihbetae,10.0
Megamonas rupellensis,17.0
Blautia pseudococcoides,0.0
Bacteroides Unclassified AM32 11AC,0.0
Megamonas hypermegale,0.0
Bacteroides nordii,0.0
Clostridium Unclassified MCC353,14.0
Bacteroides Unclassified AF17 1,0.0
Mucispirillum schaedleri,3.0
