Species,RA
Streptococcus,0.1263507265339802
Escherichia,0.12105758079408728
Staphylococcus,0.11970470092559321
Lachnoclostridium,0.08592349281662794
Bacillus,0.07414370076647427
Akkermansia,0.06940940228510774
Cutibacterium,0.05313010657584751
Clostridium,0.044462137827034016
Shigella,0.04239866841698953
Bacteroides,0.03695321629636617
Anaerostipes,0.03635145422002145
Bifidobacterium,0.028133505264528628
Blautia,0.026062138486594413
Parabacteroides,0.025821181981695203
Collinsella,0.020141542528649546
Megasphaera,0.0126205579854908
Flavonifractor,0.011405665094410647
Megamonas,0.010469783607346687
Lactobacillus,0.009741273115584965
Pseudomonas,0.007679669567184753
Prevotella,0.002825912548453281
Ruminococcus,0.002435426759224397
Eubacterium,0.001892504412871269
Tyzzerella,0.001573745816618865
Roseburia,0.0015654579195477777
Coprococcus,0.0012773341679665142
Fusicatenibacter,0.0009669502530477223
Dorea,0.0009312819211501623
Alistipes,0.0008760003459220704
Erysipelatoclostridium,0.00081551171494251
Prevotellamassilia,0.0007411809940902955
Holdemania,0.0007146250097578055
Emergencia,0.0006629449814244795
Clostridioides,0.0006074030534088142
Citrobacter,0.0005522516545745091
Ruthenibacterium,0.0005418375430715719
Anaerotruncus,0.0005095537974124665
Klebsiella,0.0005031317619856552
Corynebacterium,0.0004928478268765047
Kluyvera,0.00048100177504191357
Propionibacterium,0.000459435885804581
Treponema,0.00045687575006010894
Hungatella,0.0004546627513657348
Coprobacillus,0.00044685216773853186
Barnesiella,0.00038675406594033154
Obesumbacterium,0.0003808093439574049
Odoribacter,0.0003526044586369499
Faecalitalea,0.0003483954219045128
Solobacterium,0.0003476577556730547
Salmonella,0.0003398471720458518
Enterobacter,0.0003346401162943832
Lactonifactor,0.00030847466114325336
Ruminiclostridium,0.0003029204683416868
Oscillibacter,0.0003014451358787707
Anaerosporobacter,0.0002799660309039627
Cronobacter,0.00027805677712842416
Phascolarctobacterium,0.00026434486364955683
Fournierella,0.00024499197310659846
Angelakisella,0.0002442543068751404
Subdoligranulum,0.00022403357370693726
Lamprocystis,0.0002184359887741085
Pseudoflavonifractor,0.00021496461827312941
Stomatobaculum,0.00021114611072205243
Butyricicoccus,0.0002088463277651538
Faecalibacterium,0.00020828223005874471
Bariatricus,0.00019673992314298927
Gabonia,0.0001958720805177445
Acinetobacter,0.0001940930031359927
Intestinimonas,0.00019201018083540527
Streptomyces,0.0001798603840819785
Porphyromonas,0.0001781680909627512
Lelliottia,0.00017547777882449242
Lachnoanaerobaculum,0.0001716158791421532
Culturomica,0.0001625903158396076
Intestinibacter,0.00014983302924850947
Mediterranea,0.0001486180495731668
Enterococcus,0.0001484010889168556
Sellimonas,0.0001452334633347122
Riemerella,0.00014510328694092547
Rikenella,0.00014336760169043593
Coprobacter,0.0001370323505261491
Bittarella,0.0001349929203568239
Eisenbergiella,0.00013217243182477842
Hymenobacter,0.00013043674657428888
Rhodococcus,0.00012874445345506156
Holdemanella,0.0001265314547606874
Veillonella,0.0001248391616414601
Oribacterium,0.00011733232293309284
Achromatium,0.00011472879505735853
Criibacterium,0.00011416469735094943
Butyrivibrio,0.00011151777734395289
Acetivibrio,0.00011086689537501932
Acidaminococcus,0.00011086689537501932
Trabulsiella,0.0001105197583249214
Leclercia,0.00011043297406239693
Neglecta,0.00010986887635598783
Pantoea,0.00010683142716763114
Catonella,0.00010626732946122203
Cellulomonas,0.00010579001601733741
Actinomyces,0.0001056598396235507
Hespellia,0.00010552966322976398
Kosakonia,0.00010388076224179892
Massilioclostridium,0.00010027921534703313
Alloprevotella,9.784925599634777e-05
Catabacter,9.507215959556451e-05
Johnsonella,8.990849597535814e-05
Raoultella,8.370342120485803e-05
Pluralibacter,8.123006972291044e-05
Eggerthella,8.044901136019013e-05
Fibrobacter,7.89302867660118e-05
Yokenella,7.780209135319359e-05
Selenomonas,7.528534773998376e-05
Senegalimassilia,7.528534773998376e-05
Helicobacter,7.120648740133335e-05
Actinobaculum,6.942741001958157e-05
Cyclobacterium,6.786529329414098e-05
Paraprevotella,6.569568673102906e-05
Gordonibacter,6.491462836830877e-05
Myroides,6.313555098655698e-05
Mobiluncus,5.53683594906163e-05
Traorella,5.463069325915825e-05
Faecalicoccus,5.324214505876662e-05
Merdibacter,5.120271488944141e-05
Luteimonas,5.08555778393435e-05
Raphidiopsis,4.964059816400082e-05
Methyloglobulus,4.8729363407493816e-05
Allobaculum,4.764456012593785e-05
Acidipropionibacterium,4.760116799467561e-05
Shewanella,4.72540309445777e-05
Shimwellia,4.721063881331547e-05
Pseudoramibacter,4.686350176321756e-05
Gemmata,4.412979749369653e-05
Gabonibacter,4.313177847466505e-05
Franconibacter,3.818507551076986e-05
Haemophilus,3.809829124824538e-05
Capnocytophaga,3.801150698572091e-05
Enorma,3.7751154198147474e-05
Robinsoniella,3.753419354183628e-05
Phocea,3.731723288552509e-05
Novosphingobium,3.397603877833273e-05
Pedobacter,3.306480402182572e-05
Leuconostoc,3.150268729638513e-05
Oxalobacter,3.137251090259842e-05
Rappaport,3.1242334508811706e-05
Acetitomaculum,3.0504668277353653e-05
Pseudobutyrivibrio,2.941986499579769e-05
Atlantibacter,2.9289688602010973e-05
Tannerella,2.9202904339486498e-05
Pediococcus,2.6989905645112335e-05
Siccibacter,2.6989905645112335e-05
Sphingobium,2.6859729251325618e-05
Gardnerella,2.5818318101031897e-05
Marinomonas,2.5297612525885033e-05
Microcystis,2.5254220394622795e-05
Erwinia,2.421280924432907e-05
Arthrospira,2.3258182356559825e-05
Sporomusa,2.282426104393744e-05
Devosia,2.2433731862577293e-05
Aquabacterium,2.2390339731315055e-05
Drancourtella,2.1999810549954908e-05
Methanosarcina,2.1652673499857e-05
Cedecea,2.1479104974808047e-05
Exiguobacterium,2.1045183662185662e-05
Serratia,2.0958399399661186e-05
Weissella,1.970002759305627e-05
Streptobacillus,1.93962826742206e-05
Oceanospirillum,1.9352890542958363e-05
Rhodobacter,1.9309498411696122e-05
Sanguibacteroides,1.8441655786451355e-05
Lysinibacillus,1.8441655786451355e-05
Morganella,1.7877558080042254e-05
Anaeroglobus,1.7790773817517778e-05
Pyramidobacter,1.7747381686255537e-05
Carnobacterium,1.77039895549933e-05
Xanthomonas,1.7487028898682106e-05
Alloscardovia,1.740024463615763e-05
Crocosphaera,1.6922931192273008e-05
Virgibacillus,1.683614692974853e-05
Turicibacter,1.6619186273437336e-05
Candidatus Stoquefichus,1.65757941421751e-05
Marvinbryantia,1.4970285285472275e-05
Mangrovibacter,1.479671676042332e-05
Mycobacterium,1.4449579710325413e-05
Tumebacillus,1.3885482003916313e-05
Enterorhabdus,1.3798697741391836e-05
Olsenella,1.3625129216342883e-05
Campylobacter,1.3538344953818405e-05
Butyricimonas,1.3364776428769452e-05
Enhygromyxa,1.3234600034982735e-05
Chlamydia,1.310442364119602e-05
Yersinia,1.3017639378671545e-05
Urmitella,1.2930855116147067e-05
Fermentimonas,1.2930855116147067e-05
Azotobacter,1.284407085362259e-05
Empedobacter,1.2670502328573635e-05
Varibaculum,1.2410149541000205e-05
Lachnobacterium,1.2193188884689013e-05
Macrococcus,1.197622822837782e-05
Rhodopseudomonas,1.1802659703328867e-05
Filifactor,1.1585699047017675e-05
Xenorhabdus,1.1498914784493197e-05
Libanicoccus,1.145552265323096e-05
Chryseobacterium,1.115177773439529e-05
Coriobacterium,1.0978209209346335e-05
Jeotgalicoccus,1.0674464290510667e-05
Dickeya,1.0457503634199474e-05
Cloacibacillus,1.028393510915052e-05
Lactococcus,1.0197150846626042e-05
Sphaerospermopsis,1.0153758715363804e-05
Salinicoccus,1.002358232157709e-05
Mucilaginibacter,9.763229534003657e-06
Caballeronia,9.676445271479182e-06
Buttiauxella,8.895386908758889e-06
Falsirhodobacter,8.895386908758889e-06
Pelosinus,8.85199477749665e-06
Peptoniphilus,8.808602646234412e-06
Thermosinus,8.765210514972172e-06
Comamonas,8.765210514972172e-06
Pontibacillus,8.721818383709934e-06
Slackia,8.548249858660981e-06
Anaerocolumna,8.461465596136504e-06
Negativicoccus,7.680407233416211e-06
Phaeodactylibacter,7.506838708367257e-06
Sphingomonas,7.506838708367257e-06
Oceanobacillus,7.203093789531588e-06
Dialister,6.85595673943368e-06
Moellerella,6.682388214384726e-06
Scardovia,6.682388214384726e-06
Sodalis,6.6389960831224875e-06
Lysobacter,6.595603951860249e-06
Nissabacter,6.508819689335772e-06
Actinotignum,6.508819689335772e-06
Centipeda,6.508819689335772e-06
Oblitimonas,6.465427558073534e-06
Neomicrococcus,6.378643295549056e-06
Proteiniphilum,6.378643295549056e-06
Pectobacterium,6.2050747705001025e-06
Sagittula,6.118290507975626e-06
Nitrolancea,6.031506245451149e-06
Aneurinibacillus,5.9013298516644335e-06
Rubripirellula,5.814545589139956e-06
Actinophytocola,5.640977064091002e-06
Murdochiella,5.640977064091002e-06
Candidatus Endoriftia,5.640977064091002e-06
Anaerobium,5.597584932828764e-06
Carboxydothermus,5.597584932828764e-06
Actinopolyspora,5.510800670304287e-06
Leucobacter,5.380624276517571e-06
Candidatus Magnetomorum,5.337232145255333e-06
Parasutterella,5.337232145255333e-06
Flammeovirga,5.207055751468617e-06
Desulfotalea,5.163663620206379e-06
Facklamia,5.163663620206379e-06
Planococcus,5.0334872264196635e-06
Succinispira,4.946702963895187e-06
Brenneria,4.946702963895187e-06
Pseudopropionibacterium,4.903310832632948e-06
Edwardsiella,4.85991870137071e-06
Sharpea,4.816526570108471e-06
Amphibacillus,4.7297423075839945e-06
Anaerosalibacter,4.686350176321756e-06
Neisseria,4.686350176321756e-06
Domibacillus,4.642958045059517e-06
Numidum,4.556173782535041e-06
Beduini,4.556173782535041e-06
Cellulosilyticum,4.512781651272802e-06
Novibacillus,4.469389520010563e-06
Candidatus Endobugula,4.469389520010563e-06
Sphingobacterium,4.252428863699371e-06
