SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,18,0.9157,0.0032,5.2605,0.8568,0.0059,100.0000,0.0076,bio4
SRR11487932,17,0.9028,0.0033,4.8354,0.8612,0.0062,100.0000,0.0000,bio4
SRR11487933,17,0.9066,0.0030,6.2762,0.8715,0.0058,100.0000,0.0000,bio4
SRR11487934,18,0.8966,0.0030,6.2508,0.8632,0.0060,100.0000,0.0477,bio4
SRR11487935,17,0.9113,0.0029,5.1244,0.8773,0.0056,100.0000,0.0000,bio4
Average,17,0.9066,0.0031,5.5495,0.8660,0.0059,100.0000,0.0111,bio4
SRR11487931,77,0.9164,0.0010,14.9851,0.8064,0.0033,100.0000,0.4273,jams
SRR11487932,69,0.9113,0.0011,14.8191,0.8038,0.0036,100.0000,0.4512,jams
SRR11487933,76,0.9217,0.0010,14.0203,0.8141,0.0031,100.0000,0.2885,jams
SRR11487934,77,0.9154,0.0010,15.3325,0.8073,0.0032,94.7368,0.5596,jams
SRR11487935,80,0.9268,0.0009,15.4668,0.8165,0.0030,100.0000,0.4081,jams
Average,76,0.9183,0.0010,14.9247,0.8096,0.0032,98.9474,0.4269,jams
SRR11487931,927,0.9163,0.0001,50.5351,0.7974,0.0011,100.0000,4.5421,wgsa
SRR11487932,953,0.9154,0.0001,51.5323,0.7968,0.0010,100.0000,4.7167,wgsa
SRR11487933,934,0.9237,0.0001,49.5463,0.8069,0.0010,100.0000,4.6914,wgsa
SRR11487934,881,0.9210,0.0001,49.2918,0.8041,0.0010,100.0000,4.6828,wgsa
SRR11487935,870,0.9264,0.0001,47.7650,0.8094,0.0010,100.0000,4.7712,wgsa
Average,913,0.9206,0.0001,49.7341,0.8029,0.0010,100.0000,4.6808,wgsa
SRR11487931,794,0.4110,0.0002,66.7347,0.5323,0.0025,100.0000,23.0676,wol
SRR11487932,812,0.3955,0.0002,67.8236,0.5247,0.0025,100.0000,23.2304,wol
SRR11487933,823,0.4048,0.0002,68.1628,0.5327,0.0024,100.0000,22.9984,wol
SRR11487934,793,0.4178,0.0002,65.7029,0.5387,0.0025,100.0000,22.7483,wol
SRR11487935,783,0.4116,0.0002,64.2886,0.5379,0.0025,100.0000,22.7526,wol
Average,801,0.4081,0.0002,66.5425,0.5333,0.0025,100.0000,22.9595,wol
