SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,18,0.9172,0.0153,5.9914,0.8547,0.0286,89.4737,0.0076,bio4
SRR11487932,17,0.9064,0.0149,5.6059,0.8588,0.0292,89.4737,0.0000,bio4
SRR11487933,17,0.9102,0.0138,6.8803,0.8691,0.0275,89.4737,0.0000,bio4
SRR11487934,18,0.8985,0.0146,6.5205,0.8610,0.0293,89.4737,0.0477,bio4
SRR11487935,17,0.9147,0.0132,5.8908,0.8749,0.0266,89.4737,0.0000,bio4
Average,17,0.9094,0.0143,6.1778,0.8637,0.0282,89.4737,0.0111,bio4
SRR11487931,76,0.9021,0.0191,9.1725,0.8156,0.0317,100.0000,3.3629,jams
SRR11487932,68,0.8961,0.0194,9.5318,0.8132,0.0324,100.0000,3.1428,jams
SRR11487933,75,0.9069,0.0184,8.8944,0.8227,0.0299,100.0000,3.3440,jams
SRR11487934,76,0.8996,0.0189,7.5433,0.8170,0.0312,94.7368,3.3965,jams
SRR11487935,79,0.9133,0.0180,8.8004,0.8255,0.0291,100.0000,3.4768,jams
Average,75,0.9036,0.0188,8.7885,0.8188,0.0308,98.9474,3.3446,jams
SRR11487931,926,0.9131,0.0163,5.1191,0.8265,0.0286,89.4737,21.9145,wgsa
SRR11487932,952,0.9118,0.0162,5.1981,0.8268,0.0287,89.4737,22.3837,wgsa
SRR11487933,933,0.9198,0.0154,4.9770,0.8356,0.0272,89.4737,21.8854,wgsa
SRR11487934,880,0.9169,0.0156,4.9541,0.8332,0.0277,89.4737,21.9640,wgsa
SRR11487935,869,0.9233,0.0152,4.9755,0.8382,0.0266,89.4737,21.7462,wgsa
Average,912,0.9170,0.0157,5.0448,0.8320,0.0278,89.4737,21.9788,wgsa
SRR11487931,188,0.3006,0.0371,3.7098,0.6015,0.0775,94.7368,23.0676,wol
SRR11487932,196,0.2847,0.0378,3.8185,0.5934,0.0790,94.7368,23.2304,wol
SRR11487933,205,0.2910,0.0371,3.6514,0.6017,0.0778,94.7368,22.9984,wol
SRR11487934,189,0.3057,0.0366,3.6864,0.6077,0.0767,94.7368,22.7483,wol
SRR11487935,198,0.2978,0.0367,3.6211,0.6068,0.0772,94.7368,22.7526,wol
Average,195,0.2959,0.0371,3.6975,0.6022,0.0776,94.7368,22.9595,wol
