genus,SRR17380243,tax_id
AKKERMANSIA,0.0486184,239934
ANAEROSTIPES,0.06502379999999999,207244
BACILLUS,0.0428317,1386
BACTEROIDES,0.0601781,816
BIFIDOBACTERIUM,0.1045613,1678
BLAUTIA,0.1298458,572511
COLLINSELLA,0.0523726,102106
CUTIBACTERIUM,0.0589554,1912216
ENORMA,0.0,1472762
ESCHERICHIA,0.0681166,561
FLAVONIFRACTOR,0.04008880000000001,946234
LACHNOCLOSTRIDIUM,0.06959,1506553
LACTOBACILLUS,0.0418919,1578
MEGAMONAS,0.0103224,158846
MEGASPHAERA,0.0100053,906
PARABACTEROIDES,0.0635889,375288
PSEUDOMONAS,0.0072972,286
STAPHYLOCOCCUS,0.0506051,1279
STREPTOCOCCUS,0.0761066,1301
