Genus,RA
Bifidobacterium,0.4057
Parabacteroides,0.1219
Bacteroides,0.1074
Prevotella,0.0873
Escherichia,0.0587
Clostridium,0.0286
Roseburia,0.011899999999999999
Alistipes,0.0108
Collinsella,0.009000000000000001
Anaerostipes,0.0079
Eubacterium,0.0076
Akkermansia,0.0014000000000000002
Citrobacter,0.0013
Faecalibacterium,0.001
Enterobacter,0.0009
Shigella,0.0007000000000000001
Klebsiella,0.0007000000000000001
Lactobacillus,0.0007000000000000001
Salmonella,0.0006
Staphylococcus,0.0004
Blautia,0.0003
Phocaeicola,0.0003
Kosakonia,0.0002
Leclercia,0.0002
Lelliottia,0.0001
Olsenella,0.0001
Limosilactobacillus,0.0001
Butyricimonas,0.0001
Coprococcus,0.0001
Kluyvera,0.0001
Pluralibacter,0.0001
Cedecea,0.0001
Raoultella,0.0001
Cronobacter,0.0001
Paraprevotella,0.0001
Eubacterium,0.0001
Leptolyngbya,0.0001
Hydrogenovibrio,0.0
Catenovulum,0.0
Marinobacter,0.0
Alteromonas,0.0
Pseudoalteromonas,0.0
Shewanella,0.0
Plasmodium,0.0
Thiothrix,0.0
Beggiatoa,0.0
Rhodanobacter,0.0
Arenimonas,0.0
Pseudoxanthomonas,0.0
Stenotrophomonas,0.0
Lysobacter,0.0
Acinetobacter,0.0
Moraxella,0.0
Xanthomonas,0.0
Vibrio,0.0
Thalassotalea,0.0
Oleiphilus,0.0
Kineobactrum,0.0
Allochromatium,0.0
Nitrosococcus,0.0
Caldichromatium,0.0
Thioalkalivibrio,0.0
Acidihalobacter,0.0
Litoricola,0.0
Gynuella,0.0
Hahella,0.0
Pistricoccus,0.0
Haemophilus,0.0
Kushneria,0.0
Halomonas,0.0
Marinomonas,0.0
Neptunomonas,0.0
Photobacterium,0.0
Methanobrevibacter,0.0
Histophilus,0.0
Pasteurella,0.0
Actinobacillus,0.0
Oblitimonas,0.0
Edwardsiella,0.0
Entomomonas,0.0
Candidatus Hamiltonella,0.0
Candidatus Riesia,0.0
Metakosakonia,0.0
Candidatus Profftia,0.0
Candidatus Moranella,0.0
Candidatus Mikella,0.0
Candidatus Annandia,0.0
Candidatus Doolittlea,0.0
Candidatus Blochmannia,0.0
Candidatus Hoaglandella,0.0
Shimwellia,0.0
Dickeya,0.0
Pseudescherichia,0.0
Phytobacter,0.0
Atlantibacter,0.0
Scandinavium,0.0
Jejubacter,0.0
Yokenella,0.0
Buttiauxella,0.0
Hendrixvirus,0.0
Siminovitchvirus,0.0
Pectobacterium,0.0
Lonsdalea,0.0
Nitrosopumilus,0.0
Erwinia,0.0
Sulfolobus,0.0
Pseudomonas,0.0
Ravinvirus,0.0
Spongiibacter,0.0
Pragia,0.0
Leminorella,0.0
Sodalis,0.0
Mixta,0.0
Buchnera,0.0
Pantoea,0.0
Brenneria,0.0
Arsenophonus,0.0
Proteus,0.0
Providencia,0.0
Xenorhabdus,0.0
Photorhabdus,0.0
Morganella,0.0
Ewingella,0.0
Yersinia,0.0
Serratia,0.0
Cellvibrio,0.0
Coxiella,0.0
Aeromonas,0.0
Desulfovibrio,0.0
Planctopirus,0.0
Methanoplanus,0.0
Isosphaera,0.0
Methanocorpusculum,0.0
Halobacteriovorax,0.0
Methanohalophilus,0.0
Methanococcoides,0.0
Natronomonas,0.0
Mariprofundus,0.0
Persicimonas,0.0
Syntrophotalea,0.0
Limnoglobus,0.0
Geoalkalibacter,0.0
Desulfonema,0.0
Desulfobulbus,0.0
Caminibacter,0.0
Nautilia,0.0
Nitratiruptor,0.0
Campylobacter,0.0
Helicobacter,0.0
Sulfurimonas,0.0
Methanobacterium,0.0
Symmachiella,0.0
Frigoriglobus,0.0
Paraoceanicella,0.0
Desulfurispirillum,0.0
Homo,0.0
Cryptococcus,0.0
Ustilago,0.0
Zygosaccharomyces,0.0
Tetrapisispora,0.0
Aspergillus,0.0
Pyricularia,0.0
Neurospora,0.0
Colletotrichum,0.0
Drechmeria,0.0
Candidatus Koribacter,0.0
Candidatus Kuenenia,0.0
Brachyspira,0.0
Borreliella,0.0
Borrelia,0.0
Sediminispirochaeta,0.0
Sphaerochaeta,0.0
Treponema,0.0
Dictyostelium,0.0
Fusobacterium,0.0
Leptotrichia,0.0
Parachlamydia,0.0
Hyphomonas,0.0
Dinoroseobacter,0.0
Tolumonas,0.0
Comamonas,0.0
Dechloromonas,0.0
Pseudogulbenkiania,0.0
Neisseria,0.0
Sutterella,0.0
Pusillimonas,0.0
Bordetella,0.0
Achromobacter,0.0
Collimonas,0.0
Janthinobacterium,0.0
Variovorax,0.0
Rhodoferax,0.0
Mesorhizobium,0.0
Ralstonia,0.0
Lautropia,0.0
Polynucleobacter,0.0
Cupriavidus,0.0
Burkholderia,0.0
Immundisolibacter,0.0
Methylomonas,0.0
Babesia,0.0
Aquicella,0.0
Oceanisphaera,0.0
Bartonella,0.0
Rhizobium,0.0
Sulfitobacter,0.0
Sphingomonas,0.0
Paracoccus,0.0
Azospirillum,0.0
Magnetospirillum,0.0
Thalassospira,0.0
Parasaccharibacter,0.0
Gluconobacter,0.0
Komagataeibacter,0.0
Orientia,0.0
Rickettsia,0.0
Novosphingobium,0.0
Altererythrobacter,0.0
Sinorhizobium,0.0
Erythrobacter,0.0
Brucella,0.0
Labrys,0.0
Kaistia,0.0
Pseudorhodoplanes,0.0
Devosia,0.0
Methyloceanibacter,0.0
Filomicrobium,0.0
Methylocystis,0.0
Bradyrhizobium,0.0
Paraburkholderia,0.0
Arachidicoccus,0.0
Fibrobacter,0.0
Caproicibacterium,0.0
Massilistercora,0.0
Romboutsia,0.0
Clostridioides,0.0
Ruminiclostridium,0.0
Acutalibacter,0.0
Monoglobus,0.0
Thermoclostridium,0.0
Pseudoclostridium,0.0
Solibaculum,0.0
Caproiciproducens,0.0
Mageeibacillus,0.0
Mogibacterium,0.0
Dysosmobacter,0.0
Flavonifractor,0.0
Oscillibacter,0.0
Ruminococcus,0.0
Cellulosilyticum,0.0
Anaerotignum,0.0
Lachnoanaerobaculum,0.0
Herbinix,0.0
Anaerocolumna,0.0
Pseudobutyrivibrio,0.0
Flintibacter,0.0
Intestinimonas,0.0
Lactococcus,0.0
Lactiplantibacillus,0.0
Pediococcus,0.0
Weissella,0.0
Latilactobacillus,0.0
Amylolactobacillus,0.0
Liquorilactobacillus,0.0
Lentilactobacillus,0.0
Companilactobacillus,0.0
Leuconostoc,0.0
