Genus,RA
Bifidobacterium,0.4193
Parabacteroides,0.1186
Bacteroides,0.10289999999999999
Prevotella,0.0828
Escherichia,0.060899999999999996
Clostridium,0.0239
Alistipes,0.011399999999999999
Roseburia,0.011399999999999999
Collinsella,0.009899999999999999
Anaerostipes,0.0073
Eubacterium,0.0068000000000000005
Akkermansia,0.0014000000000000002
Citrobacter,0.0014000000000000002
Enterobacter,0.001
Faecalibacterium,0.001
Shigella,0.0007000000000000001
Klebsiella,0.0007000000000000001
Lactobacillus,0.0006
Salmonella,0.0006
Staphylococcus,0.0006
Blautia,0.0003
Phocaeicola,0.0003
Kosakonia,0.0002
Leclercia,0.0002
Pluralibacter,0.0001
Raoultella,0.0001
Coprococcus,0.0001
Eubacterium,0.0001
Limosilactobacillus,0.0001
Cronobacter,0.0001
Cedecea,0.0001
Olsenella,0.0001
Lelliottia,0.0001
Buttiauxella,0.0001
Kluyvera,0.0001
Leptolyngbya,0.0001
Butyricimonas,0.0001
Neptunomonas,0.0
Halomonas,0.0
Bacterioplanes,0.0
Kushneria,0.0
Candidatus Portiera,0.0
Marinomonas,0.0
Francisella,0.0
Histophilus,0.0
Actinobacillus,0.0
Haemophilus,0.0
Allochromatium,0.0
Beggiatoa,0.0
Thiosulfatimonas,0.0
Hydrogenovibrio,0.0
Photobacterium,0.0
Vibrio,0.0
Oleiphilus,0.0
Kineobactrum,0.0
Caldichromatium,0.0
Cardiobacterium,0.0
Rhodoferax,0.0
Paraburkholderia,0.0
Chitinimonas,0.0
Lautropia,0.0
Polynucleobacter,0.0
Ralstonia,0.0
Cupriavidus,0.0
Burkholderia,0.0
Sulfurifustis,0.0
Gilliamella,0.0
Thioalkalivibrio,0.0
Legionella,0.0
Aquicella,0.0
Methylomonas,0.0
Spongiibacter,0.0
Thalassotalea,0.0
Cellvibrio,0.0
Oceanisphaera,0.0
Aeromonas,0.0
Acidihalobacter,0.0
Ferrimonas,0.0
Lysobacter,0.0
Pseudoalteromonas,0.0
Saliniradius,0.0
Arsenophonus,0.0
Morganella,0.0
Photorhabdus,0.0
Proteus,0.0
Providencia,0.0
Xenorhabdus,0.0
Lonsdalea,0.0
Brenneria,0.0
Dickeya,0.0
Pectobacterium,0.0
Candidatus Riesia,0.0
Candidatus Ishikawaella,0.0
Candidatus Profftia,0.0
Candidatus Moranella,0.0
Metakosakonia,0.0
Candidatus Annandia,0.0
Candidatus Gullanella,0.0
Candidatus Hoaglandella,0.0
Candidatus Mikella,0.0
Candidatus Blochmannia,0.0
Candidatus Doolittlea,0.0
Serratia,0.0
Yersinia,0.0
Rahnella,0.0
Oblitimonas,0.0
Paraglaciecola,0.0
Alteromonas,0.0
Marinobacter,0.0
Shewanella,0.0
Variovorax,0.0
Xanthomonas,0.0
Psychrobacter,0.0
Acinetobacter,0.0
Moraxella,0.0
Entomomonas,0.0
Pantoea,0.0
Pseudomonas,0.0
Jinshanibacter,0.0
Leminorella,0.0
Sodalis,0.0
Hafnia,0.0
Edwardsiella,0.0
Mixta,0.0
Buchnera,0.0
Erwinia,0.0
Comamonas,0.0
Achromobacter,0.0
Delftia,0.0
Tuwongella,0.0
Sediminispirochaeta,0.0
Sphaerochaeta,0.0
Treponema,0.0
Ilyobacter,0.0
Fusobacterium,0.0
Pseudoleptotrichia,0.0
Leptotrichia,0.0
Gimesia,0.0
Urbifossiella,0.0
Limnoglobus,0.0
Isosphaera,0.0
Aminomonas,0.0
Microbacterium,0.0
Acidithiobacillus,0.0
Nitratiruptor,0.0
Sulfurimonas,0.0
Campylobacter,0.0
Sulfurospirillum,0.0
Helicobacter,0.0
Chondromyces,0.0
Syntrophotalea,0.0
Geoalkalibacter,0.0
Brachyspira,0.0
Fretibacterium,0.0
Pseudodesulfovibrio,0.0
Plasmodium,0.0
Ravinvirus,0.0
Candidatus Nitrosocosmicus,0.0
Nitrosopumilus,0.0
Methanocaldococcus,0.0
Methanobacterium,0.0
Halolamina,0.0
Methanosarcina,0.0
Methanocorpusculum,0.0
Methanoplanus,0.0
Neospora,0.0
Babesia,0.0
Luteitalea,0.0
Homo,0.0
Ustilago,0.0
Schizosaccharomyces,0.0
Zygosaccharomyces,0.0
Tetrapisispora,0.0
Kluyveromyces,0.0
Aspergillus,0.0
Neurospora,0.0
Drechmeria,0.0
Tepiditoga,0.0
Persicimonas,0.0
Desulfobulbus,0.0
Candidatus Symbiobacter,0.0
Pseudogulbenkiania,0.0
Brucella,0.0
Mesorhizobium,0.0
Microvirga,0.0
Methylobacterium,0.0
Bartonella,0.0
Rhizobium,0.0
Bradyrhizobium,0.0
Denitratisoma,0.0
Sideroxydans,0.0
Gallionella,0.0
Iodobacter,0.0
Methyloceanibacter,0.0
Chromobacterium,0.0
Dechloromonas,0.0
Thauera,0.0
Azoarcus,0.0
Turicimonas,0.0
Janthinobacterium,0.0
Bordetella,0.0
Advenella,0.0
Pseudescherichia,0.0
Ottowia,0.0
Pseudorhodoplanes,0.0
Devosia,0.0
Desulfatibacillum,0.0
Parasaccharibacter,0.0
Desulfobacterium,0.0
Desulfobacter,0.0
Desulfonema,0.0
Dinoroseobacter,0.0
Pelagovum,0.0
Rhodobacter,0.0
Sulfitobacter,0.0
Rickettsia,0.0
Azospirillum,0.0
Ferrovibrio,0.0
Roseomonas,0.0
Martelella,0.0
Gluconobacter,0.0
Komagataeibacter,0.0
Parasphingorhabdus,0.0
Novosphingobium,0.0
Sphingomonas,0.0
Zymomonas,0.0
Tsuneonella,0.0
Altererythrobacter,0.0
Porphyrobacter,0.0
Erythrobacter,0.0
Candidatus Hamiltonella,0.0
Tessaracoccus,0.0
Shimwellia,0.0
Massilistercora,0.0
Pediococcus,0.0
Latilactobacillus,0.0
Ligilactobacillus,0.0
Leuconostoc,0.0
Oenococcus,0.0
Lactiplantibacillus,0.0
Natranaerobius,0.0
Halocella,0.0
Halanaerobium,0.0
Mahella,0.0
Caldicellulosiruptor,0.0
Moorella,0.0
Syntrophomonas,0.0
Vallitalea,0.0
Christensenella,0.0
Desulfosporosinus,0.0
Desulfitobacterium,0.0
Desulfotomaculum,0.0
Desulfallas,0.0
Mogibacterium,0.0
Flintibacter,0.0
Lentilactobacillus,0.0
Schleiferilactobacillus,0.0
Liquorilactobacillus,0.0
Brevibacillus,0.0
Sporosarcina,0.0
Pontibacillus,0.0
Anoxybacillus,0.0
Rossellomorea,0.0
Lysinibacillus,0.0
Geobacillus,0.0
Niallia,0.0
Virgibacillus,0.0
Bacillus,0.0
Paenibacillus,0.0
Companilactobacillus,0.0
Carnobacterium,0.0
Dolosigranulum,0.0
Melissococcus,0.0
Vagococcus,0.0
Enterococcus,0.0
Lactococcus,0.0
Streptococcus,0.0
Lacticaseibacillus,0.0
Amylolactobacillus,0.0
Intestinimonas,0.0
Clostridioides,0.0
Atlantibacter,0.0
Acetobacterium,0.0
Mediterraneibacter,0.0
Corynebacterium,0.0
Nocardia,0.0
Cutibacterium,0.0
Rubrobacter,0.0
Slackia,0.0
Denitrobacterium,0.0
Arabia,0.0
Adlercreutzia,0.0
Berryella,0.0
Eggerthella,0.0
Gordonibacter,0.0
Parolsenella,0.0
Propionibacterium,0.0
Streptomonospora,0.0
Micromonospora,0.0
Saccharomonospora,0.0
Amycolatopsis,0.0
Actinomyces,0.0
Schaalia,0.0
Streptomyces,0.0
Lachnoclostridium,0.0
Faecalicatena,0.0
Butyrivibrio,0.0
Mycolicibacterium,0.0
Caproicibacterium,0.0
Acetivibrio,0.0
Caproiciproducens,0.0
Ruthenibacterium,0.0
Acutalibacter,0.0
Mageeibacillus,0.0
Oscillibacter,0.0
Flavonifractor,0.0
Ruminococcus,0.0
Candidatus Arthromitus,0.0
Enterocloster,0.0
Alkaliphilus,0.0
Hungatella,0.0
Gordonia,0.0
Pseudobutyrivibrio,0.0
Herbinix,0.0
Lachnospira,0.0
Anaerotignum,0.0
Anaerocolumna,0.0
Lacrimispora,0.0
Ureibacillus,0.0
Gemella,0.0
Faecalitalea,0.0
Erysipelatoclostridium,0.0
Rufibacter,0.0
Pontibacter,0.0
Hymenobacter,0.0
Echinicola,0.0
Fluviicola,0.0
Tenacibaculum,0.0
Polaribacter,0.0
Salegentibacter,0.0
Croceibacter,0.0
Kordia,0.0
Algibacter,0.0
Aquimarina,0.0
Olleya,0.0
Changchengzhania,0.0
Antarcticibacterium,0.0
Dokdonia,0.0
Maribacter,0.0
Capnocytophaga,0.0
Flavobacterium,0.0
Arenibacter,0.0
Apibacter,0.0
Fibrella,0.0
Spirosoma,0.0
Cytophaga,0.0
Marisediminicola,0.0
Jejubacter,0.0
Scandinavium,0.0
Phytobacter,0.0
Yokenella,0.0
Nocardioides,0.0
Leucobacter,0.0
Curtobacterium,0.0
Plantibacter,0.0
Rathayibacter,0.0
Fibrobacter,0.0
Chryseolinea,0.0
Chlorobium,0.0
Anseongella,0.0
Mucilaginibacter,0.0
Pedobacter,0.0
Sphingobacterium,0.0
Phnomibacter,0.0
Arachidicoccus,0.0
Niastella,0.0
Chitinophaga,0.0
Riemerella,0.0
Elizabethkingia,0.0
Cloacibacterium,0.0
Synechococcus,0.0
Arthrospira,0.0
Gloeothece,0.0
Geminocystis,0.0
Gloeobacter,0.0
Tolypothrix,0.0
Nostoc,0.0
Anabaena,0.0
Pseudanabaena,0.0
Thermosynechococcus,0.0
Keratinibaculum,0.0
Mycoplasma,0.0
Gottschalkia,0.0
Anaerococcus,0.0
Megasphaera,0.0
Pelosinus,0.0
Selenomonas,0.0
Faecalibacillus,0.0
Longicatena,0.0
Erysipelothrix,0.0
Amedibacterium,0.0
Stanieria,0.0
Spiroplasma,0.0
Planobacterium,0.0
Sodaliphilus,0.0
Chryseobacterium,0.0
Tenuifilum,0.0
Paludibacter,0.0
Proteiniphilum,0.0
Salinivirga,0.0
Porphyromonas,0.0
Barnesiella,0.0
Coprobacter,0.0
Muribaculum,0.0
Duncaniella,0.0
Thermus,0.0
Odoribacter,0.0
Pseudarthrobacter,0.0
Alloprevotella,0.0
Paraprevotella,0.0
Kocuria,0.0
Dermabacter,0.0
Tannerella,0.0
Mycobacterium,0.0
Anaerolinea,0.0
Siminovitchvirus,0.0
