Genus,RA
Bifidobacterium,0.4158
Parabacteroides,0.12050000000000001
Bacteroides,0.1036
Prevotella,0.08199999999999999
Escherichia,0.0616
Clostridium,0.022099999999999998
Alistipes,0.011699999999999999
Roseburia,0.0109
Collinsella,0.0097
Anaerostipes,0.0072
Anaerobutyricum,0.006500000000000001
Klebsiella,0.0027
Citrobacter,0.0015
Akkermansia,0.0014000000000000002
Enterobacter,0.001
Faecalibacterium,0.001
Shigella,0.0007000000000000001
Lactobacillus,0.0006
Salmonella,0.0006
Blautia,0.0004
Phocaeicola,0.0003
Leclercia,0.0002
Kosakonia,0.0002
Coprococcus,0.0001
Leptolyngbya,0.0001
Olsenella,0.0001
Paraprevotella,0.0001
Butyricimonas,0.0001
Limosilactobacillus,0.0001
Eubacterium,0.0001
Cedecea,0.0001
Pluralibacter,0.0001
Raoultella,0.0001
Cronobacter,0.0001
Lelliottia,0.0001
Kluyvera,0.0001
Lysobacter,0.0
Sulfurivermis,0.0
Nitrosococcus,0.0
Caldichromatium,0.0
Allochromatium,0.0
Rhodanobacter,0.0
Stenotrophomonas,0.0
Xanthomonas,0.0
Granulosicoccus,0.0
Ferrimonas,0.0
Paraglaciecola,0.0
Marinobacter,0.0
Caballeronia,0.0
Shewanella,0.0
Pseudoalteromonas,0.0
Polynucleobacter,0.0
Rhodoferax,0.0
Francisella,0.0
Thioalkalivibrio,0.0
Burkholderia,0.0
Pasteurella,0.0
Cupriavidus,0.0
Salinisphaera,0.0
Kineobactrum,0.0
Methylomonas,0.0
Rickettsiella,0.0
Legionella,0.0
Saccharospirillum,0.0
Lautropia,0.0
Bacterioplanes,0.0
Thalassolituus,0.0
Kushneria,0.0
Zymobacter,0.0
Chromohalobacter,0.0
Aeromonas,0.0
Hydrogenovibrio,0.0
Histophilus,0.0
Mannheimia,0.0
Actinobacillus,0.0
Paraburkholderia,0.0
Haemophilus,0.0
Basfia,0.0
Permianibacter,0.0
Beggiatoa,0.0
Candidatus Profftia,0.0
Ewingella,0.0
Rahnella,0.0
Yersinia,0.0
Serratia,0.0
Brenneria,0.0
Lonsdalea,0.0
Dickeya,0.0
Pectobacterium,0.0
Candidatus Riesia,0.0
Candidatus Ishikawaella,0.0
Candidatus Moranella,0.0
Enterovibrio,0.0
Metakosakonia,0.0
Candidatus Mikella,0.0
Candidatus Annandia,0.0
Candidatus Purcelliella,0.0
Candidatus Gullanella,0.0
Candidatus Blochmannia,0.0
Candidatus Doolittlea,0.0
Candidatus Hoaglandella,0.0
Candidatus Hamiltonella,0.0
Shimwellia,0.0
Nissabacter,0.0
Xenorhabdus,0.0
Morganella,0.0
Proteus,0.0
Vibrio,0.0
Photobacterium,0.0
Psychrobacter,0.0
Acinetobacter,0.0
Moraxella,0.0
Entomomonas,0.0
Comamonas,0.0
Pseudomonas,0.0
Plesiomonas,0.0
Edwardsiella,0.0
Sodalis,0.0
Pragia,0.0
Leminorella,0.0
Tatumella,0.0
Buchnera,0.0
Erwinia,0.0
Mixta,0.0
Pantoea,0.0
Arsenophonus,0.0
Providencia,0.0
Photorhabdus,0.0
Variovorax,0.0
Delftia,0.0
Polaromonas,0.0
Sediminispirochaeta,0.0
Aspergillus,0.0
Neurospora,0.0
Fusarium,0.0
Drechmeria,0.0
Thermocrinis,0.0
Dictyoglomus,0.0
Candidatus Koribacter,0.0
Thermovirga,0.0
Aminomonas,0.0
Leptospirillum,0.0
Nitrospira,0.0
Treponema,0.0
Ottowia,0.0
Fusobacterium,0.0
Pseudoleptotrichia,0.0
Sebaldella,0.0
Leptotrichia,0.0
Urbifossiella,0.0
Thermogutta,0.0
Isosphaera,0.0
Acidithiobacillus,0.0
Mariprofundus,0.0
Halobacteriovorax,0.0
Nitratiruptor,0.0
Kluyveromyces,0.0
Tetrapisispora,0.0
Candida,0.0
Ustilago,0.0
Tobamovirus,0.0
Crinivirus,0.0
Negevirus,0.0
Siminovitchvirus,0.0
Hendrixvirus,0.0
Pahexavirus,0.0
Ravinvirus,0.0
Sulfolobus,0.0
Nitrosopumilus,0.0
Methanococcus,0.0
Methanosphaera,0.0
Methanobacterium,0.0
Halolamina,0.0
Natronomonas,0.0
Methanosarcina,0.0
Methanocorpusculum,0.0
Methanoplanus,0.0
Leishmania,0.0
Neospora,0.0
Toxoplasma,0.0
Babesia,0.0
Homo,0.0
Cryptococcus,0.0
Sulfurospirillum,0.0
Sulfurimonas,0.0
Persicimonas,0.0
Ancylobacter,0.0
Brucella,0.0
Ciceribacter,0.0
Ensifer,0.0
Rhizobium,0.0
Bartonella,0.0
Rhodopseudomonas,0.0
Bradyrhizobium,0.0
Dechloromonas,0.0
Pseudogulbenkiania,0.0
Sulfuricella,0.0
Ferriphaselus,0.0
Paucibacter,0.0
Thiomonas,0.0
Rhizobacter,0.0
Undibacterium,0.0
Collimonas,0.0
Janthinobacterium,0.0
Pusillimonas,0.0
Bordetella,0.0
Achromobacter,0.0
Kinneretia,0.0
Atlantibacter,0.0
Acidovorax,0.0
Mesorhizobium,0.0
Labrys,0.0
Desulfobulbus,0.0
Methylocystis,0.0
Desulfonema,0.0
Geoalkalibacter,0.0
Leisingera,0.0
Candidatus Pelagibacter,0.0
Thalassospira,0.0
Parasaccharibacter,0.0
Roseomonas,0.0
Gluconobacter,0.0
Komagataeibacter,0.0
Rickettsia,0.0
Sphingosinicella,0.0
Parasphingopyxis,0.0
Novosphingobium,0.0
Sphingomonas,0.0
Tsuneonella,0.0
Altererythrobacter,0.0
Erythrobacter,0.0
Methyloceanibacter,0.0
Pseudorhodoplanes,0.0
Methylobacterium,0.0
Labrenzia,0.0
Bosea,0.0
Devosia,0.0
Pseudescherichia,0.0
Leifsonia,0.0
Phytobacter,0.0
Acetobacterium,0.0
Candidatus Formimonas,0.0
Desulfallas,0.0
Peptacetobacter,0.0
Romboutsia,0.0
Clostridioides,0.0
Intestinimonas,0.0
Aminipila,0.0
Mogibacterium,0.0
Flintibacter,0.0
Massilistercora,0.0
Monoglobus,0.0
Vallitalea,0.0
Thermoclostridium,0.0
Pseudoclostridium,0.0
Acutalibacter,0.0
Dysosmobacter,0.0
Caproicibacterium,0.0
Mageeibacillus,0.0
Flavonifractor,0.0
Oscillibacter,0.0
Ruminococcus,0.0
Geosporobacter,0.0
Desulfofarcimen,0.0
Petrocella,0.0
Scandinavium,0.0
Lacticaseibacillus,0.0
Suicoccus,0.0
Dolosigranulum,0.0
Vagococcus,0.0
Tetragenococcus,0.0
Melissococcus,0.0
Enterococcus,0.0
Lactococcus,0.0
Streptococcus,0.0
Liquorilactobacillus,0.0
Latilactobacillus,0.0
Weissella,0.0
Christensenella,0.0
Lentilactobacillus,0.0
Leuconostoc,0.0
Ligilactobacillus,0.0
Oenococcus,0.0
Lactiplantibacillus,0.0
Mahella,0.0
Thermoanaerobacterium,0.0
Caldicellulosiruptor,0.0
Moorella,0.0
Alkalicella,0.0
Alkaliphilus,0.0
Caloramator,0.0
Sarcina,0.0
Streptomyces,0.0
Candidatus Planktophila,0.0
Phytohabitans,0.0
Actinocatenispora,0.0
Streptomonospora,0.0
Actinomadura,0.0
Alloactinosynnema,0.0
Kutzneria,0.0
Saccharopolyspora,0.0
Amycolatopsis,0.0
Pseudonocardia,0.0
Actinomyces,0.0
Hungatella,0.0
Schaalia,0.0
Brevibacterium,0.0
Dermabacter,0.0
Cellulomonas,0.0
Psychromicrobium,0.0
Pseudarthrobacter,0.0
Kocuria,0.0
Rothia,0.0
Arthrobacter,0.0
Leucobacter,0.0
Plantibacter,0.0
Coriobacterium,0.0
Parolsenella,0.0
Gordonibacter,0.0
Nocardia,0.0
Anaerotignum,0.0
Lachnoanaerobaculum,0.0
Herbinix,0.0
Pseudobutyrivibrio,0.0
Lachnospira,0.0
Anaerocolumna,0.0
Enterocloster,0.0
Lacrimispora,0.0
Butyrivibrio,0.0
Faecalicatena,0.0
Lachnoclostridium,0.0
Mediterraneibacter,0.0
Curtobacterium,0.0
Microbacterium,0.0
Protaetiibacter,0.0
Arabia,0.0
Slackia,0.0
Adlercreutzia,0.0
Berryella,0.0
Eggerthella,0.0
Staphylococcus,0.0
Mammaliicoccus,0.0
Paenibacillus,0.0
Cloacibacterium,0.0
Fluviicola,0.0
Aequorivita,0.0
Croceibacter,0.0
Maribacter,0.0
Salegentibacter,0.0
Olleya,0.0
Capnocytophaga,0.0
Polaribacter,0.0
Flavobacterium,0.0
Arenibacter,0.0
Ornithobacterium,0.0
Sodaliphilus,0.0
Elizabethkingia,0.0
Riemerella,0.0
Planobacterium,0.0
Chryseobacterium,0.0
Paludibacter,0.0
Proteiniphilum,0.0
Salinivirga,0.0
Barnesiella,0.0
Coprobacter,0.0
Porphyromonas,0.0
Blattabacterium,0.0
Echinicola,0.0
Hymenobacter,0.0
Adhaeribacter,0.0
Yokenella,0.0
Buttiauxella,0.0
Jejubacter,0.0
Mycetocola,0.0
Cutibacterium,0.0
Nocardioides,0.0
Fibrobacter,0.0
Candidatus Cyclonatronum,0.0
Chlorobium,0.0
Haliscomenobacter,0.0
Mucilaginibacter,0.0
Pedobacter,0.0
Sphingobacterium,0.0
Niastella,0.0
Phnomibacter,0.0
Arachidicoccus,0.0
Chitinophaga,0.0
Chryseolinea,0.0
Rhodocytophaga,0.0
Fibrella,0.0
Spirosoma,0.0
Muribaculum,0.0
Duncaniella,0.0
Aneurinibacillus,0.0
Planococcus,0.0
Faecalibacillus,0.0
Erysipelothrix,0.0
Longibaculum,0.0
Longicatena,0.0
Faecalitalea,0.0
Erysipelatoclostridium,0.0
Gemella,0.0
Listeria,0.0
Sporosarcina,0.0
Jeotgalibacillus,0.0
Metabacillus,0.0
Odoribacter,0.0
Priestia,0.0
Weizmannia,0.0
Cytobacillus,0.0
Virgibacillus,0.0
Rossellomorea,0.0
Pradoshia,0.0
Lysinibacillus,0.0
Pontibacillus,0.0
Bacillus,0.0
Cohnella,0.0
Intestinibaculum,0.0
Amedibacterium,0.0
Selenomonas,0.0
Pelosinus,0.0
Gordonia,0.0
Alloprevotella,0.0
Corynebacterium,0.0
Mycobacterium,0.0
Tannerella,0.0
Mycolicibacterium,0.0
Chloroflexus,0.0
Deinococcus,0.0
Mycoplasma,0.0
Geminocystis,0.0
Rippkaea,0.0
Nostoc,0.0
Raphidiopsis,0.0
Anabaenopsis,0.0
Gloeobacter,0.0
Thermosynechococcus,0.0
Synechococcus,0.0
Anaerococcus,0.0
Ndongobacter,0.0
Veillonella,0.0
Megasphaera,0.0
Chloriridovirus,0.0
