Genus,RA
Bifidobacterium,0.40549999999999997
Parabacteroides,0.1204
Bacteroides,0.1063
Prevotella,0.0883
Escherichia,0.058600000000000006
Clostridium,0.031200000000000002
Roseburia,0.011899999999999999
Alistipes,0.0109
Collinsella,0.0089
Anaerostipes,0.008199999999999999
Anaerobutyricum,0.008100000000000001
Citrobacter,0.0014000000000000002
Akkermansia,0.0013
Faecalibacterium,0.0011
Enterobacter,0.001
Klebsiella,0.0007000000000000001
Shigella,0.0007000000000000001
Lactobacillus,0.0007000000000000001
Salmonella,0.0006
Blautia,0.0004
Phocaeicola,0.0003
Staphylococcus,0.0003
Kosakonia,0.0002
Leclercia,0.0002
Mediterraneibacter,0.0001
Eubacterium,0.0001
Paraprevotella,0.0001
Butyricimonas,0.0001
Limosilactobacillus,0.0001
Leptolyngbya,0.0001
Coprococcus,0.0001
Raoultella,0.0001
Olsenella,0.0001
Cronobacter,0.0001
Cedecea,0.0001
Pluralibacter,0.0001
Kluyvera,0.0001
Lelliottia,0.0001
Lautropia,0.0
Paraburkholderia,0.0
Cupriavidus,0.0
Histophilus,0.0
Thalassolituus,0.0
Actinobacillus,0.0
Rodentibacter,0.0
Haemophilus,0.0
Photobacterium,0.0
Shewanella,0.0
Marinobacter,0.0
Lacimicrobium,0.0
Pseudoalteromonas,0.0
Ferrimonas,0.0
Vibrio,0.0
Neptunomonas,0.0
Halioglobus,0.0
Cellvibrio,0.0
Kushneria,0.0
Kineobactrum,0.0
Teredinibacter,0.0
Tolumonas,0.0
Methylomonas,0.0
Candidatus Ruthia,0.0
Orbus,0.0
Solimonas,0.0
Xanthomonas,0.0
Aeromonas,0.0
Legionella,0.0
Acidihalobacter,0.0
Caldichromatium,0.0
Burkholderia,0.0
Allochromatium,0.0
Kangiella,0.0
Hahella,0.0
Zymobacter,0.0
Stenotrophomonas,0.0
Plesiomonas,0.0
Francisella,0.0
Morganella,0.0
Lonsdalea,0.0
Dickeya,0.0
Pectobacterium,0.0
Chania,0.0
Ewingella,0.0
Yersinia,0.0
Serratia,0.0
Candidatus Riesia,0.0
Candidatus Moranella,0.0
Metakosakonia,0.0
Candidatus Profftia,0.0
Candidatus Mikella,0.0
Candidatus Hoaglandella,0.0
Candidatus Blochmannia,0.0
Candidatus Gullanella,0.0
Candidatus Purcelliella,0.0
Candidatus Doolittlea,0.0
Candidatus Hamiltonella,0.0
Phytobacter,0.0
Brenneria,0.0
Xenorhabdus,0.0
Thiosulfatimonas,0.0
Photorhabdus,0.0
Hydrogenovibrio,0.0
Beggiatoa,0.0
Psychrobacter,0.0
Moraxella,0.0
Acinetobacter,0.0
Azotobacter,0.0
Entomomonas,0.0
Pseudomonas,0.0
Leminorella,0.0
Rhodoferax,0.0
Sodalis,0.0
Edwardsiella,0.0
Mixta,0.0
Erwinia,0.0
Buchnera,0.0
Pantoea,0.0
Arsenophonus,0.0
Providencia,0.0
Proteus,0.0
Ralstonia,0.0
Bordetella,0.0
Variovorax,0.0
Luteolibacter,0.0
Brachyspira,0.0
Salinispira,0.0
Sphaerochaeta,0.0
Treponema,0.0
Sebaldella,0.0
Leptotrichia,0.0
Fusobacterium,0.0
Limnoglobus,0.0
Gemmata,0.0
Isosphaera,0.0
Acidithiobacillus,0.0
Serpentinomonas,0.0
Halobacteriovorax,0.0
Mariprofundus,0.0
Nitratiruptor,0.0
Pseudoarcobacter,0.0
Sulfurospirillum,0.0
Helicobacter,0.0
Sulfurimonas,0.0
Persicimonas,0.0
Geobacter,0.0
Geoalkalibacter,0.0
Leptospira,0.0
Luteitalea,0.0
Drechmeria,0.0
Fusarium,0.0
Siminovitchvirus,0.0
Hendrixvirus,0.0
Ravinvirus,0.0
Nitrosopumilus,0.0
Archaeoglobus,0.0
Methanococcus,0.0
Methanobacterium,0.0
Halolamina,0.0
Methanosalsum,0.0
Methanocorpusculum,0.0
Methanoplanus,0.0
Plasmodium,0.0
Babesia,0.0
Homo,0.0
Ustilago,0.0
Cryptococcus,0.0
Tetrapisispora,0.0
Kluyveromyces,0.0
Aspergillus,0.0
Botrytis,0.0
Neurospora,0.0
Pseudodesulfovibrio,0.0
Desulfobulbus,0.0
Desulfobacula,0.0
Agrobacterium,0.0
Brucella,0.0
Rhodopseudomonas,0.0
Bradyrhizobium,0.0
Azoarcus,0.0
Candidatus Kinetoplastibacterium,0.0
Pseudogulbenkiania,0.0
Vitreoscilla,0.0
Methyloversatilis,0.0
Ferrigenium,0.0
Candidatus Methylopumilus,0.0
Rhizobacter,0.0
Duganella,0.0
Massilia,0.0
Janthinobacterium,0.0
Pusillimonas,0.0
Shimwellia,0.0
Achromobacter,0.0
Diaphorobacter,0.0
Polaromonas,0.0
Comamonas,0.0
Ottowia,0.0
Rhizobium,0.0
Sinorhizobium,0.0
Desulfonema,0.0
Bartonella,0.0
Rhodobacter,0.0
Asticcacaulis,0.0
Brevundimonas,0.0
Ferrovibrio,0.0
Thalassospira,0.0
Parasaccharibacter,0.0
Komagataeibacter,0.0
Rickettsia,0.0
Parasphingopyxis,0.0
Novosphingobium,0.0
Sphingomonas,0.0
Zymomonas,0.0
Altererythrobacter,0.0
Erythrobacter,0.0
Mesorhizobium,0.0
Pseudorhodoplanes,0.0
Microvirga,0.0
Pseudolabrys,0.0
Stappia,0.0
Bosea,0.0
Methylocystis,0.0
Pseudescherichia,0.0
Rathayibacter,0.0
Jejubacter,0.0
Alkalicella,0.0
Lacticaseibacillus,0.0
Oenococcus,0.0
Lactiplantibacillus,0.0
Natranaerobius,0.0
Thermoanaerobacterium,0.0
Mahella,0.0
Caldanaerobacter,0.0
Thermacetogenium,0.0
Moorella,0.0
Christensenella,0.0
Romboutsia,0.0
Syntrophothermus,0.0
Vallitalea,0.0
Desulfallas,0.0
Desulfosporosinus,0.0
Desulfotomaculum,0.0
Intestinimonas,0.0
Flintibacter,0.0
Massilistercora,0.0
Paraclostridium,0.0
Weissella,0.0
Lentilactobacillus,0.0
Levilactobacillus,0.0
Companilactobacillus,0.0
Evansella,0.0
Lysinibacillus,0.0
Terribacillus,0.0
Oceanobacillus,0.0
Sutcliffiella,0.0
Pontibacillus,0.0
Virgibacillus,0.0
Bacillus,0.0
Jeotgalicoccus,0.0
Suicoccus,0.0
Jeotgalibaca,0.0
Dolosigranulum,0.0
Melissococcus,0.0
Enterococcus,0.0
Lactococcus,0.0
Streptococcus,0.0
Leuconostoc,0.0
Ligilactobacillus,0.0
Liquorilactobacillus,0.0
Acetoanaerobium,0.0
Clostridioides,0.0
Atlantibacter,0.0
Nocardioides,0.0
Eggerthella,0.0
Gordonibacter,0.0
Lancefieldella,0.0
Parolsenella,0.0
Candidatus Planktophila,0.0
Thermobifida,0.0
Catellatospora,0.0
Actinomyces,0.0
Schaalia,0.0
Cutibacterium,0.0
Monoglobus,0.0
Streptomyces,0.0
Dietzia,0.0
Mycolicibacterium,0.0
Mycobacterium,0.0
Nocardia,0.0
Gordonia,0.0
Corynebacterium,0.0
Dermabacter,0.0
Brevibacterium,0.0
Berryella,0.0
Adlercreutzia,0.0
Slackia,0.0
Hungatella,0.0
Pseudoclostridium,0.0
Acetivibrio,0.0
Acutalibacter,0.0
Mageeibacillus,0.0
Flavonifractor,0.0
Oscillibacter,0.0
Ruminococcus,0.0
Herbinix,0.0
Pseudobutyrivibrio,0.0
Lachnoanaerobaculum,0.0
Lachnospira,0.0
Anaerocolumna,0.0
Lacrimispora,0.0
Enterocloster,0.0
Butyrivibrio,0.0
Faecalicatena,0.0
Lachnoclostridium,0.0
Serpentinicella,0.0
Alkaliphilus,0.0
Lentibacillus,0.0
Niallia,0.0
Halobacillus,0.0
Flavobacterium,0.0
Myroides,0.0
Tenacibaculum,0.0
Salegentibacter,0.0
Maribacter,0.0
Antarcticibacterium,0.0
Dokdonia,0.0
Capnocytophaga,0.0
Olleya,0.0
Arenibacter,0.0
Empedobacter,0.0
Paenibacillus,0.0
Riemerella,0.0
Cloacibacterium,0.0
Elizabethkingia,0.0
Chryseobacterium,0.0
Labilibaculum,0.0
Tenuifilum,0.0
Paludibacter,0.0
Salinivirga,0.0
Dysgonomonas,0.0
Fluviicola,0.0
Hymenobacter,0.0
Rufibacter,0.0
Echinicola,0.0
Buttiauxella,0.0
Scandinavium,0.0
Yokenella,0.0
Mycetocola,0.0
Curtobacterium,0.0
Fibrobacter,0.0
Chlorobium,0.0
Haliscomenobacter,0.0
Pedobacter,0.0
Sphingobacterium,0.0
Mucilaginibacter,0.0
Phnomibacter,0.0
Arachidicoccus,0.0
Niastella,0.0
Chitinophaga,0.0
Chryseolinea,0.0
Fibrella,0.0
Spirosoma,0.0
Runella,0.0
Proteiniphilum,0.0
Porphyromonas,0.0
Barnesiella,0.0
Synechococcus,0.0
Anaerococcus,0.0
Peptoniphilus,0.0
Erysipelothrix,0.0
Faecalitalea,0.0
Longicatena,0.0
Erysipelatoclostridium,0.0
Phascolarctobacterium,0.0
Acidaminococcus,0.0
Megasphaera,0.0
Selenomonas,0.0
Sporomusa,0.0
Pelosinus,0.0
Solibacillus,0.0
Planomicrobium,0.0
Kurthia,0.0
Planococcus,0.0
Sporosarcina,0.0
Aneurinibacillus,0.0
Brevibacillus,0.0
Parvimonas,0.0
Thermosynechococcus,0.0
Coprobacter,0.0
Anabaena,0.0
Muribaculum,0.0
Duncaniella,0.0
Sodaliphilus,0.0
Odoribacter,0.0
Alloprevotella,0.0
Leucobacter,0.0
Microbacterium,0.0
Tannerella,0.0
Plantibacter,0.0
Chthonomonas,0.0
Mycoplasma,0.0
Dehalococcoides,0.0
Anaerolinea,0.0
Gloeomargarita,0.0
Gloeobacter,0.0
Crocosphaera,0.0
Geminocystis,0.0
Tolypothrix,0.0
Nostoc,0.0
Chloriridovirus,0.0
