Species,RA
Bifidobacterium longum,0.3826
Bacteroides thetaiotaomicron,0.098
Parabacteroides distasonis,0.0796
Prevotella copri,0.07
Escherichia coli,0.0533
Clostridium butyricum,0.0298
Prevotella melaninogenica,0.0177
Roseburia hominis,0.010700000000000001
Alistipes finegoldii,0.0103
Collinsella aerofaciens,0.0089
Anaerostipes hadrus,0.008199999999999999
Anaerobutyricum hallii,0.008100000000000001
Bacteroides uniformis,0.002
Akkermansia muciniphila,0.0013
Faecalibacterium prausnitzii,0.0011
Roseburia intestinalis,0.001
Escherichia albertii,0.0006
Escherichia marmotae,0.0005
Salmonella enterica,0.0005
Escherichia fergusonii,0.0005
Lactobacillus paragasseri,0.0004
Escherichia sp. E4742,0.0004
Bifidobacterium breve,0.0004
Staphylococcus aureus,0.0003
Shigella flexneri,0.0002
Shigella boydii,0.0002
Shigella dysenteriae,0.0002
Klebsiella pneumoniae,0.0002
Blautia obeum,0.0001
Parabacteroides merdae,0.0001
Citrobacter freundii,0.0001
Salmonella bongori,0.0001
Prevotella ruminicola,0.0001
Leptolyngbya sp. PCC 7376,0.0001
Phocaeicola vulgatus,0.0001
Phocaeicola dorei,0.0001
Limosilactobacillus fermentum,0.0001
Klebsiella oxytoca,0.0001
Parabacteroides goldsteinii,0.0001
Butyricimonas faecalis,0.0001
Prevotella dentalis,0.0001
Olsenella sp. GAM18,0.0001
Lactobacillus phage phiadh,0.0001
Klebsiella variicola,0.0001
Prevotella denticola,0.0001
Lelliottia amnigena,0.0001
Bacteroides xylanisolvens,0.0001
Citrobacter rodentium,0.0001
Bacteroides fragilis,0.0001
Enterobacter cloacae,0.0001
Enterobacter hormaechei,0.0001
Enterobacter kobei,0.0001
Paraprevotella xylaniphila,0.0001
Bifidobacterium bifidum,0.0001
Citrobacter sp. R56,0.0001
Blautia sp. YL58,0.0001
Blautia sp. SC05B48,0.0001
Cedecea neteri,0.0001
Citrobacter sp. RHB25-C09,0.0001
Eubacterium limosum,0.0001
Buttiauxella sp. 3AFRM03,0.0
Lelliottia sp. WB101,0.0
Atlantibacter hermannii,0.0
Cronobacter universalis,0.0
Buttiauxella agrestis,0.0
Cronobacter malonaticus,0.0
Yokenella regensburgei,0.0
Scandinavium goeteborgense,0.0
Raoultella electrica,0.0
Kluyvera ascorbata,0.0
Kluyvera genomosp. 3,0.0
Raoultella sp. X13,0.0
Pluralibacter gergoviae,0.0
Cronobacter muytjensii,0.0
[Enterobacter] lignolyticus,0.0
Cronobacter sp. JZ38,0.0
Raoultella ornithinolytica,0.0
Raoultella planticola,0.0
Raoultella terrigena,0.0
Jejubacter calystegiae,0.0
Cedecea lapagei,0.0
Cedecea sp. FDAARGOS_727,0.0
Kluyvera intermedia,0.0
secondary endosymbiont of Heteropsylla cubana,0.0
Shimwellia blattae,0.0
Pseudescherichia vulneris,0.0
Yersinia pseudotuberculosis,0.0
Yersinia frederiksenii,0.0
Yersinia enterocolitica,0.0
Ewingella americana,0.0
Chania multitudinisentens,0.0
Pectobacterium polaris,0.0
Pectobacterium parmentieri,0.0
Pectobacterium atrosepticum,0.0
Pectobacterium odoriferum,0.0
Dickeya dadantii,0.0
Dickeya chrysanthemi,0.0
Dickeya solani,0.0
Lonsdalea populi,0.0
Brenneria rubrifaciens,0.0
Brenneria goodwinii,0.0
Morganella morganii,0.0
Xenorhabdus hominickii,0.0
Xenorhabdus nematophila,0.0
Photorhabdus asymbiotica,0.0
Photorhabdus laumondii,0.0
Proteus mirabilis,0.0
Proteus penneri,0.0
Providencia rettgeri,0.0
Providencia vermicola,0.0
Arsenophonus nasoniae,0.0
Yersinia pestis,0.0
Serratia marcescens,0.0
Serratia liquefaciens,0.0
Candidatus Mikella endobia,0.0
Phytobacter ursingii,0.0
Phytobacter diazotrophicus,0.0
Candidatus Hamiltonella defensa,0.0
secondary endosymbiont of Ctenarytaina eucalypti,0.0
Cronobacter sakazakii,0.0
Candidatus Doolittlea endobia,0.0
Candidatus Purcelliella pentastirinorum,0.0
Candidatus Gullanella endobia,0.0
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,0.0
secondary endosymbiont of Trabutina mannipara,0.0
Candidatus Hoaglandella endobia,0.0
Candidatus Profftia tarda,0.0
Serratia plymuthica,0.0
Metakosakonia sp. MRY16-398,0.0
Candidatus Moranella endobia,0.0
Candidatus Riesia pediculicola,0.0
Enterobacteriaceae endosymbiont of Macroplea appendiculata,0.0
Serratia sp. 3ACOL1,0.0
Serratia sp. FGI94,0.0
Serratia sp. CMO1,0.0
Serratia surfactantfaciens,0.0
Serratia ureilytica,0.0
Serratia fonticola,0.0
Serratia symbiotica,0.0
Cronobacter dublinensis,0.0
Kosakonia sp. MUSA4,0.0
Cronobacter condimenti,0.0
Leclercia adecarboxylata,0.0
Enterobacter chengduensis,0.0
Enterobacter ludwigii,0.0
Enterobacter cloacae complex sp.,0.0
Enterobacter cloacae complex sp. ECNIH7,0.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,0.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,0.0
Enterobacter chuandaensis,0.0
Enterobacter sichuanensis,0.0
Enterobacter sp. JUb54,0.0
Enterobacter sp. RHBSTW-00994,0.0
Enterobacter sp. SA187,0.0
Enterobacter sp. E76,0.0
Enterobacter sp. RHBSTW-00175,0.0
Enterobacter sp. 638,0.0
Enterobacter sp. RHB15-C17,0.0
Enterobacter sp. SES19,0.0
Enterobacter sp. SGAir0187,0.0
Enterobacter sp. R4-368,0.0
Enterobacter sp. LU1,0.0
Enterobacter sp. HK169,0.0
Enterobacter sp. ODB01,0.0
Enterobacter roggenkampii,0.0
Enterobacter cancerogenus,0.0
Enterobacter asburiae,0.0
Citrobacter sp. RHBSTW-00599,0.0
Citrobacter sp. FDAARGOS_156,0.0
Citrobacter sp. CRE-46,0.0
Citrobacter sp. TSA-1,0.0
Citrobacter sp. RHB35-C21,0.0
Citrobacter sp. RHB35-C17,0.0
Citrobacter sp. B72,0.0
Citrobacter sp. RHBSTW-00887,0.0
Citrobacter sp. RHBSTW-00881,0.0
Citrobacter sp. CFNIH10,0.0
Citrobacter sp. RHBSTW-00524,0.0
Citrobacter cronae,0.0
Citrobacter sp. RHBSTW-00678,0.0
Citrobacter sp. RHB36-C18,0.0
Citrobacter sp. RHBSTW-00944,0.0
Citrobacter amalonaticus,0.0
Citrobacter farmeri,0.0
Citrobacter tructae,0.0
Citrobacter koseri,0.0
Citrobacter telavivum,0.0
Citrobacter pasteurii,0.0
Enterobacter sp. RHBSTW-00975,0.0
Enterobacter sp. N18-03635,0.0
Enterobacter sp. DSM 30060,0.0
Kosakonia pseudosacchari,0.0
Salmonella sp. SJTUF14178,0.0
Salmonella sp. SJTUF14152,0.0
Kosakonia sp. CCTCC M2018092,0.0
Kosakonia sp. SMBL-WEM22,0.0
Pantoea sp. 201603H,0.0
Kosakonia cowanii,0.0
Kosakonia arachidis,0.0
Kosakonia sacchari,0.0
Kosakonia radicincitans,0.0
Kosakonia oryzae,0.0
Klebsiella grimontii,0.0
Leclercia sp. 4-9-1-25,0.0
Leclercia sp. 29361,0.0
Leclercia sp. W6,0.0
Leclercia sp. J807,0.0
Leclercia sp. W17,0.0
Leclercia sp. Colony189,0.0
Leclercia sp. 119287,0.0
Leclercia sp. LSNIH1,0.0
Leclercia sp. LSNIH3,0.0
Klebsiella africana,0.0
Klebsiella quasivariicola,0.0
Enterobacter sp. 18A13,0.0
Klebsiella sp. A52,0.0
Enterobacter sp. RHBSTW-00422,0.0
Enterobacter sp. E20,0.0
Enterobacter sp. YSU,0.0
Enterobacter oligotrophicus,0.0
Enterobacter bugandensis,0.0
Enterobacter soli,0.0
Enterobacter mori,0.0
Shigella sonnei,0.0
Shigella sp. PAMC 28760,0.0
Klebsiella sp. STW0522-44,0.0
Klebsiella huaxiensis,0.0
Klebsiella sp. MPUS7,0.0
Klebsiella sp. BDA134-6,0.0
Klebsiella sp. LY,0.0
Klebsiella sp. WP8-S18-ESBL-06,0.0
Klebsiella sp. WP3-W18-ESBL-02,0.0
Klebsiella sp. LTGPAF-6F,0.0
Klebsiella aerogenes,0.0
Klebsiella quasipneumoniae,0.0
Klebsiella michiganensis,0.0
Pantoea sp. At-9b,0.0
Erwinia amylovora,0.0
Pantoea sp. CCBC3-3-1,0.0
Komagataeibacter nataicola,0.0
Microvirga ossetica,0.0
Pseudorhodoplanes sinuspersici,0.0
Mesorhizobium huakuii,0.0
Erythrobacter neustonensis,0.0
Altererythrobacter sp. ZODW24,0.0
Zymomonas mobilis,0.0
Sphingomonas sp. MM-1,0.0
Novosphingobium resinovorum,0.0
