SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,biobakery3,20,0.2190,0.0272,13.9347,0.7280,0.0479,78.5714,18.9080
EG,biobakery4,15,0.0360,0.0337,14.4847,0.7471,0.0555,85.7143,16.6797
EG,jams,16,0.0405,0.0467,17.9290,0.6265,0.0716,85.7143,19.2984
EG,wgsa2,17,0.1815,0.0406,16.2273,0.6545,0.0540,92.8571,12.1794
EG,woltka,52,0.0509,0.0242,21.9324,0.3700,0.0543,78.5714,54.1813
MIX-A,biobakery3,12,0.2270,0.0590,10.4802,0.6459,0.1331,87.5000,35.3255
MIX-A,biobakery4,9,0.1964,0.0725,9.7193,0.6737,0.1459,87.5000,31.4463
MIX-A,jams,10,0.0270,0.1062,15.1326,0.4688,0.1877,87.5000,49.1586
MIX-A,wgsa2,9,0.0063,0.1210,9.5510,0.4555,0.2067,87.5000,48.1995
MIX-A,woltka,41,0.0014,0.0418,20.0342,0.1425,0.1145,88.8889,83.8149
MIX-B,biobakery3,14,0.6955,0.0365,9.5676,0.7442,0.0676,87.5000,15.8522
MIX-B,biobakery4,9,0.9735,0.0178,6.1985,0.9198,0.0221,87.5000,3.2379
MIX-B,jams,11,0.9485,0.0228,8.6125,0.8747,0.0307,100.0000,0.5596
MIX-B,wgsa2,10,0.9559,0.0211,9.4660,0.8943,0.0283,100.0000,1.3758
MIX-B,woltka,64,0.7564,0.0143,11.7438,0.5418,0.0359,87.5000,41.1384
MIX-C,biobakery3,11,0.2159,0.0644,10.6827,0.6456,0.1262,87.5000,32.0567
MIX-C,biobakery4,9,0.0911,0.0998,9.4593,0.5507,0.1574,87.5000,32.3094
MIX-C,jams,12,0.3558,0.0708,10.7340,0.5753,0.1091,100.0000,22.2439
MIX-C,wgsa2,13,0.3978,0.0640,10.6083,0.5838,0.1213,100.0000,8.6470
MIX-C,woltka,34,0.0285,0.0414,20.2196,0.2956,0.1012,77.7778,67.9673
MIX-D,biobakery3,9,0.9278,0.0261,6.7829,0.8825,0.0376,87.5000,3.4883
MIX-D,biobakery4,10,0.9481,0.0195,7.1401,0.9025,0.0308,87.5000,3.2217
MIX-D,jams,10,0.8636,0.0376,12.0524,0.8122,0.0528,87.5000,3.5864
MIX-D,wgsa2,11,0.8727,0.0309,7.2278,0.8303,0.0526,87.5000,2.5378
MIX-D,woltka,31,0.6118,0.0243,13.9804,0.6235,0.0612,75.0000,17.5551
