Genus,RA,TAX_ID
unclassified,0.09975968370262787,12908
Pseudomonas,0.07322225720561343,286
Parabacteroides,0.07223137789243302,375288
Bifidobacterium,0.06746692510424189,1678
Bacteroides,0.06420242233553515,816
Enterocloster,0.05941640932492093,2719313
Mediterraneibacter,0.04796721848363214,2316020
Anaerostipes,0.043007654591694824,207244
Blautia,0.04177996919917316,572511
Akkermansia,0.04080494823141139,239934
Bacillus,0.03981798895867155,1386
Streptococcus,0.035743997838988614,1301
Cutibacterium,0.03395610303077927,1912216
Staphylococcus,0.031029614658242857,1279
Flavonifractor,0.029825984059333732,946234
Collinsella,0.027516189321560382,102106
Megamonas,0.022774009490417906,158846
Lactobacillus,0.01951841590453062,1578
Escherichia,0.018859492743203317,561
Megasphaera,0.009392951446557286,906
Lachnoclostridium,0.004250036572195474,1506553
Clostridioides,0.001129506197851212,1870884
Coprococcus,0.0008536778977607125,33042
Roseburia,0.0007029345244554396,841
Oscillibacter,0.0006792360981556744,459786
Dysosmobacter,0.000572682271634926,2591381
Faecalibacterium,0.0005211871949384437,216851
Anaerobutyricum,0.000274581014495775,2569097
Paenibacillus,0.00021310765304149702,44249
Clostridium,0.0002082966943189883,1485
Lacrimispora,0.00020348573559647958,2719231
Longicatena,0.00020116934806341984,1918536
Eubacterium,0.00019635838934091112,1730
Citrobacter,0.00018531100264478,544
Ruthenibacterium,0.00016731445334946965,1905344
Faecalibacillus,0.00015395067912027879,2678885
Enterococcus,0.00014753606749026715,1350
Shigella,0.00013060862013329207,620
Enterobacter,0.00012579766141078335,547
Streptomyces,0.00010156468414185058,1883
Erysipelatoclostridium,9.889192929601241e-05,1505663
Selenomonas,9.675372541934187e-05,970
Klebsiella,9.425915422989292e-05,570
Olsenella,8.80227262562705e-05,133925
Faecalicatena,8.303358387737259e-05,2005359
Intestinimonas,8.125174731348047e-05,1392389
Salmonella,7.39462174015228e-05,590
Flintibacter,6.717523845873276e-05,1918454
Acidaminococcus,6.681887114595433e-05,904
Campylobacter,6.450248361289458e-05,194
Aminipila,5.755332101371533e-05,2060094
Amedibacterium,5.577148444982321e-05,2749267
Massilistercora,5.5593300793434005e-05,2717089
Hungatella,5.505874982426637e-05,1649459
Caproiciproducens,5.0069607445368445e-05,1738645
Phocaeicola,4.953505647620081e-05,909656
Christensenella,4.205134290785393e-05,990721
Rhizobium,3.902222074923733e-05,379
Rothia,3.902222074923733e-05,32207
Ruminococcus,3.8487669780069696e-05,1263
Corynebacterium,3.4923996652285465e-05,1716
Anaerocolumna,3.474581299589625e-05,1843210
Faecalitalea,3.421126202672862e-05,1573534
Desulfovibrio,3.4033078370339404e-05,872
Solibaculum,3.349852740117177e-05,2842531
Bradyrhizobium,3.2963976432004136e-05,374
Acinetobacter,3.278579277561492e-05,469
Vibrio,3.24294254628365e-05,662
Pelosinus,3.24294254628365e-05,365348
Leclercia,3.225124180644729e-05,83654
Butyrivibrio,3.207305815005808e-05,830
Homo,3.1716690837279654e-05,9605
Kosakonia,3.0469405242555176e-05,1330547
Parolsenella,2.9578486960609118e-05,2082587
Nocardioides,2.9400303304219905e-05,1839
Dehalobacter,2.9400303304219905e-05,56112
Acutalibacter,2.761846674032779e-05,1918385
Veillonella,2.761846674032779e-05,29465
Fusobacterium,2.5658446520046463e-05,848
Xanthomonas,2.5480262863657253e-05,338
Treponema,2.530207920726804e-05,157
Phascolarctobacterium,2.423297726893277e-05,33024
Burkholderia,2.31638753305975e-05,32008
Pantoea,2.2451140705040656e-05,53335
Chryseobacterium,2.2451140705040656e-05,59732
Microbacterium,2.191658973587302e-05,33882
Prevotella,2.1382038766705384e-05,838
Geobacter,2.1382038766705384e-05,28231
Raoultella,2.1025671453926964e-05,160674
Mesorhizobium,2.049112048475933e-05,68287
Mahella,2.0312936828370116e-05,252965
Desulfitobacterium,2.0312936828370116e-05,36853
Planococcus,1.8709283920867214e-05,1372
Lachnospira,1.8531100264478e-05,28050
Mammaliicoccus,1.8531100264478e-05,2803850
Dialister,1.835291660808879e-05,39948
Halomonas,1.7996549295310367e-05,2745
Peribacillus,1.7640181982531943e-05,2675229
Nocardia,1.69274473569751e-05,1817
Geobacillus,1.6749263700585885e-05,129337
Rhodococcus,1.6749263700585885e-05,1827
Desulfotomaculum,1.6571080044196675e-05,1562
Shewanella,1.6571080044196675e-05,22
Flavobacterium,1.639289638780746e-05,237
Serratia,1.639289638780746e-05,613
Mycolicibacterium,1.639289638780746e-05,1866885
Cronobacter,1.621471273141825e-05,413496
Caproicibacterium,1.621471273141825e-05,2834348
Synechococcus,1.5858345418639827e-05,1129
Virgibacillus,1.5680161762250617e-05,84406
Longibaculum,1.5323794449472193e-05,1918538
Mycobacterium,1.4789243480304559e-05,1763
Plasmodium,1.4789243480304559e-05,5820
Agrobacterium,1.4254692511136923e-05,357
Weizmannia,1.3898325198358501e-05,2817139
Pedobacter,1.372014154196929e-05,84567
Novosphingobium,1.372014154196929e-05,165696
Stenotrophomonas,1.3541957885580078e-05,40323
Arthrobacter,1.3007406916412443e-05,1663
Nostoc,1.2829223260023232e-05,1177
Priestia,1.265103960363402e-05,2800373
Brevibacillus,1.265103960363402e-05,55080
Brevundimonas,1.2472855947244808e-05,41275
Alistipes,1.2472855947244808e-05,239759
Brevibacterium,1.1938304978077174e-05,1696
Paraburkholderia,1.1760121321687962e-05,1822464
Polaribacter,1.1760121321687962e-05,52959
Polynucleobacter,1.158193766529875e-05,44013
Adlercreutzia,1.158193766529875e-05,447020
Deinococcus,1.140375400890954e-05,1298
Hymenobacter,1.1225570352520328e-05,89966
Dickeya,1.1225570352520328e-05,204037
Cohnella,1.1047386696131116e-05,329857
Desulfococcus,1.1047386696131116e-05,896
Spirosoma,1.0869203039741904e-05,107
Listeria,1.0869203039741904e-05,1637
Sphingomonas,1.0512835726963482e-05,13687
Gordonibacter,1.033465207057427e-05,644652
Sporosarcina,1.033465207057427e-05,1569
Hydrogenophaga,1.033465207057427e-05,47420
Exiguobacterium,1.033465207057427e-05,33986
Peptoniphilus,1.0156468414185058e-05,162289
Candidatus Formimonas,1.0156468414185058e-05,2840454
Neisseria,1.0156468414185058e-05,482
Rossellomorea,9.978284757795846e-06,2837508
Pseudoalteromonas,9.978284757795846e-06,53246
Desulfosporosinus,9.800101101406636e-06,79206
Yersinia,9.621917445017424e-06,629
Levilactobacillus,9.621917445017424e-06,2767886
Lacticaseibacillus,9.621917445017424e-06,2759736
Slackia,9.443733788628212e-06,84108
Alkalihalobacillus,9.443733788628212e-06,2675234
Massilia,9.265550132239e-06,149698
Pluralibacter,9.265550132239e-06,1330546
Cellulosilyticum,9.265550132239e-06,698776
Moorella,9.087366475849788e-06,44260
Providencia,9.087366475849788e-06,586
Filifactor,9.087366475849788e-06,44259
Acetobacterium,9.087366475849788e-06,33951
Metabacillus,9.087366475849788e-06,2675233
Monoglobus,8.909182819460578e-06,2039302
Herbinix,8.730999163071366e-06,1663717
Atopobium,8.552815506682154e-06,1380
Aureimonas,8.552815506682154e-06,414371
Aeromonas,8.374631850292942e-06,642
Desulfuromonas,8.374631850292942e-06,890
Acetobacter,8.19644819390373e-06,434
Micromonospora,8.19644819390373e-06,1873
Aerococcus,8.01826453751452e-06,1375
Lachnoanaerobaculum,7.840080881125308e-06,1164882
Actinoalloteichus,7.840080881125308e-06,65496
Alkalibacter,7.840080881125308e-06,274470
Lelliottia,7.840080881125308e-06,1330545
Dehalobacterium,7.661897224736097e-06,51514
Cupriavidus,7.661897224736097e-06,106589
Azoarcus,7.661897224736097e-06,12960
Bordetella,7.661897224736097e-06,517
Leptotrichia,7.661897224736097e-06,32067
Alcaligenes,7.661897224736097e-06,507
Morganella,7.661897224736097e-06,581
