Organism,Sensitivity,Specificity,Precision,Accuracy,F1 Score,Pipeline,Filtering
Achromobacter xylosoxidans,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Acinetobacter baumannii,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Aeromonas hydrophila,0.8,- ,1,0.8,0.889,"""Biobakery3""",0
Enterococcus faecalis,1,1,1,1,1,"""Biobakery3""",0
Escherichia coli,1,0,0.8,0.8,0.889,"""Biobakery3""",0
Klebsiella pneumoniae,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Legionella pneumophila,1,- ,1,1,1,"""Biobakery3""",0
Listeria monocytogenes,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Neisseria meningitidis,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Salmonella enterica,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Shigella sonnei,0,1,- ,0.2,- ,"""Biobakery3""",0
Staphylococcus aureus,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Streptococcus pyogenes,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Vibrio furnissii,0.75,1,1,0.8,0.857,"""Biobakery3""",0
Harmonic Mean,0,0,0.981,0.675,0.881,"""Biobakery3""",0
Mean,0.703,0.846,0.984,0.778,0.884,"""Biobakery3""",0
Achromobacter xylosoxidans,0.75,1,1,0.8,0.857,"""Biobakery4""",0
Acinetobacter baumannii,0.75,1,1,0.8,0.857,"""Biobakery4""",0
Aeromonas hydrophila,1,- ,1,1,1,"""Biobakery4""",0
Enterococcus faecalis,1,1,1,1,1,"""Biobakery4""",0
Escherichia coli,1,0,0.8,0.8,0.889,"""Biobakery4""",0
Klebsiella pneumoniae,0.75,1,1,0.8,0.857,"""Biobakery4""",0
Legionella pneumophila,1,- ,1,1,1,"""Biobakery4""",0
Listeria monocytogenes,0.75,1,1,0.8,0.857,"""Biobakery4""",0
Neisseria meningitidis,0.75,1,1,0.8,0.857,"""Biobakery4""",0
Salmonella enterica,0.75,0,0.75,0.6,0.75,"""Biobakery4""",0
Shigella sonnei,0,1,- ,0.2,- ,"""Biobakery4""",0
Staphylococcus aureus,0.75,1,1,0.8,0.857,"""Biobakery4""",0
