SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline
SRR17380241,20,0.0749,0.0240,7.1372,0.7602,0.0336,89.4737,6.4245,0.0,1.0,biobakery3
SRR17380242,20,0.0712,0.0237,7.1126,0.7631,0.0332,89.4737,6.4792,0.0,1.0,biobakery3
SRR17380243,20,0.0619,0.0236,7.1395,0.7644,0.0334,89.4737,6.9590,0.0,1.0,biobakery3
SRR17380244,20,0.0709,0.0243,7.2037,0.7569,0.0336,89.4737,6.3814,0.0,1.0,biobakery3
SRR17380245,20,0.0818,0.0236,7.0535,0.7637,0.0332,89.4737,6.2467,0.0,1.0,biobakery3
SRR17380246,20,0.0727,0.0240,7.0955,0.7597,0.0336,89.4737,6.3996,0.0,1.0,biobakery3
Average,20,0.0722,0.0239,7.1237,0.7614,0.0334,89.4737,6.4817,0.0,1.0,biobakery3
SRR17380241,19,0.6837,0.0055,0.8240,0.9475,0.0088,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380242,19,0.6870,0.0059,0.8258,0.9438,0.0088,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380243,19,0.6937,0.0055,0.8024,0.9475,0.0086,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380244,19,0.6972,0.0054,0.8024,0.9485,0.0086,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380245,19,0.6820,0.0055,0.8160,0.9480,0.0087,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380246,19,0.6892,0.0054,0.8015,0.9485,0.0087,100.0000,0.0000,0.0,0.0,biobakery4
Average,19,0.6888,0.0055,0.8120,0.9473,0.0087,100.0000,0.0000,0.0,0.0,biobakery4
SRR17380241,23,0.4261,0.0170,5.0117,0.8046,0.0212,100.0000,1.0164,0.0,4.0,jams
SRR17380242,22,0.3600,0.0177,3.9229,0.8052,0.0216,100.0000,1.0831,0.0,3.0,jams
SRR17380243,23,0.4318,0.0169,4.5442,0.8054,0.0210,100.0000,0.9713,0.0,4.0,jams
SRR17380244,23,0.4342,0.0168,4.8769,0.8065,0.0211,100.0000,0.7624,0.0,4.0,jams
SRR17380245,23,0.4302,0.0169,4.6888,0.8056,0.0211,100.0000,0.8618,0.0,4.0,jams
SRR17380246,22,0.3596,0.0178,3.7596,0.8041,0.0217,100.0000,0.8832,0.0,3.0,jams
Average,23,0.4070,0.0172,4.4673,0.8052,0.0213,100.0000,0.9297,0.0,3.6666666666666665,jams
SRR17380241,19,0.0308,0.0200,1.8869,0.8098,0.0231,100.0000,0.0000,0.0,0.0,jams202212
SRR17380242,19,0.0352,0.0198,1.8784,0.8121,0.0228,100.0000,0.0000,0.0,0.0,jams202212
SRR17380243,19,0.0394,0.0196,1.8411,0.8141,0.0224,100.0000,0.0000,0.0,0.0,jams202212
SRR17380244,19,0.0324,0.0198,1.8519,0.8123,0.0227,100.0000,0.0000,0.0,0.0,jams202212
SRR17380245,19,0.0351,0.0197,1.8480,0.8128,0.0226,100.0000,0.0000,0.0,0.0,jams202212
SRR17380246,19,0.0308,0.0200,1.8754,0.8103,0.0229,100.0000,0.0000,0.0,0.0,jams202212
Average,19,0.0339,0.0198,1.8636,0.8119,0.0227,100.0000,0.0000,0.0,0.0,jams202212
SRR17380241,30,0.6059,0.0131,7.5845,0.8034,0.0196,100.0000,1.2148,0.0,11.0,sunbeam
SRR17380242,29,0.5841,0.0136,7.2110,0.8022,0.0202,100.0000,1.2102,0.0,10.0,sunbeam
SRR17380243,29,0.5893,0.0136,7.1238,0.8034,0.0200,100.0000,1.2049,0.0,10.0,sunbeam
SRR17380244,30,0.6060,0.0131,7.6125,0.8039,0.0196,100.0000,1.2195,0.0,11.0,sunbeam
SRR17380245,30,0.6072,0.0130,7.6072,0.8045,0.0195,100.0000,1.2165,0.0,11.0,sunbeam
SRR17380246,29,0.5903,0.0135,7.1159,0.8037,0.0199,100.0000,1.2070,0.0,10.0,sunbeam
Average,30,0.5971,0.0133,7.3758,0.8035,0.0198,100.0000,1.2122,0.0,10.5,sunbeam
SRR17380241,40,0.4474,0.0121,9.4885,0.7573,0.0238,100.0000,12.4635,0.0,21.0,wgsa2
SRR17380242,40,0.4378,0.0123,9.5428,0.7550,0.0241,100.0000,12.6578,0.0,21.0,wgsa2
