SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
EG,bio4,14,0.5049,0.0229,6.4550,0.8400,0.0342,85.7143,0.0000
EG,jams,14,0.4230,0.0246,6.7319,0.8279,0.0398,100.0000,0.0000
EG,wgsa2,14,0.5598,0.0202,3.8550,0.8586,0.0276,100.0000,0.0000
EG,woltka,14,0.1669,0.0549,3.6377,0.6157,0.0752,100.0000,0.0000
MIX-A,bio4,11,0.9901,0.0077,2.9796,0.9579,0.0142,81.8182,0.0000
MIX-A,jams,11,0.7996,0.0360,4.9976,0.8020,0.0698,72.7273,0.0000
MIX-A,wgsa2,11,0.9911,0.0091,0.9344,0.9501,0.0150,100.0000,0.0000
MIX-A,woltka,12,0.3132,0.0856,13.1465,0.4866,0.1434,90.9091,18.6425
MIX-B,bio4,11,0.5530,0.0603,12.0853,0.6681,0.1076,63.6364,0.0000
MIX-B,jams,11,0.9632,0.0203,6.5249,0.8881,0.0298,81.8182,0.0000
MIX-B,wgsa2,11,0.9691,0.0167,5.2327,0.9083,0.0241,100.0000,0.0000
MIX-B,woltka,11,0.7965,0.0435,6.1353,0.7607,0.0631,100.0000,0.0000
MIX-C,bio4,12,0.2631,0.0548,13.3953,0.6710,0.1200,63.6364,29.4877
MIX-C,jams,12,0.2786,0.0759,14.2954,0.5446,0.1305,81.8182,25.5284
MIX-C,wgsa2,11,0.4222,0.0685,9.3732,0.6234,0.1368,90.9091,0.0000
MIX-C,woltka,12,0.0355,0.0849,13.9936,0.4906,0.1630,90.9091,46.1405
MIX-D,bio4,11,0.9451,0.0163,3.4686,0.9103,0.0313,72.7273,0.0000
MIX-D,jams,11,0.8836,0.0259,5.1936,0.8576,0.0490,90.9091,0.0000
MIX-D,wgsa2,11,0.8797,0.0245,1.8678,0.8652,0.0493,100.0000,0.0000
MIX-D,woltka,11,0.5569,0.0611,10.8382,0.6641,0.1072,90.9091,0.0000
