genus,S2,tax_id
ACHROMOBACTER,0.1446495,222
AKKERMANSIA,0.0,239934
BACTEROIDES,0.087326,816
BIFIDOBACTERIUM,0.0,1678
BORDETELLA,0.4156861,517
BURKHOLDERIA,0.0,32008
BUTYRIVIBRIO,0.0040872999999999994,830
CELLULOSILYTICUM,0.0,698776
CLOSTRIDIUM,0.2238878,1485
DESULFOVIBRIO,0.0040894,872
ERYSIPELOTHRIX,0.0,1647
ESCHERICHIA,0.0,561
EUBACTERIUM,0.0,1730
FERMENTIMONAS,0.0,1784836
HUNGATEICLOSTRIDIUM,0.0087907,35829
LACHNOCLOSTRIDIUM,0.0,1506553
MURIBACULUM,0.0026772000000000002,1918540
ODORIBACTER,0.0,283168
PARABACTEROIDES,0.0059158,375288
ROSEBURIA,0.0985684,841
RUMINOCOCCUS,0.0,1263
THERMOCLOSTRIDIUM,0.0043221,2304691
