species,Mix-C_S4_L001,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.427878,85698
ESCHERICHIA_COLI,0.216846,562
STREPTOCOCCUS_PYOGENES,0.143391,1314
SHIGELLA_SONNEI,0.067255,624
VIBRIO_FURNISSII,0.03506,29494
ENTEROCOCCUS_FAECALIS,0.022737,1351
LISTERIA_MONOCYTOGENES,0.015375,1639
UNCLASSIFIED,0.005378,12908
SHIGELLA_FLEXNERI,0.003683,623
SHIGELLA_BOYDII,0.001495,621
ESCHERICHIA_SP._MOD1-EC7003,0.000789,2093900
ESCHERICHIA_SP._MOD1-EC5990,0.000316,2093880
SALMONELLA_ENTERICA,0.000207,28901
LEGIONELLA_PNEUMOPHILA,0.000181,446
ESCHERICHIA_ALBERTII,0.000108,208962
STREPTOCOCCUS_EQUI,9.5e-05,1336
ENTEROCOCCUS_FAECIUM,6.5e-05,1352
ENTEROCOCCUS_SP._S157-ASV-20,3.3e-05,2847000
ENTEROCOCCUS_GALLINARUM,3e-05,1353
ENTEROCOCCUS_SP._BWR-S5,2.9e-05,2787714
VIBRIO_FLUVIALIS,1.7e-05,676
ENTEROCOCCUS_CASSELIFLAVUS,1.6e-05,37734
ENTEROCOCCUS_SP._CU9D,1.6e-05,1857218
AEROMONAS_HYDROPHILA,1.3e-05,644
ENTEROCOCCUS_THAILANDICUS,1.3e-05,417368
ENTEROCOCCUS_SP._HMSC073E09,1.3e-05,1739405
VIBRIO_VULNIFICUS,1.3e-05,672
GIGASPORA_MARGARITA,1.1e-05,4874
VIBRIO_TRITONIUS,1.1e-05,1435069
LISTERIA_COSSARTIAE,8e-06,2838249
LISTERIA_IMMOBILIS,8e-06,2713502
ENTEROCOCCUS_DURANS,8e-06,53345
ENTEROCOCCUS_CECORUM,8e-06,44008
LISTERIA_MARTHII,8e-06,529731
VIBRIO_CASEI,7e-06,673372
STREPTOCOCCUS_AGALACTIAE,7e-06,1311
LIMOSILACTOBACILLUS_REUTERI,7e-06,1598
ENTEROCOCCUS_RIVORUM,6e-06,762845
KLEBSIELLA_PNEUMONIAE,6e-06,573
KLEBSIELLA_OXYTOCA,5e-06,571
LISTERIA_SP._PSOL-1,4e-06,1844999
SHIGELLA_DYSENTERIAE,3e-06,622
LEPTOSPIRA_BORGPETERSENII,0.0,174
