species,Mix-A_S2_L001,tax_id
ESCHERICHIA_COLI,0.49113798227596456,562.0
STAPHYLOCOCCUS_AUREUS,0.24585349170698342,1280.0
NEISSERIA_MENINGITIDIS,0.1923503847007694,487.0
KLEBSIELLA_PNEUMONIAE,0.016138032276064553,573.0
ACINETOBACTER_BAUMANNII,0.010652021304042608,470.0
UNCLASSIFIED,0.004066008132016264,12908.0
SALMONELLA_ENTERICA,0.003084006168012336,28901.0
STAPHYLOCOCCUS_SP._GDQ8D198P,0.00038500077000154,2804385.0
LEGIONELLA_PNEUMOPHILA,0.000314000628001256,446.0
STAPHYLOCOCCUS_KLOOSII,0.00013500027000054,29384.0
NEISSERIA_GONORRHOEAE,8.000016000032e-05,485.0
ACINETOBACTER_PITTII,6.300012600025201e-05,48296.0
KLEBSIELLA_VARIICOLA,5.1000102000204e-05,244366.0
SALMONELLA_BONGORI,3.7000074000148e-05,54736.0
ACINETOBACTER_NOSOCOMIALIS,3.1000062000124e-05,106654.0
AEROMONAS_HYDROPHILA,2.6000052000104e-05,644.0
ACINETOBACTER_SEIFERTII,2.1000042000084e-05,1530123.0
KLEBSIELLA_QUASIPNEUMONIAE,1.3000026000052e-05,1463165.0
ACINETOBACTER_CALCOACETICUS,9.000018000036e-06,471.0
KLEBSIELLA_HUAXIENSIS,9.000018000036e-06,2153354.0
ACINETOBACTER_SP._ANC-3813,8.000016000032e-06,1977873.0
SALMONELLA_SP._S030-03996,8.000016000032e-06,2665535.0
SALMONELLA_SP._32040203-2019-00004,7.000014000028e-06,2819775.0
ENTEROBACTER_HORMAECHEI,7.000014000028e-06,158836.0
KLEBSIELLA_GRIMONTII,5.00001000002e-06,2058152.0
ACINETOBACTER_URSINGII,5.00001000002e-06,108980.0
KLEBSIELLA_SP._K5,5.00001000002e-06,2769350.0
CITROBACTER_TRUCTAE,5.00001000002e-06,2562449.0
ACINETOBACTER_RADIORESISTENS,5.00001000002e-06,40216.0
SALMONELLA_SP._SSDFZ54,4.000008000016e-06,2500542.0
FIBROBACTER_SP._UWOV1,4.000008000016e-06,1896215.0
KOSAKONIA_PSEUDOSACCHARI,4.000008000016e-06,1646340.0
KLEBSIELLA_AFRICANA,4.000008000016e-06,2489010.0
ACINETOBACTER_RONGCHENGENSIS,4.000008000016e-06,2419601.0
DANKOOKIA_RUBRA,3.000006000012e-06,1442381.0
STAPHYLOCOCCUS_GALLINARUM,0.0,1293.0
STREPTOCOCCUS_PYOGENES,0.0,1314.0
STREPTOCOCCUS_EQUI,0.0,1336.0
STREPTOCOCCUS_ICTALURI,0.0,380397.0
NEISSERIA_ELONGATA,0.0,495.0
STREPTOCOCCUS_PENAEICIDA,0.0,1765960.0
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148.0
STREPTOCOCCUS_PHOCAE,0.0,119224.0
LISTERIA_MONOCYTOGENES,0.0,1639.0
SULFITOBACTER_SP._BDSS02,0.0,2663018.0
VIBRIO_CASEI,0.0,673372.0
VIBRIO_FLUVIALIS,0.0,676.0
LISTERIA_MARTHII,0.0,529731.0
VIBRIO_FURNISSII,0.0,29494.0
VIBRIO_TRITONIUS,0.0,1435069.0
LISTERIA_IMMOBILIS,0.0,2713502.0
NEISSERIA_LACTAMICA,0.0,486.0
STREPTOCOCCUS_DYSGALACTIAE,0.0,1334.0
STAPHYLOCOCCUS_CAPITIS,0.0,29388.0
SHIGELLA_FLEXNERI,0.0,623.0
LISTERIA_SP._PSOL-1,0.0,1844999.0
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002.0
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366.0
STAPHYLOCOCCUS_SP._HMSC076E07,0.0,1715174.0
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283.0
SHIGELLA_SONNEI,0.0,624.0
SHIGELLA_DYSENTERIAE,0.0,622.0
NEISSERIA_POLYSACCHAREA,0.0,489.0
SHIGELLA_BOYDII,0.0,621.0
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028.0
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388.0
STREPTOCOCCUS_SP._HKU75,0.0,2781599.0
STREPTOCOCCUS_AGALACTIAE,0.0,1311.0
PSEUDOMONAS_AERUGINOSA,0.0,287.0
LISTERIA_COSSARTIAE,0.0,2838249.0
ACHROMOBACTER_SP._ASV32,0.0,2795101.0
LIMOSILACTOBACILLUS_REUTERI,0.0,1598.0
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698.0
ENTEROCOCCUS_SP._BWR-S5,0.0,2787714.0
ENTEROBACTER_ROGGENKAMPII,0.0,1812935.0
ENTEROBACTER_LIGNOLYTICUS,0.0,1334193.0
ENTAMOEBA_HISTOLYTICA,0.0,5759.0
CLOSTRIDIOIDES_DIFFICILE,0.0,1496.0
