species,Mix-B_S3_L001,tax_id
KLEBSIELLA_PNEUMONIAE,0.3592787185574371,573.0
SALMONELLA_ENTERICA,0.3129166258332517,28901.0
ACINETOBACTER_BAUMANNII,0.24593649187298375,470.0
ACHROMOBACTER_XYLOSOXIDANS,0.01570703141406283,85698.0
STREPTOCOCCUS_PYOGENES,0.009851019702039405,1314.0
ESCHERICHIA_COLI,0.003511007022014044,562.0
SALMONELLA_BONGORI,0.00208000416000832,54736.0
SHIGELLA_SONNEI,0.00101000202000404,624.0
UNCLASSIFIED,0.000637001274002548,12908.0
ACINETOBACTER_VARIABILIS,0.000316000632001264,70346.0
LEGIONELLA_PNEUMOPHILA,0.000298000596001192,446.0
ESCHERICHIA_ALBERTII,0.000258000516001032,208962.0
SHIGELLA_BOYDII,5.9000118000236e-05,621.0
SHIGELLA_FLEXNERI,5.1000102000204e-05,623.0
ACHROMOBACTER_RUHLANDII,3.2000064000128e-05,72557.0
STREPTOCOCCUS_DYSGALACTIAE,2.3000046000092e-05,1334.0
AEROMONAS_HYDROPHILA,2.2000044000088e-05,644.0
ACHROMOBACTER_DELEYI,2.000004000008e-05,1353891.0
KLEBSIELLA_OXYTOCA,1.4000028000056e-05,571.0
PSEUDOMONAS_AERUGINOSA,1.3000026000052e-05,287.0
ENTEROBACTER_HORMAECHEI,1.2000024000048e-05,158836.0
KLEBSIELLA_QUASIPNEUMONIAE,1.2000024000048e-05,1463165.0
STREPTOCOCCUS_ICTALURI,1.1000022000044e-05,380397.0
ACHROMOBACTER_SP._BEL,9.000018000036e-06,2727415.0
ACHROMOBACTER_SP._DH1F,9.000018000036e-06,1397275.0
STREPTOCOCCUS_PENAEICIDA,9.000018000036e-06,1765960.0
ACHROMOBACTER_PULMONIS,9.000018000036e-06,1389932.0
SHIGELLA_DYSENTERIAE,9.000018000036e-06,622.0
ESCHERICHIA_FERGUSONII,8.000016000032e-06,564.0
STREPTOCOCCUS_EQUI,8.000016000032e-06,1336.0
ACHROMOBACTER_SP._UMC71,8.000016000032e-06,1862320.0
ACHROMOBACTER_INSUAVIS,8.000016000032e-06,1287735.0
STREPTOCOCCUS_PHOCAE,7.000014000028e-06,119224.0
ENTEROBACTER_LIGNOLYTICUS,6.000012000024e-06,1334193.0
ACHROMOBACTER_SP._ASV32,5.00001000002e-06,2795101.0
ACHROMOBACTER_SP._DMS1,5.00001000002e-06,1688405.0
ACHROMOBACTER_INSOLITUS,5.00001000002e-06,217204.0
KOSAKONIA_ARACHIDIS,5.00001000002e-06,551989.0
CITROBACTER_AMALONATICUS,4.000008000016e-06,35703.0
ESCHERICHIA_SP._MOD1-EC7003,4.000008000016e-06,2093900.0
SULFITOBACTER_SP._BDSS02,4.000008000016e-06,2663018.0
ACHROMOBACTER_SPANIUS,4.000008000016e-06,217203.0
ACHROMOBACTER_DOLENS,3.000006000012e-06,1287738.0
NEISSERIA_SP._ORAL-TAXON-014,0.0,641148.0
LISTERIA_MONOCYTOGENES,0.0,1639.0
NEISSERIA_LACTAMICA,0.0,486.0
SALMONELLA_SP._SSDFZ54,0.0,2500542.0
SALMONELLA_SP._S030-03996,0.0,2665535.0
SALMONELLA_SP._32040203-2019-00004,0.0,2819775.0
NEISSERIA_GONORRHOEAE,0.0,485.0
NEISSERIA_POLYSACCHAREA,0.0,489.0
NEISSERIA_MENINGITIDIS,0.0,487.0
NEISSERIA_ELONGATA,0.0,495.0
STAPHYLOCOCCUS_HAEMOLYTICUS,0.0,1283.0
STAPHYLOCOCCUS_SP._GDQ8D198P,0.0,2804385.0
STAPHYLOCOCCUS_SP._HMSC076E07,0.0,1715174.0
VIBRIO_TRITONIUS,0.0,1435069.0
VIBRIO_FURNISSII,0.0,29494.0
VIBRIO_FLUVIALIS,0.0,676.0
VIBRIO_CASEI,0.0,673372.0
STREPTOCOCCUS_AGALACTIAE,0.0,1311.0
STREPTOCOCCUS_SP._HKU75,0.0,2781599.0
STAPHYLOCOCCUS_SCHWEITZERI,0.0,1654388.0
STAPHYLOCOCCUS_SACCHAROLYTICUS,0.0,33028.0
STAPHYLOCOCCUS_KLOOSII,0.0,29384.0
LISTERIA_IMMOBILIS,0.0,2713502.0
STAPHYLOCOCCUS_GALLINARUM,0.0,1293.0
STAPHYLOCOCCUS_CAPITIS,0.0,29388.0
STAPHYLOCOCCUS_AUREUS,0.0,1280.0
STAPHYLOCOCCUS_ARGENTEUS,0.0,985002.0
STAPHYLOCOCCUS_SP._MZ8,0.0,2836366.0
LISTERIA_MARTHII,0.0,529731.0
KLEBSIELLA_AFRICANA,0.0,2489010.0
LISTERIA_COSSARTIAE,0.0,2838249.0
LISTERIA_SP._PSOL-1,0.0,1844999.0
ENTEROCOCCUS_SP._S157-ASV-20,0.0,2847000.0
ENTEROCOCCUS_SP._HMSC073E09,0.0,1739405.0
ENTEROCOCCUS_SP._CU9D,0.0,1857218.0
ENTEROCOCCUS_SP._BWR-S5,0.0,2787714.0
ENTEROBACTER_ROGGENKAMPII,0.0,1812935.0
ENTAMOEBA_HISTOLYTICA,0.0,5759.0
DANKOOKIA_RUBRA,0.0,1442381.0
CLOSTRIDIOIDES_DIFFICILE,0.0,1496.0
CITROBACTER_TRUCTAE,0.0,2562449.0
CITROBACTER_SP._ASV29,0.0,2795111.0
AEROMICROBIUM_ERYTHREUM,0.0,2041.0
ACINETOBACTER_URSINGII,0.0,108980.0
ACINETOBACTER_SEIFERTII,0.0,1530123.0
ACINETOBACTER_RONGCHENGENSIS,0.0,2419601.0
ACINETOBACTER_RADIORESISTENS,0.0,40216.0
ACINETOBACTER_PITTII,0.0,48296.0
ACINETOBACTER_NOSOCOMIALIS,0.0,106654.0
ACINETOBACTER_CALCOACETICUS,0.0,471.0
ACINETOBACTER_SP._ANC-3813,0.0,1977873.0
ENTEROCOCCUS_AVIUM,0.0,33945.0
ENTEROCOCCUS_CASSELIFLAVUS,0.0,37734.0
ENTEROCOCCUS_CECORUM,0.0,44008.0
GIGASPORA_MARGARITA,0.0,4874.0
LIMOSILACTOBACILLUS_REUTERI,0.0,1598.0
LEPTOSPIRA_BORGPETERSENII,0.0,174.0
KOSAKONIA_PSEUDOSACCHARI,0.0,1646340.0
KLEBSIELLA_VARIICOLA,0.0,244366.0
KLEBSIELLA_HUAXIENSIS,0.0,2153354.0
KLEBSIELLA_GRIMONTII,0.0,2058152.0
KLEBSIELLA_SP._K5,0.0,2769350.0
HAEMOPHILUS_INFLUENZAE,0.0,727.0
FIBROBACTER_SP._UWOV1,0.0,1896215.0
ENTEROCOCCUS_DURANS,0.0,53345.0
ESCHERICHIA_SP._MOD1-EC5990,0.0,2093880.0
ENTEROCOCCUS_THAILANDICUS,0.0,417368.0
ENTEROCOCCUS_RIVORUM,0.0,762845.0
ENTEROCOCCUS_LEMANII,0.0,1159752.0
ENTEROCOCCUS_HIRAE,0.0,1354.0
ENTEROCOCCUS_GALLINARUM,0.0,1353.0
ENTEROCOCCUS_FAECIUM,0.0,1352.0
ENTEROCOCCUS_FAECALIS,0.0,1351.0
VIBRIO_VULNIFICUS,0.0,672.0
