species,EG_S1_L001,tax_id
ESCHERICHIA_COLI,0.192194846830919,562.0
VIBRIO_FURNISSII,0.11879528722827663,29494.0
ENTEROCOCCUS_FAECALIS,0.09411143533138801,1351.0
STAPHYLOCOCCUS_AUREUS,0.06751859488843066,1280.0
LISTERIA_MONOCYTOGENES,0.06698759807441156,1639.0
ACHROMOBACTER_XYLOSOXIDANS,0.06314262114427313,85698.0
ACINETOBACTER_BAUMANNII,0.0597916412501525,470.0
KLEBSIELLA_PNEUMONIAE,0.05851964888210671,573.0
NEISSERIA_MENINGITIDIS,0.0506276962338226,487.0
STREPTOCOCCUS_PYOGENES,0.040966754199474806,1314.0
SALMONELLA_ENTERICA,0.024487853072881562,28901.0
UNCLASSIFIED,0.006678959926240443,12908.0
SHIGELLA_SONNEI,0.0020749875500746997,624.0
ENTEROCOCCUS_FAECIUM,0.0004919970480177119,1352.0
ENTEROCOCCUS_DURANS,0.00028599828401029595,53345.0
STREPTOCOCCUS_DYSGALACTIAE,0.00025799845200928797,1334.0
ACINETOBACTER_PITTII,0.00020499877000737995,48296.0
ACINETOBACTER_INDICUS,0.00019599882400705596,756892.0
ACHROMOBACTER_RUHLANDII,0.00014199914800511196,72557.0
STREPTOCOCCUS_AGALACTIAE,0.00013999916000503998,1311.0
KLEBSIELLA_VARIICOLA,0.00013399919600482396,244366.0
STAPHYLOCOCCUS_EPIDERMIDIS,0.00013099921400471596,1282.0
ENTEROCOCCUS_SP._CU9D,0.00011599930400417597,1857218.0
SHIGELLA_BOYDII,9.999940000359997e-05,621.0
ACHROMOBACTER_PULMONIS,8.799947200316798e-05,1389932.0
SHIGELLA_FLEXNERI,8.699947800313197e-05,623.0
STAPHYLOCOCCUS_SP._GDQ8D198P,7.399955600266399e-05,2804385.0
LISTERIA_BOORIAE,7.299956200262799e-05,1552123.0
KLEBSIELLA_QUASIPNEUMONIAE,7.099957400255598e-05,1463165.0
ACHROMOBACTER_DELEYI,6.899958600248399e-05,1353891.0
ACINETOBACTER_LARVAE,6.599960400237599e-05,1789224.0
NEISSERIA_BERGERI,6.499961000233999e-05,1906581.0
STAPHYLOCOCCUS_SAPROPHYTICUS,5.5999664002015986e-05,29385.0
NEISSERIA_POLYSACCHAREA,5.499967000197999e-05,489.0
SALMONELLA_BONGORI,5.499967000197999e-05,54736.0
ACHROMOBACTER_PIECHAUDII,5.3999676001943986e-05,72556.0
STREPTOCOCCUS_PHAGE_JAVAN150,5.299968200190799e-05,2548008.0
ACINETOBACTER_QINGFENGENSIS,4.899970600176399e-05,1262585.0
ENTEROCOCCUS_GALLINARUM,4.799971200172799e-05,1353.0
ACHROMOBACTER_SP._ASV32,4.399973600158399e-05,2795101.0
ACHROMOBACTER_DOLENS,4.199974800151199e-05,1287738.0
PSEUDOMONAS_SP._57B-090624,4.099975400147599e-05,2213080.0
ACHROMOBACTER_INSOLITUS,3.799977200136799e-05,217204.0
LACTOCOCCUS_RAFFINOLACTIS,3.799977200136799e-05,1366.0
ACHROMOBACTER_INSUAVIS,3.599978400129599e-05,1287735.0
STAPHYLOCOCCUS_KLOOSII,3.4999790001259995e-05,29384.0
STAPHYLOCOCCUS_SP._HMSC076E07,3.399979600122399e-05,1715174.0
TRABULSIELLA_ODONTOTERMITIS,3.399979600122399e-05,379893.0
ACINETOBACTER_NOSOCOMIALIS,3.2999802001187995e-05,106654.0
STAPHYLOCOCCUS_ARGENTEUS,3.2999802001187995e-05,985002.0
ACHROMOBACTER_ALOEVERAE,3.0999814001115996e-05,1750518.0
ACINETOBACTER_CALCOACETICUS,3.0999814001115996e-05,471.0
ACINETOBACTER_OLEIVORANS,2.8999826001043993e-05,1148157.0
SALMONELLA_SP._S030-03996,2.4999850000899994e-05,2665535.0
ENTEROCOCCUS_HIRAE,2.4999850000899994e-05,1354.0
LISTERIA_COSSARTIAE,2.3999856000863994e-05,2838249.0
ACHROMOBACTER_SP._DH1F,2.0999874000755995e-05,1397275.0
SHIGELLA_DYSENTERIAE,2.0999874000755995e-05,622.0
ACINETOBACTER_URSINGII,1.9999880000719995e-05,108980.0
ENTAMOEBA_HISTOLYTICA,1.9999880000719995e-05,5759.0
ACHROMOBACTER_MARPLATENSIS,1.8999886000683995e-05,470868.0
