Genus,RA,TAX_ID
Pseudomonas,0.07374495606302942,286
Parabacteroides,0.07213617650415353,375288
Bifidobacterium,0.06783326605245184,1678
Bacteroides,0.0639911018905076,816
Enterocloster,0.059525525003789874,2719313
Mediterraneibacter,0.04785152557269657,2316020
Anaerostipes,0.04292026278719994,207244
Blautia,0.04161603567419701,572511
Akkermansia,0.0403799410994207,239934
Bacillus,0.039894667095901656,1386
Streptococcus,0.03569054882462855,1301
Cutibacterium,0.03416182499816894,1912216
Staphylococcus,0.031173872534240858,1279
Flavonifractor,0.029804408515885953,946234
Collinsella,0.027553990778260953,102106
Megamonas,0.022975654540778177,158846
Lactobacillus,0.01954858786797958,1578
Escherichia,0.01900761551446028,561
Megasphaera,0.00936583936732125,906
Lachnoclostridium,0.004254706680906367,1506553
Clostridioides,0.0011453079675893517,1870884
Coprococcus,0.0008560853428173827,33042
Roseburia,0.0006813253822661223,841
Oscillibacter,0.0006602042954158725,459786
Dysosmobacter,0.0005784452495439378,2591381
Faecalibacterium,0.0004953235529074709,216851
Anaerobutyricum,0.00027287081559758197,2569097
Longicatena,0.00021972743578082445,1918536
Clostridium,0.00021972743578082445,1485
Paenibacillus,0.0002156394834872277,44249
Eubacterium,0.00020763391024560077,1730
Lacrimispora,0.0001982656862394416,2719231
Citrobacter,0.00019043044434338119,544
Ruthenibacterium,0.00017799625611702446,1905344
Faecalibacillus,0.0001459739631505167,2678885
Enterococcus,0.00014563330045938363,1350
Shigella,0.00013643540779879098,620
Enterobacter,0.00011872094785987181,547
Streptomyces,9.896251177415426e-05,1883
Erysipelatoclostridium,9.674820428178936e-05,1505663
Klebsiella,8.840196834902936e-05,570
Selenomonas,8.482501009213222e-05,970
Olsenella,8.039639510740242e-05,133925
Faecalicatena,7.903374434287019e-05,2005359
Intestinimonas,7.153916513794284e-05,1392389
Acidaminococcus,6.881386360887835e-05,904
Salmonella,6.79622068810457e-05,590
Campylobacter,6.200060978621713e-05,194
Flintibacter,5.79126574926204e-05,1918454
Hungatella,5.5357687309122436e-05,1649459
Massilistercora,5.1440066361092235e-05,2717089
Caproiciproducens,5.024774694212652e-05,1738645
Amedibacterium,4.990708425099346e-05,2749267
Phocaeicola,4.9055427523160805e-05,909656
Aminipila,4.7181782721928966e-05,2060094
Christensenella,4.2923499082765704e-05,990721
Rhizobium,3.9176209480302034e-05,379
Faecalitalea,3.90058781347355e-05,1573534
Ruminococcus,3.576958256897142e-05,1263
Solibaculum,3.542891987783836e-05,2842531
Rothia,3.5088257186705296e-05,32207
Anaerocolumna,3.5088257186705296e-05,1843210
Pelosinus,3.440693180443917e-05,365348
Homo,3.3555275076606526e-05,9605
Vibrio,3.3384943731039995e-05,662
Phascolarctobacterium,3.3044281039906933e-05,33024
Corynebacterium,3.0829973547542034e-05,1716
Butyrivibrio,3.0489310856408972e-05,830
Kosakonia,2.9296991437443257e-05,1330547
Nocardioides,2.9296991437443257e-05,1839
Veillonella,2.8785997400743668e-05,29465
Desulfovibrio,2.8615666055177137e-05,872
Fusobacterium,2.8445334709610606e-05,848
Leclercia,2.7934340672911014e-05,83654
Bradyrhizobium,2.7593677981777953e-05,374
Acutalibacter,2.7593677981777953e-05,1918385
Acinetobacter,2.7593677981777953e-05,469
Parolsenella,2.6571689908378768e-05,2082587
Chryseobacterium,2.6401358562812237e-05,59732
Prevotella,2.5549701834979587e-05,838
Dehalobacter,2.4698045107146933e-05,56112
Mesorhizobium,2.4527713761580402e-05,68287
Planococcus,2.418705107044734e-05,1372
Raoultella,2.3165062997048156e-05,160674
Mahella,2.299473165148163e-05,252965
Treponema,2.2824400305915098e-05,157
Microbacterium,2.2654068960348567e-05,33882
Flavobacterium,2.1972743578082444e-05,237
Geobacter,2.112108685024979e-05,28231
Lachnospira,1.9417773394584486e-05,28050
Burkholderia,1.9417773394584486e-05,32008
Desulfitobacterium,1.9077110703451425e-05,36853
Pantoea,1.822545397561877e-05,53335
Shewanella,1.788479128448571e-05,22
Mammaliicoccus,1.771445993891918e-05,2803850
Nocardia,1.7544128593352648e-05,1817
Dialister,1.6862803211086528e-05,39948
Halomonas,1.6692471865519998e-05,2745
Mycobacterium,1.6692471865519998e-05,1763
Yersinia,1.6011146483253874e-05,629
Geobacillus,1.6011146483253874e-05,129337
Peribacillus,1.5670483792120813e-05,2675229
Mycolicibacterium,1.515948975542122e-05,1866885
Weizmannia,1.4818827064288159e-05,2817139
Cohnella,1.4818827064288159e-05,329857
Synechococcus,1.4648495718721628e-05,1129
Plasmodium,1.44781643731551e-05,5820
Priestia,1.44781643731551e-05,2800373
Longibaculum,1.4307833027588569e-05,1918538
Cronobacter,1.4307833027588569e-05,413496
Alistipes,1.4307833027588569e-05,239759
Stenotrophomonas,1.3967170336455507e-05,40323
Serratia,1.3626507645322446e-05,613
Pedobacter,1.3456176299755915e-05,84567
Deinococcus,1.3285844954189384e-05,1298
Aeromonas,1.3115513608622853e-05,642
Caproicibacterium,1.3115513608622853e-05,2834348
Brevundimonas,1.3115513608622853e-05,41275
Arthrobacter,1.2945182263056324e-05,1663
Rhodococcus,1.2945182263056324e-05,1827
Spirosoma,1.2434188226356732e-05,107
Paraburkholderia,1.2434188226356732e-05,1822464
Desulfotomaculum,1.209352553522367e-05,1562
Agrobacterium,1.192319418965714e-05,357
Nostoc,1.192319418965714e-05,1177
Brevibacillus,1.192319418965714e-05,55080
Cellulosilyticum,1.1582531498524078e-05,698776
Hymenobacter,1.1412200152957549e-05,89966
Polynucleobacter,1.1412200152957549e-05,44013
Novosphingobium,1.1412200152957549e-05,165696
Massilia,1.1241868807391018e-05,149698
Adlercreutzia,1.1071537461824488e-05,447020
Neisseria,1.1071537461824488e-05,482
Acetivibrio,1.0901206116257957e-05,35829
Polaribacter,1.0901206116257957e-05,52959
Virgibacillus,1.0901206116257957e-05,84406
Micromonospora,1.0390212079558364e-05,1873
Pluralibacter,1.0390212079558364e-05,1330546
Lelliottia,1.0219880733991834e-05,1330545
Lacticaseibacillus,1.0219880733991834e-05,2759736
Brevibacterium,1.0219880733991834e-05,1696
Monoglobus,1.0219880733991834e-05,2039302
Levilactobacillus,1.0049549388425303e-05,2767886
Listeria,9.879218042858774e-06,1637
Sphingomonas,9.879218042858774e-06,13687
Pseudoalteromonas,9.708886697292243e-06,53246
Sporosarcina,9.708886697292243e-06,1569
Bordetella,9.708886697292243e-06,517
Exiguobacterium,9.538555351725712e-06,33986
Achromobacter,9.538555351725712e-06,222
Atopobium,9.538555351725712e-06,1380
Cedecea,9.368224006159182e-06,158483
Metabacillus,9.197892660592651e-06,2675233
Rossellomorea,9.197892660592651e-06,2837508
Aerococcus,9.197892660592651e-06,1375
Acetobacter,9.197892660592651e-06,434
Aureimonas,9.02756131502612e-06,414371
Lactococcus,9.02756131502612e-06,1357
Lysobacter,8.85722996945959e-06,68
Candidatus Formimonas,8.85722996945959e-06,2840454
Alkalihalobacillus,8.85722996945959e-06,2675234
Xanthomonas,8.686898623893059e-06,338
Gordonibacter,8.686898623893059e-06,644652
