Species,RA,TAX_ID
Pseudomonas putida,0.0719,303
Bifidobacterium longum,0.0617,216816
Parabacteroides distasonis,0.0616,823
Enterocloster clostridioformis,0.057300000000000004,1531
Bacteroides uniformis,0.0481,820
Ruminococcus gnavus,0.047599999999999996,33038
Anaerostipes caccae,0.042,105841
Akkermansia muciniphila,0.0407,239935
Cutibacterium acnes,0.0341,1747
Streptococcus mutans,0.0339,1309
Flavonifractor plautii,0.0301,292800
Staphylococcus epidermidis,0.028900000000000002,1282
Collinsella aerofaciens,0.0279,74426
Blautia producta,0.023,33035
Megamonas funiformis,0.0219,437897
Lactobacillus delbrueckii,0.0195,1584
Escherichia coli,0.0171,562
Blautia sp. YL58,0.014499999999999999,1796616
Megasphaera elsdenii,0.008100000000000001,907
Lachnoclostridium sp. YL32,0.0036,1834196
Bacillus subtilis,0.0034999999999999996,1423
Blautia argi,0.0016,1912897
Enterocloster bolteae,0.0016,208479
Clostridioides difficile,0.0012,1496
Megasphaera stantonii,0.001,2144175
Bifidobacterium breve,0.0009,1685
Blautia sp. SC05B48,0.0007000000000000001,2479767
Faecalibacterium prausnitzii,0.0005,853
Roseburia intestinalis,0.0005,166486
Anaerostipes rhamnosivorans,0.0005,1229621
Clostridium scindens,0.0005,29347
Coprococcus comes,0.0005,410072
Oscillibacter sp. PEA192,0.0004,2109687
Dysosmobacter welbionis,0.0003,2093857
Coprococcus catus,0.0003,116085
Bacillus vallismortis,0.0003,72361
Bacillus tequilensis,0.0003,227866
Blautia obeum,0.0003,40520
Anaerobutyricum hallii,0.0003,39488
Ruminococcus torques,0.0003,33039
Lachnoclostridium phocaeense,0.0002,1871021
Blautia hansenii,0.0002,1322
Ruthenibacterium lactatiformans,0.0002,1550024
Bifidobacterium bifidum,0.0002,1681
Dysosmobacter sp. Marseille-Q4140,0.0002,2830675
Lacrimispora saccharolytica,0.0002,84030
Megamonas hypermegale,0.0002,158847
Longicatena caecimuris,0.0002,1796635
Roseburia hominis,0.0002,301301
Escherichia marmotae,0.0001,1499973
Faecalibacillus intestinalis,0.0001,1982626
Hungatella hathewayi,0.0001,154046
Bacillus velezensis,0.0001,492670
Bacillus mojavensis,0.0001,72360
Bacillus halotolerans,0.0001,260554
Clostridium perfringens,0.0001,1502
Escherichia fergusonii,0.0001,564
Enterococcus faecium,0.0001,1352
Escherichia sp. E4742,0.0001,2044467
Anaerostipes hadrus,0.0001,649756
Staphylococcus haemolyticus,0.0001,1283
Staphylococcus aureus,0.0001,1280
Bifidobacterium adolescentis,0.0001,1680
Bifidobacterium catenulatum,0.0001,1686
Faecalicatena sp. Marseille-Q4148,0.0001,2823316
Bacillus inaquosorum,0.0001,483913
Salmonella enterica,0.0001,28901
Escherichia albertii,0.0001,208962
Bacillus sp. MBGLi79,0.0001,2070759
Flintibacter sp. KGMB00164,0.0001,2610895
Intestinimonas butyriciproducens,0.0001,1297617
Clostridium innocuum,0.0001,1522
Olsenella sp. GAM18,0.0001,2109685
Massilistercora timonensis,0.0001,2086584
Eubacterium limosum,0.0001,1736
Oscillibacter sp. MM50,0.0001,2714355
Oscillibacter sp. MM59,0.0001,2714358
Amedibacterium intestinale,0.0001,2583452
Methylosinus trichosporium,0.0,426
Sulfitobacter sp. SK012,0.0,1389005
Paracoccus liaowanqingii,0.0,2560053
Sulfitobacter sp. BSw21498,0.0,664426
Sulfitobacter sp. THAF37,0.0,2587855
Sulfitobacter sp. JL08,0.0,2070369
Sulfitobacter sp. JK7-1,0.0,2829501
Paracoccus sp. H4-D09,0.0,2812658
Paracoccus zhejiangensis,0.0,1077935
Bosea sp. F3-2,0.0,2599640
Paracoccus jeotgali,0.0,2065379
Paracoccus pantotrophus,0.0,82367
Kaustia mangrovi,0.0,2593653
Bartonella alsatica,0.0,52764
Bosea sp. ANAM02,0.0,2020412
Bosea sp. PAMC 26642,0.0,1792307
Candidatus Phaeomarinobacter ectocarpi,0.0,1458461
Beijerinckia indica,0.0,533
Paracoccus kondratievae,0.0,135740
Hartmannibacter diazotrophicus,0.0,1482074
Pseudorhodoplanes sinuspersici,0.0,1235591
Sphingomonas sp. XS-10,0.0,2599297
Paracoccus contaminans,0.0,1945662
Paracoccus aminophilus,0.0,34003
Methylosinus sp. C49,0.0,2699395
Cereibacter sphaeroides,0.0,1063
Phaeobacter piscinae,0.0,1580596
Cognatishimia activa,0.0,1715691
Brevirhabdus pacifica,0.0,1267768
Rhodovulum sp. P5,0.0,1564506
Rhodovulum sulfidophilum,0.0,35806
Haematobacter massiliensis,0.0,195105
Marinovum algicola,0.0,42444
Antarctobacter heliothermus,0.0,74033
Falsirhodobacter sp. PG104,0.0,2692330
Polymorphum gilvum,0.0,991904
Sphingomonas sp. AP4-R1,0.0,2735134
Pseudorhodobacter turbinis,0.0,2500533
