Pipeline,biobakery3,biobakery3,biobakery3,biobakery4,biobakery4,jams,jams,wgsa2,wgsa2,woltka,woltka
,n,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev
Community,,,,,,,,,,,
BMock12,1.0,22.1457,,16.8327,,33.7177,,44.16,,42.1407,
CamiSim S1,1.0,8.6188,,12.7647,,15.0361,,13.4764,,30.7596,
CamiSim S2,1.0,1.2308,,7.1138,,4.8525,,6.3786,,25.8766,
NIST EG,1.0,10.1826,,8.9446,,12.2531,,10.6638,,22.5953,
NIST MIX-A,1.0,9.5852,,2.8426,,12.3527,,6.9975,,19.242,
NIST MIX-B,1.0,13.6522,,9.814,,13.5504,,13.0792,,22.8751,
NIST MIX-C,1.0,14.1087,,11.569,,17.1601,,14.702,,24.1026,
NIST MIX-D,1.0,4.1345,,4.1098,,11.2166,,8.9316,,21.1155,
Amos HiLo,5.0,8.402519999999999,1.0697974724217663,2.71252,0.040067530495402494,12.79564,0.34140419300295644,12.43696,0.286740166352745,16.3845,0.11231954415861947
Amos Mixed,5.0,8.767439999999999,0.7747720910048324,1.9991599999999998,0.055893496938373706,10.42296,0.35874110860061753,14.81574,0.051593730239245204,20.62992,0.21670798785462597
Tourlousse,6.0,14.567183333333332,0.7257524906375915,3.8085500000000003,0.02483600209373502,8.1602,0.3963876486471295,14.378966666666665,0.10023431880681784,23.90341666666667,0.2606446808716168
