Genus,RA
Bifidobacterium,0.1843
Bacteroides,0.1059
Prevotella,0.1016
Roseburia,0.0843
Alistipes,0.054299999999999994
Akkermansia,0.0508
Parabacteroides,0.0501
Collinsella,0.0449
Faecalibacterium,0.037000000000000005
Eubacterium,0.0337
Anaerostipes,0.028999999999999998
Lactobacillus,0.0231
Escherichia,0.0206
Clostridium,0.011000000000000001
Blautia,0.0105
Limosilactobacillus,0.0022
Coprococcus,0.0016
Mediterraneibacter,0.0012
Faecalicatena,0.001
Lachnoclostridium,0.0009
Klebsiella,0.0006
Enterocloster,0.0005
Citrobacter,0.0005
Clostridioides,0.0005
Staphylococcus,0.0004
Lacrimispora,0.0004
Eubacterium,0.0004
Olsenella,0.0003
Massilistercora,0.0003
Paenibacillus,0.0003
Enterobacter,0.0003
Oscillibacter,0.0002
Anaerocolumna,0.0002
Butyrivibrio,0.0002
Gordonibacter,0.0002
Phocaeicola,0.0002
Shigella,0.0002
Lactiplantibacillus,0.0002
Salmonella,0.0002
Streptococcus,0.0002
Flavonifractor,0.0002
Bacillus,0.0002
Flintibacter,0.0001
Kosakonia,0.0001
Erysipelatoclostridium,0.0001
Berryella,0.0001
Leptolyngbya,0.0001
Babesia,0.0001
Ligilactobacillus,0.0001
Lacticaseibacillus,0.0001
Faecalitalea,0.0001
Enterococcus,0.0001
Butyricimonas,0.0001
Aminipila,0.0001
Eggerthella,0.0001
Leclercia,0.0001
Lachnospira,0.0001
Hungatella,0.0001
Ruminococcus,0.0001
Pseudobutyrivibrio,0.0001
Streptomyces,0.0001
Pseudomonas,0.0001
Cupriavidus,0.0
Acetobacter,0.0
Parasphingorhabdus,0.0
Kozakia,0.0
Zymomonas,0.0
Sphingopyxis,0.0
Sphingorhabdus,0.0
Altererythrobacter,0.0
Polynucleobacter,0.0
Erythrobacter,0.0
Gluconobacter,0.0
Pandoraea,0.0
Porphyrobacter,0.0
Sphingomonas,0.0
Tsuneonella,0.0
Sphingosinicella,0.0
Sandaracinobacter,0.0
Komagataeibacter,0.0
Novosphingobium,0.0
Lichenihabitans,0.0
Sphingobium,0.0
Variovorax,0.0
Cohaesibacter,0.0
Devosia,0.0
Methylocystis,0.0
Bosea,0.0
Labrys,0.0
Methylovirgula,0.0
Filomicrobium,0.0
Rhodoferax,0.0
Methyloceanibacter,0.0
Roseomonas,0.0
Hyphomicrobium,0.0
Mycoavidus,0.0
Caballeronia,0.0
Lautropia,0.0
Martelella,0.0
Nordella,0.0
Ralstonia,0.0
Pseudorhodoplanes,0.0
Granulibacter,0.0
Gluconacetobacter,0.0
Roseobacter,0.0
Halocynthiibacter,0.0
Hyphobacterium,0.0
Microvirga,0.0
Asticcacaulis,0.0
Dinoroseobacter,0.0
Caulobacter,0.0
Mameliella,0.0
Terricaulis,0.0
Parasedimentitalea,0.0
Brevundimonas,0.0
Sagittula,0.0
Sulfitobacter,0.0
Epibacterium,0.0
Wolbachia,0.0
Anaplasma,0.0
Orientia,0.0
Rickettsia,0.0
Phreatobacter,0.0
Candidatus Puniceispirillum,0.0
Micavibrio,0.0
Rhodobacter,0.0
Aestuarium,0.0
Phaeobacter,0.0
Roseococcus,0.0
Rhodospirillum,0.0
Commensalibacter,0.0
Paraburkholderia,0.0
Burkholderia,0.0
Hyphomonas,0.0
Paremcibacter,0.0
Candidatus Pelagibacter,0.0
Bombella,0.0
Ferrovibrio,0.0
Thalassospira,0.0
Defluviicoccus,0.0
Thalassobius,0.0
Glycocaulis,0.0
Indioceanicola,0.0
Hypericibacter,0.0
Azospirillum,0.0
Paracoccus,0.0
Pontivivens,0.0
Pelagovum,0.0
Leisingera,0.0
Tabrizicola,0.0
Bartonella,0.0
Candidatus Thioglobus,0.0
Methylobacterium,0.0
Xanthomonas,0.0
Shewanella,0.0
Colwellia,0.0
Thalassotalea,0.0
Moritella,0.0
Ferrimonas,0.0
Actinobacillus,0.0
Haemophilus,0.0
Pasteurella,0.0
Mannheimia,0.0
Vespertiliibacter,0.0
Glaesserella,0.0
Stenotrophomonas,0.0
Pannonibacter,0.0
Lysobacter,0.0
Xylella,0.0
Pseudoxanthomonas,0.0
Luteimonas,0.0
Dyella,0.0
Dokdonella,0.0
Halomonas,0.0
Kushneria,0.0
Zymobacter,0.0
Pistricoccus,0.0
Halotalea,0.0
Psychrosphaera,0.0
Pseudoalteromonas,0.0
Saliniradius,0.0
