Species,RA,tax_id
BIFIDOBACTERIUM_LONGUM,0.1753,216816
PREVOTELLA_MELANINOGENICA,0.0694,28132
BACTEROIDES_THETAIOTAOMICRON,0.059699999999999996,818
ALISTIPES_FINEGOLDII,0.0509,214856
AKKERMANSIA_MUCINIPHILA,0.0493,239935
ROSEBURIA_HOMINIS,0.0462,301301
COLLINSELLA_AEROFACIENS,0.0446,74426
ROSEBURIA_INTESTINALIS,0.0397,166486
FAECALIBACTERIUM_PRAUSNITZII,0.0377,853
ANAEROBUTYRICUM_HALLII,0.0345,39488
BACTEROIDES_UNIFORMIS,0.0344,820
PARABACTEROIDES_DISTASONIS,0.032799999999999996,823
PREVOTELLA_COPRI,0.0311,165179
ANAEROSTIPES_HADRUS,0.0287,649756
ESCHERICHIA_COLI,0.0192,562
LACTOBACILLUS_PARAGASSERI,0.0127,2107999
CLOSTRIDIUM_BUTYRICUM,0.0098,1492
