Genus,RA
Bifidobacterium,0.1814
Bacteroides,0.1063
Prevotella,0.10289999999999999
Roseburia,0.08439999999999999
Alistipes,0.0535
Parabacteroides,0.050499999999999996
Akkermansia,0.0495
Collinsella,0.0435
Faecalibacterium,0.0364
Eubacterium,0.0347
Anaerostipes,0.0292
Lactobacillus,0.023700000000000002
Escherichia,0.021099999999999997
Clostridium,0.011699999999999999
Blautia,0.010700000000000001
Limosilactobacillus,0.0021
Coprococcus,0.0016
Mediterraneibacter,0.0012
Vibrio,0.0012
Faecalicatena,0.001
Lachnoclostridium,0.0009
Enterocloster,0.0006
Citrobacter,0.0005
Clostridioides,0.0005
Eubacterium,0.0004
Lacrimispora,0.0004
Enterobacter,0.0003
Olsenella,0.0003
Paenibacillus,0.0003
Lactiplantibacillus,0.0003
Massilistercora,0.0003
Klebsiella,0.0003
Bacillus,0.0002
Streptococcus,0.0002
Salmonella,0.0002
Gordonibacter,0.0002
Phocaeicola,0.0002
Shigella,0.0002
Butyrivibrio,0.0002
Anaerocolumna,0.0002
Hungatella,0.0002
Flavonifractor,0.0002
Butyricimonas,0.0001
Cronobacter,0.0001
Leclercia,0.0001
Kosakonia,0.0001
Lachnospira,0.0001
Ruminococcus,0.0001
Oscillibacter,0.0001
Leptolyngbya,0.0001
Flintibacter,0.0001
Erysipelatoclostridium,0.0001
Pseudomonas,0.0001
Babesia,0.0001
Berryella,0.0001
Staphylococcus,0.0001
Eggerthella,0.0001
Streptomyces,0.0001
Enterococcus,0.0001
Ligilactobacillus,0.0001
Lacticaseibacillus,0.0001
Faecalitalea,0.0001
Gluconobacter,0.0
Sphingosinicella,0.0
Komagataeibacter,0.0
Alkaliphilus,0.0
Acetobacter,0.0
Kozakia,0.0
Roseococcus,0.0
Granulibacter,0.0
Porphyrobacter,0.0
Parasaccharibacter,0.0
Oecophyllibacter,0.0
Ferrovibrio,0.0
Thalassospira,0.0
Rhodospirillum,0.0
Azospirillum,0.0
Roseomonas,0.0
Novosphingobium,0.0
Erythrobacter,0.0
Filomicrobium,0.0
Labrenzia,0.0
Pannonibacter,0.0
Methylocystis,0.0
Methylosinus,0.0
Devosia,0.0
Pelagibacterium,0.0
Bartonella,0.0
Cohaesibacter,0.0
Labrys,0.0
Pseudorhodoplanes,0.0
Hyphomicrobium,0.0
Altererythrobacter,0.0
Martelella,0.0
Bosea,0.0
Lichenihabitans,0.0
Methylovirgula,0.0
Paracoccus,0.0
Parasphingorhabdus,0.0
Sphingomonas,0.0
Sphingobium,0.0
Sphingopyxis,0.0
Parasphingopyxis,0.0
Niveispirillum,0.0
Dinoroseobacter,0.0
Aestuarium,0.0
Caballeronia,0.0
Asticcacaulis,0.0
Maricaulis,0.0
Candidatus Pelagibacter,0.0
Paremcibacter,0.0
Burkholderia,0.0
Paraburkholderia,0.0
Cupriavidus,0.0
Polynucleobacter,0.0
Ralstonia,0.0
Pandoraea,0.0
Mycoavidus,0.0
Caulobacter,0.0
Lautropia,0.0
Rhodoferax,0.0
Variovorax,0.0
Diaphorobacter,0.0
Comamonas,0.0
Hydrogenophaga,0.0
Ottowia,0.0
Pulveribacter,0.0
Serpentinomonas,0.0
Acidovorax,0.0
Phenylobacterium,0.0
Terricaulis,0.0
Sulfitobacter,0.0
Phaeobacter,0.0
Pelagovum,0.0
Pontivivens,0.0
Methylobacterium,0.0
Tabrizicola,0.0
Thalassobius,0.0
Rhodovulum,0.0
Parasedimentitalea,0.0
Paraoceanicella,0.0
Leisingera,0.0
Marinovum,0.0
Thalassococcus,0.0
Candidatus Puniceispirillum,0.0
Salipiger,0.0
Roseovarius,0.0
Roseobacter,0.0
Rhodobacter,0.0
Orientia,0.0
Rickettsia,0.0
Ehrlichia,0.0
Wolbachia,0.0
Candidatus Fokinia,0.0
Micavibrio,0.0
Stappia,0.0
Nitrobacter,0.0
Microvirga,0.0
Moritella,0.0
Xanthomonas,0.0
Lysobacter,0.0
Stenotrophomonas,0.0
Xylella,0.0
Pseudoxanthomonas,0.0
Luteimonas,0.0
Pseudolysobacter,0.0
Dyella,0.0
Haemophilus,0.0
Actinobacillus,0.0
Pasteurella,0.0
Mannheimia,0.0
Basfia,0.0
Vespertiliibacter,0.0
Marinobacter,0.0
Alteromonas,0.0
Salinimonas,0.0
Paraglaciecola,0.0
Catenovulum,0.0
Hydrocarboniclastica,0.0
Pseudoalteromonas,0.0
Shewanella,0.0
Thalassotalea,0.0
Moraxella,0.0
Acinetobacter,0.0
Azotobacter,0.0
Arsenophonus,0.0
Serratia,0.0
Rouxiella,0.0
Rahnella,0.0
Ewingella,0.0
Nissabacter,0.0
Brenneria,0.0
Pectobacterium,0.0
Dickeya,0.0
Morganella,0.0
Proteus,0.0
Providencia,0.0
Entomomonas,0.0
Photorhabdus,0.0
Xenorhabdus,0.0
Edwardsiella,0.0
Hafnia,0.0
Pragia,0.0
Jinshanibacter,0.0
Sodalis,0.0
Photobacterium,0.0
Salinivibrio,0.0
Grimontia,0.0
Colwellia,0.0
Ferrimonas,0.0
Brucella,0.0
Idiomarina,0.0
Sulfurivermis,0.0
Aquicella,0.0
Coxiella,0.0
Legionella,0.0
Halioglobus,0.0
Microbulbifer,0.0
Teredinibacter,0.0
Methylomonas,0.0
Candidatus Ruthia,0.0
Sedimenticola,0.0
Candidatus Thioglobus,0.0
Candidatus Pseudothioglobus,0.0
Orbus,0.0
Rhizobium,0.0
Agrobacterium,0.0
Neorhizobium,0.0
Sinorhizobium,0.0
Ensifer,0.0
Bradyrhizobium,0.0
Ramlibacter,0.0
Rhodopseudomonas,0.0
Afipia,0.0
Mesorhizobium,0.0
Thiocystis,0.0
Allochromatium,0.0
Granulosicoccus,0.0
Neptunomonas,0.0
Aeromonas,0.0
Dongshaea,0.0
Tolumonas,0.0
Succinivibrio,0.0
Halomonas,0.0
Kushneria,0.0
Zymobacter,0.0
Candidatus Portiera,0.0
Marinomonas,0.0
Thalassolituus,0.0
Marinobacterium,0.0
Spiribacter,0.0
Ketobacter,0.0
Spartinivicinus,0.0
Reinekea,0.0
Hydrogenovibrio,0.0
Thiomicrorhabdus,0.0
Thiosulfatimonas,0.0
Beggiatoa,0.0
Francisella,0.0
Thioalkalivibrio,0.0
Acidihalobacter,0.0
Delftia,0.0
Basilea,0.0
Bordetella,0.0
Pseudothermotoga,0.0
Petrotoga,0.0
Jonquetella,0.0
Thermovirga,0.0
Fretibacterium,0.0
Dictyoglomus,0.0
Candidatus Chazhemtobacterium,0.0
Desulfurispirillum,0.0
Flexistipes,0.0
Thermosulfuriphilus,0.0
Theileria,0.0
Plasmodium,0.0
Toxoplasma,0.0
Neospora,0.0
