Community,num_seqs,sum_len,min_len,avg_len,max_len
sub_bmock12,100500000.00 ± 0.00,15175500000.00 ± 0.00,151.00 ± 0.00,151.00 ± 0.00,151.00 ± 0.00
S1_camisim,16666158.00 ± 0.00,2473504212.50 ± 12668039.31,31.00 ± 0.00,148.45 ± 0.78,150.00 ± 0.00
S2_camisim,16666291.00 ± 0.00,2473723888.00 ± 12664634.59,31.00 ± 0.00,148.45 ± 0.78,150.00 ± 0.00
EG_nist,3353278.00 ± 0.00,282025983.00 ± 3833426.68,15.00 ± 0.00,84.10 ± 1.13,151.00 ± 0.00
Mix-A_nist,3473553.00 ± 0.00,365925482.50 ± 2529868.96,19.00 ± 5.66,105.35 ± 0.78,151.00 ± 0.00
Mix-B_nist,3583192.00 ± 0.00,376371686.50 ± 2769876.56,18.50 ± 4.95,105.05 ± 0.78,151.00 ± 0.00
Mix-C_nist,2974354.00 ± 0.00,325816856.00 ± 2268975.55,16.50 ± 2.12,109.55 ± 0.78,151.00 ± 0.00
Mix-D_nist,3278203.00 ± 0.00,373347674.50 ± 2103394.48,20.00 ± 7.07,113.85 ± 0.64,151.00 ± 0.00
tourlousse,5897627.83 ± 378678.85,855639825.08 ± 51884672.55,15.00 ± 0.00,145.12 ± 1.31,151.00 ± 0.00
amos_hilo,1899005.80 ± 172132.60,380831440.00 ± 34742124.05,100.00 ± 0.00,200.54 ± 1.93,205.00 ± 0.00
amos_mixed,2012091.00 ± 184747.85,403848279.20 ± 37416661.58,100.00 ± 0.00,200.71 ± 1.55,205.00 ± 0.00
hmp_gut,2901295.10 ± 356896.97,269739388.40 ± 34622935.73,15.00 ± 0.00,92.91 ± 1.01,101.00 ± 0.00
