species,SRR11487931
Agathobaculum Unclassified NSJ 28,4.999995000005e-06
Akkermansia muciniphila,9.1999908000092e-05
Alistipes Unclassified AF14 19,9.99999000001e-06
Alistipes Unclassified CHKCI003,0.0
Alistipes Unclassified D31t1 170403 E11,1.999998000002e-06
Alistipes Unclassified HGB5,2.999997000003e-06
Alistipes communis,0.0
Alistipes dispar,2.999997000003e-06
Alistipes finegoldii,0.005991994008005992
Alistipes onderdonkii,6.999993000007e-06
Alistipes shahii,2.999997000003e-06
Anaerostipes Unclassified 992a,1.2999987000013e-05
Anaerostipes Unclassified Marseille Q3525,3.999996000004e-06
Anaerostipes butyraticus,0.0
Anaerostipes hadrus,0.005733994266005734
Anaerotruncus rubiinfantis,0.0
Bacteroides Unclassified 224,0.0
Bacteroides Unclassified AR29,0.0
Bacteroides Unclassified CBA7301,4.0999959000041e-05
Bacteroides Unclassified L10 4,0.0
Bacteroides acidifaciens,6.8999931000069e-05
Bacteroides bouchesdurhonensis,0.0
Bacteroides caccae,0.0
Bacteroides caecimuris,5.1999948000052e-05
Bacteroides cellulosilyticus,7.4999925000075e-05
Bacteroides eggerthii,6.6999933000067e-05
Bacteroides faecalis,0.0
Bacteroides faecis,2.8999971000029e-05
Bacteroides fragilis,3.999996000004e-06
Bacteroides luti,1.8999981000019e-05
Bacteroides ovatus,0.000306999693000307
Bacteroides reticulotermitis,0.0
Bacteroides salyersiae,0.0
Bacteroides thetaiotaomicron,0.09995390004609996
Bacteroides uniformis,3.1999968000032e-05
Bacteroides xylanisolvens,0.0
Bifidobacterium breve,0.0
Bifidobacterium longum,0.41174158825841173
Blautia Unclassified AF19 10LB,2.999997000003e-06
Blautia Unclassified M29,0.0
Blautia Unclassified MSJ 9,0.0
Blautia Unclassified Marseille P3087,0.0
Blautia faecis,4.999995000005e-06
Blautia luti,0.0
Blautia obeum,1.1999988000012e-05
Blautia wexlerae,3.2999967000033e-05
Butyricicoccus pullicaecorum,0.0
Clostridioides difficile,0.0
Clostridium Unclassified 3 3,1.6999983000016998e-05
Clostridium Unclassified AF36 18BH,1.2999987000013e-05
Clostridium Unclassified BIOML A1,0.0
Clostridium Unclassified C2 6 12,2.4999975000025e-05
Clostridium Unclassified C5S11,1.2999987000013e-05
Clostridium Unclassified D43t1 170807 H7,0.0
Clostridium Unclassified IBUN13A,0.0
Clostridium Unclassified IBUN22A,4.999995000005e-06
Clostridium Unclassified IBUN62F,0.0
Clostridium Unclassified LS,0.0
Clostridium Unclassified NSJ 6,9.99999000001e-06
Clostridium Unclassified SM 530 WT 3G,0.00016999983000017
Clostridium Unclassified SS2 1,2.999997000003e-06
Clostridium Unclassified YB 6,0.0
Clostridium algoriphilum,0.0
Clostridium baratii,0.0
Clostridium beijerinckii,4.6999953000047e-05
Clostridium botulinum,0.0
Clostridium butyricum,0.015475984524015477
Clostridium cadaveris,0.0
Clostridium chauvoei,2.7999972000028e-05
Clostridium chromiireducens,0.0
Clostridium cochlearium,0.0
Clostridium frigidicarnis,0.0
Clostridium hydrogeniformans,9.99999000001e-06
Clostridium neonatale,0.0
Clostridium nigeriense,0.0
Clostridium paraputrificum,1.7999982000018e-05
Clostridium perfringens,0.0
Clostridium puniceum,2.1999978000022e-05
Clostridium saccharobutylicum,0.000192999807000193
Clostridium saccharoperbutylacetonicum,9.99999000001e-06
Clostridium sardiniense,2.4999975000025e-05
