species,SRR11487934
Agathobaculum Unclassified NSJ 28,0.0
Akkermansia muciniphila,9.6000288000864e-05
Alistipes Unclassified AF14 19,1.1000033000099e-05
Alistipes Unclassified CHKCI003,0.0
Alistipes Unclassified D31t1 170403 E11,0.0
Alistipes Unclassified HGB5,5.000015000045e-06
Alistipes communis,6.000018000054e-06
Alistipes dispar,0.0
Alistipes finegoldii,0.0058330174990524975
Alistipes onderdonkii,0.0
Alistipes shahii,0.0
Anaerostipes Unclassified 992a,0.0
Anaerostipes Unclassified Marseille Q3525,0.0
Anaerostipes butyraticus,0.0
Anaerostipes hadrus,0.0056160168480505444
Anaerotruncus rubiinfantis,3.000009000027e-06
Bacteroides Unclassified 224,0.0
Bacteroides Unclassified AR29,0.0
Bacteroides Unclassified CBA7301,2.6000078000234e-05
Bacteroides Unclassified L10 4,4.000012000036e-06
Bacteroides acidifaciens,0.0
Bacteroides bouchesdurhonensis,0.0
Bacteroides caccae,0.0
Bacteroides caecimuris,0.0
Bacteroides cellulosilyticus,6.600019800059401e-05
Bacteroides eggerthii,6.1000183000549e-05
Bacteroides faecalis,9.000027000081e-06
Bacteroides faecis,0.00026400079200237603
Bacteroides fragilis,2.000006000018e-06
Bacteroides luti,0.00056000168000504
Bacteroides ovatus,0.000292000876002628
Bacteroides reticulotermitis,0.0
Bacteroides salyersiae,0.000507001521004563
Bacteroides thetaiotaomicron,0.1039883119649359
Bacteroides uniformis,4.6000138000414e-05
Bacteroides xylanisolvens,0.0
Bifidobacterium breve,0.0
Bifidobacterium longum,0.40058620175860526
Blautia Unclassified AF19 10LB,6.000018000054e-06
Blautia Unclassified M29,0.0
Blautia Unclassified MSJ 9,0.0
Blautia Unclassified Marseille P3087,0.0
Blautia faecis,5.000015000045e-06
Blautia luti,2.000006000018e-06
Blautia obeum,8.000024000072e-06
Blautia wexlerae,3.1000093000279e-05
Butyricicoccus pullicaecorum,4.000012000036e-06
Clostridioides difficile,0.0
Clostridium Unclassified 3 3,2.2000066000198e-05
Clostridium Unclassified AF36 18BH,1.000003000009e-05
Clostridium Unclassified BIOML A1,0.0
Clostridium Unclassified C2 6 12,0.0
Clostridium Unclassified C5S11,0.0
Clostridium Unclassified D43t1 170807 H7,0.0
Clostridium Unclassified IBUN13A,6.000018000054e-06
Clostridium Unclassified IBUN22A,3.000009000027e-06
Clostridium Unclassified IBUN62F,0.0
Clostridium Unclassified LS,1.4000042000126001e-05
Clostridium Unclassified NSJ 6,1.9000057000171e-05
Clostridium Unclassified SM 530 WT 3G,7.700023100069301e-05
Clostridium Unclassified SS2 1,0.0
Clostridium Unclassified YB 6,3.000009000027e-06
Clostridium algoriphilum,0.0
Clostridium baratii,0.0
Clostridium beijerinckii,2.1000063000189e-05
Clostridium botulinum,3.7000111000333e-05
Clostridium butyricum,0.018144054432163298
Clostridium cadaveris,0.0
Clostridium chauvoei,0.0
Clostridium chromiireducens,0.0
Clostridium cochlearium,9.000027000081e-06
Clostridium frigidicarnis,0.0
Clostridium hydrogeniformans,5.000015000045e-06
Clostridium neonatale,1.1000033000099e-05
Clostridium nigeriense,3.000009000027e-06
Clostridium paraputrificum,2.8000084000252002e-05
Clostridium perfringens,0.0
Clostridium puniceum,0.000155000465001395
Clostridium saccharobutylicum,0.00013200039600118801
Clostridium saccharoperbutylacetonicum,7.0000210000630005e-06
Clostridium sardiniense,3.2000096000288e-05
