genus,SRR11487934
Agathobaculum,0.0
Akkermansia,9.6000288000864e-05
Alistipes,0.007604022812068436
Anaerobutyricum,0.003976011928035784
Anaerostipes,0.005683017049051147
Anaerotruncus,3.000009000027e-06
Bacteroides,0.11228233684701054
Bifidobacterium,0.4022882068646206
Blautia,6.9000207000621e-05
Butyricicoccus,4.000012000036e-06
Clostridioides,3.000009000027e-06
Clostridium,0.025008075024225074
Colidextribacter,0.0
Collinsella,0.010496031488094465
Coprococcus,0.0
Dolosigranulum,0.0
Dorea,1.1000033000099e-05
Enterobacter,2.6000078000234e-05
Escherichia,0.17515852547557645
Eubacterium,0.0
Faecalibacterium,3.2000096000288e-05
Faecalicatena,0.0
Flavonifractor,0.0
Gemmiger,0.0
Hungatella,0.0
Lachnoanaerobaculum,0.0
Lachnospira,0.0
Lactiplantibacillus,0.0
Lactobacillus,0.000155000465001395
Limosilactobacillus,0.0
Longicatena,0.0
Marvinbryantia,0.0
Massospora,3.000009000027e-06
Odoribacter,0.0
Parabacteroides,0.12884538653615962
Phocaeicola,0.000388001164003492
Prevotella,0.11423534270602813
Pseudoflavonifractor,0.0
Roseburia,0.006543019629058887
Ruminococcus,6.3000189000567e-05
Ruthenibacterium,1.000003000009e-06
Salmonella,0.0
Shigella,0.0
