genus,SRR11487933
Agathobaculum,0.0
Akkermansia,7.6000076000076e-05
Alistipes,0.006754006754006754
Anaerobutyricum,4.9000049000049e-05
Anaerostipes,0.006141006141006141
Anaerotruncus,3.000003000003e-06
Bacteroides,0.1135041135041135
Bifidobacterium,0.3996093996093996
Blautia,9.000009000009e-05
Butyricicoccus,0.0
Clostridioides,0.0
Clostridium,0.02694802694802695
Colidextribacter,0.0
Collinsella,0.009067009067009068
Coprococcus,6.000006000006e-06
Dolosigranulum,3.000003000003e-06
Dorea,8.000008000008e-06
Enterobacter,0.0
Escherichia,0.16831616831616833
Eubacterium,0.004433004433004433
Faecalibacterium,3.8000038000038e-05
Faecalicatena,0.0
Flavonifractor,0.0
Gemmiger,0.0
Hungatella,4.000004000004e-06
Lachnoanaerobaculum,0.0
Lachnospira,0.0
Lactiplantibacillus,0.0
Lactobacillus,0.000216000216000216
Limosilactobacillus,0.0
Longicatena,0.0
Marvinbryantia,0.0
Massospora,0.0
Odoribacter,0.000164000164000164
Parabacteroides,0.13027113027113027
Phocaeicola,0.000296000296000296
Prevotella,0.1198111198111198
Pseudoflavonifractor,8.000008000008e-06
Roseburia,0.007727007727007728
Ruminococcus,5.4000054000054e-05
Ruthenibacterium,0.0
Salmonella,3.000003000003e-05
Shigella,0.0
