species,SRR11487935
Agathobaculum Unclassified NSJ 28,0.0
Akkermansia muciniphila,6.8000204000612e-05
Alistipes Unclassified AF14 19,1.5000045000135e-05
Alistipes Unclassified CHKCI003,0.0
Alistipes Unclassified D31t1 170403 E11,0.0
Alistipes Unclassified HGB5,0.0
Alistipes communis,0.0
Alistipes dispar,0.0
Alistipes finegoldii,0.004469013407040221
Alistipes onderdonkii,0.0
Alistipes shahii,1.2000036000108e-05
Anaerostipes Unclassified 992a,0.0
Anaerostipes Unclassified Marseille Q3525,0.0
Anaerostipes butyraticus,0.0
Anaerostipes hadrus,0.006029018087054261
Anaerotruncus rubiinfantis,0.0
Bacteroides Unclassified 224,3.6000108000324e-05
Bacteroides Unclassified AR29,0.0
Bacteroides Unclassified CBA7301,3.3000099000297004e-05
Bacteroides Unclassified L10 4,0.0
Bacteroides acidifaciens,0.0
Bacteroides bouchesdurhonensis,0.0
Bacteroides caccae,0.0
Bacteroides caecimuris,5.1000153000459e-05
Bacteroides cellulosilyticus,7.3000219000657e-05
Bacteroides eggerthii,0.000282000846002538
Bacteroides faecalis,6.000018000054e-06
Bacteroides faecis,0.000141000423001269
Bacteroides fragilis,0.0
Bacteroides luti,0.00044300132900398703
Bacteroides ovatus,9.3000279000837e-05
Bacteroides reticulotermitis,0.000167000501001503
Bacteroides salyersiae,0.000211000633001899
Bacteroides thetaiotaomicron,0.1024553073659221
Bacteroides uniformis,5.6000168000504004e-05
Bacteroides xylanisolvens,3.000009000027e-06
Bifidobacterium breve,0.0
Bifidobacterium longum,0.4016782050346151
Blautia Unclassified AF19 10LB,1.2000036000108e-05
Blautia Unclassified M29,3.000009000027e-06
Blautia Unclassified MSJ 9,0.0
Blautia Unclassified Marseille P3087,0.0
Blautia faecis,0.0
Blautia luti,0.0
Blautia obeum,4.000012000036e-06
Blautia wexlerae,5.5000165000495e-05
Butyricicoccus pullicaecorum,0.0
Clostridioides difficile,2.000006000018e-06
Clostridium Unclassified 3 3,2.000006000018e-06
Clostridium Unclassified AF36 18BH,4.000012000036e-06
Clostridium Unclassified BIOML A1,7.0000210000630005e-06
Clostridium Unclassified C2 6 12,3.8000114000342e-05
Clostridium Unclassified C5S11,3.000009000027e-06
Clostridium Unclassified D43t1 170807 H7,7.0000210000630005e-06
Clostridium Unclassified IBUN13A,0.0
Clostridium Unclassified IBUN22A,1.6000048000144e-05
Clostridium Unclassified IBUN62F,5.000015000045e-06
Clostridium Unclassified LS,0.0
Clostridium Unclassified NSJ 6,9.000027000081e-06
Clostridium Unclassified SM 530 WT 3G,0.00018000054000162
Clostridium Unclassified SS2 1,5.000015000045e-06
Clostridium Unclassified YB 6,0.0
Clostridium algoriphilum,0.0
Clostridium baratii,8.000024000072e-06
Clostridium beijerinckii,2.4000072000216e-05
Clostridium botulinum,6.000018000054e-06
Clostridium butyricum,0.02198306594919785
