genus,SRR11487931
Agathobaculum,4.999995000005e-06
Akkermansia,9.399990600009399e-05
Alistipes,0.007760992239007761
Anaerobutyricum,0.004098995901004099
Anaerostipes,0.005792994207005793
Anaerotruncus,0.0
Bacteroides,0.10877689122310878
Bifidobacterium,0.4125855874144126
Blautia,5.999994000006e-05
Butyricicoccus,0.0
Clostridioides,0.0
Clostridium,0.021655978344021658
Colidextribacter,0.0
Collinsella,0.0105999894000106
Coprococcus,2.2999977000023e-05
Dolosigranulum,0.0
Dorea,0.0
Enterobacter,0.0
Escherichia,0.1734208265791734
Eubacterium,0.0
Faecalibacterium,1.999998000002e-05
Faecalicatena,2.999997000003e-06
Flavonifractor,0.0
Gemmiger,6.999993000007e-06
Hungatella,0.0
Lachnoanaerobaculum,0.0
Lachnospira,0.0
Lactiplantibacillus,0.0
Lactobacillus,0.000170999829000171
Limosilactobacillus,0.0
Longicatena,0.0
Marvinbryantia,0.0
Massospora,0.0
Odoribacter,0.0
Parabacteroides,0.1264128735871264
Phocaeicola,0.0005109994890005109
Prevotella,0.11348588651411348
Pseudoflavonifractor,5.999994000006e-06
Roseburia,0.0073039926960073035
Ruminococcus,3.0999969000031e-05
Ruthenibacterium,0.0
Salmonella,0.0
Shigella,0.000608999391000609
