SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,17,0.5315,0.0291,9.9615,0.7525,0.0338,87.5000,4.6137,biobakery3
SRR11487938,17,0.5520,0.0288,9.3097,0.7556,0.0333,87.5000,4.5333,biobakery3
SRR11487939,17,0.5207,0.0290,11.3751,0.7533,0.0343,87.5000,4.8612,biobakery3
SRR11487940,17,0.5497,0.0279,9.8744,0.7633,0.0330,87.5000,4.6898,biobakery3
SRR11487941,17,0.5396,0.0290,11.4080,0.7538,0.0340,87.5000,4.9541,biobakery3
Average,17,0.5387,0.0287,10.3857,0.7557,0.0337,87.5000,4.7304,biobakery3
SRR11487937,16,0.7057,0.0194,1.7957,0.8447,0.0281,100.0000,0.0000,biobakery4
SRR11487938,16,0.6971,0.0204,1.9222,0.8368,0.0296,100.0000,0.0000,biobakery4
SRR11487939,16,0.6971,0.0198,1.9306,0.8414,0.0294,100.0000,0.0000,biobakery4
SRR11487940,16,0.7089,0.0193,1.8183,0.8459,0.0282,100.0000,0.0000,biobakery4
SRR11487941,16,0.7041,0.0194,1.8753,0.8452,0.0288,100.0000,0.0000,biobakery4
Average,16,0.7026,0.0197,1.8684,0.8428,0.0288,100.0000,0.0000,biobakery4
SRR11487937,17,0.5762,0.0216,2.8573,0.8160,0.0262,100.0000,2.0036,jams
SRR11487938,17,0.5844,0.0215,2.7547,0.8170,0.0264,100.0000,1.6046,jams
SRR11487939,17,0.5669,0.0218,3.1795,0.8148,0.0268,100.0000,2.9044,jams
SRR11487940,17,0.5918,0.0212,2.6976,0.8194,0.0261,100.0000,1.5831,jams
SRR11487941,17,0.5835,0.0215,2.8662,0.8172,0.0263,100.0000,1.9874,jams
Average,17,0.5806,0.0215,2.8711,0.8169,0.0264,100.0000,2.0166,jams
SRR11487937,17,0.5826,0.0216,2.7279,0.8161,0.0262,100.0000,1.5759,jams202212
SRR11487938,17,0.5893,0.0215,2.6397,0.8173,0.0264,100.0000,1.2271,jams202212
SRR11487939,17,0.5812,0.0217,3.0175,0.8156,0.0266,100.0000,2.1234,jams202212
SRR11487940,17,0.5976,0.0211,2.5725,0.8203,0.0261,100.0000,1.1959,jams202212
SRR11487941,17,0.5885,0.0215,2.7595,0.8172,0.0263,100.0000,1.5797,jams202212
Average,17,0.5878,0.0215,2.7434,0.8173,0.0263,100.0000,1.5404,jams202212
SRR11487937,22,0.5068,0.0236,7.2852,0.7404,0.0338,100.0000,9.9794,wgsa2
SRR11487938,21,0.4900,0.0247,7.3344,0.7408,0.0347,100.0000,9.7167,wgsa2
SRR11487939,21,0.4878,0.0248,7.1104,0.7393,0.0350,100.0000,9.8384,wgsa2
SRR11487940,22,0.5106,0.0236,7.1542,0.7406,0.0337,100.0000,9.9581,wgsa2
SRR11487941,21,0.4905,0.0247,7.2823,0.7407,0.0348,100.0000,9.7829,wgsa2
Average,21,0.4971,0.0243,7.2333,0.7404,0.0344,100.0000,9.8551,wgsa2
SRR11487937,24,0.3072,0.0263,7.5269,0.6847,0.0371,93.7500,8.4433,woltka
SRR11487938,24,0.3035,0.0264,7.4870,0.6828,0.0375,93.7500,8.3852,woltka
SRR11487939,24,0.3084,0.0261,7.4958,0.6867,0.0371,93.7500,8.4681,woltka
SRR11487940,24,0.3049,0.0264,7.4958,0.6837,0.0374,93.7500,8.3877,woltka
SRR11487941,24,0.3057,0.0263,7.5249,0.6844,0.0373,93.7500,8.4888,woltka
Average,24,0.3059,0.0263,7.5061,0.6845,0.0373,93.7500,8.4346,woltka
