SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,0.0,1.0,biobakery3
SRR11487938,20,0.3283,0.0234,7.8474,0.7660,0.0306,94.7368,3.4926,0.0,1.0,biobakery3
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,0.0,1.0,biobakery3
SRR11487940,20,0.2909,0.0230,8.3586,0.7696,0.0308,94.7368,4.0588,0.0,1.0,biobakery3
SRR11487941,20,0.3010,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,0.0,1.0,biobakery3
Average,20,0.2915,0.0236,8.7674,0.7643,0.0311,94.7368,3.8641,0.0,1.0,biobakery3
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487940,19,0.6161,0.0170,1.9498,0.8385,0.0263,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0000,0.0000,0.0,0.0,biobakery4
Average,19,0.6105,0.0174,1.9992,0.8350,0.0269,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487937,45,0.6050,0.0105,10.2247,0.7633,0.0211,100.0000,2.2065,0.07324638038556425,26.0,jams
SRR11487938,45,0.6213,0.0104,9.9119,0.7661,0.0207,100.0000,2.2311,0.06452672786501645,26.0,jams
SRR11487939,46,0.5435,0.0106,10.7140,0.7571,0.0235,100.0000,1.9191,0.10258120690381582,27.0,jams
SRR11487940,47,0.6334,0.0098,10.4870,0.7695,0.0201,100.0000,2.1446,0.06545540533635003,28.0,jams
SRR11487941,48,0.6133,0.0098,10.7772,0.7648,0.0207,100.0000,2.1263,0.07567777802281093,29.0,jams
Average,46,0.6033,0.0102,10.4230,0.7641,0.0212,100.0000,2.1255,0.0762974997027115,27.2,jams
SRR11487937,21,0.2511,0.0236,5.4314,0.7527,0.0318,100.0000,1.6346,0.06540288965711165,2.0,jams202212
SRR11487938,21,0.2885,0.0229,5.1682,0.7591,0.0307,100.0000,1.5825,0.054726917304091766,2.0,jams202212
SRR11487939,21,0.2058,0.0243,5.8226,0.7445,0.0349,100.0000,1.4222,0.09111937515538246,2.0,jams202212
SRR11487940,21,0.3077,0.0223,5.0485,0.7662,0.0301,100.0000,1.5785,0.05103603175455925,2.0,jams202212
SRR11487941,21,0.2781,0.0229,5.2187,0.7598,0.0313,100.0000,1.4454,0.06369366066638917,2.0,jams202212
Average,21,0.2662,0.0232,5.3379,0.7565,0.0318,100.0000,1.5327,0.06519577490750686,2.0,jams202212
SRR11487937,76,0.5552,0.0088,15.1587,0.6663,0.0213,89.4737,4.7601,0.08178504784938424,57.0,sunbeam
SRR11487938,73,0.5539,0.0091,14.9682,0.6662,0.0220,89.4737,4.6028,0.0791009708808306,54.0,sunbeam
SRR11487939,75,0.5551,0.0089,15.0206,0.6654,0.0216,89.4737,4.6236,0.0815336929588632,56.0,sunbeam
SRR11487940,74,0.5569,0.0090,15.0879,0.6676,0.0217,89.4737,4.6344,0.07912234642958864,55.0,sunbeam
SRR11487941,72,0.5538,0.0093,14.8797,0.6669,0.0221,89.4737,4.5859,0.08010676112427044,53.0,sunbeam
Average,74,0.5550,0.0090,15.0230,0.6665,0.0217,89.4737,4.6414,0.08032976384858743,55.0,sunbeam
SRR11487937,66,0.5533,0.0091,14.8848,0.7000,0.0213,89.4737,4.5585,0.09670280820124719,47.0,wgsa2
SRR11487938,65,0.5554,0.0092,14.8174,0.7008,0.0215,89.4737,4.4073,0.09530050100611911,46.0,wgsa2
SRR11487939,66,0.5563,0.0091,14.8343,0.7003,0.0214,89.4737,4.4113,0.09642639661932856,47.0,wgsa2
SRR11487940,64,0.5549,0.0093,14.7989,0.7015,0.0216,89.4737,4.6057,0.09510757966191491,45.0,wgsa2
SRR11487941,65,0.5557,0.0092,14.7433,0.7017,0.0215,89.4737,4.3873,0.09593808782127655,46.0,wgsa2
Average,65,0.5551,0.0092,14.8157,0.7009,0.0215,89.4737,4.4740,0.09589507466197726,46.2,wgsa2
SRR11487937,228,0.5013,0.0035,20.4395,0.6003,0.0114,94.7368,27.0437,0.0,209.0,woltka
SRR11487938,229,0.4956,0.0035,20.5033,0.5964,0.0115,94.7368,27.5548,0.0,210.0,woltka
SRR11487939,229,0.5032,0.0035,20.4922,0.6029,0.0114,94.7368,27.0753,0.0,210.0,woltka
SRR11487940,237,0.5002,0.0034,20.9385,0.5965,0.0112,94.7368,27.6889,0.0,218.0,woltka
SRR11487941,234,0.5008,0.0034,20.7761,0.5980,0.0113,94.7368,27.5963,0.0,215.0,woltka
Average,231,0.5002,0.0035,20.6299,0.5988,0.0113,94.7368,27.3918,0.0,212.4,woltka
