SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,biobakery3
SRR11487938,20,0.3283,0.0234,7.8474,0.7660,0.0306,94.7368,3.4926,biobakery3
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,biobakery3
SRR11487940,20,0.2909,0.0230,8.3586,0.7696,0.0308,94.7368,4.0588,biobakery3
SRR11487941,20,0.3010,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,biobakery3
Average,20,0.2915,0.0236,8.7674,0.7643,0.0311,94.7368,3.8641,biobakery3
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0000,0.0000,biobakery4
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0000,0.0000,biobakery4
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0000,0.0000,biobakery4
SRR11487940,19,0.6161,0.0170,1.9498,0.8385,0.0263,100.0000,0.0000,biobakery4
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0000,0.0000,biobakery4
Average,19,0.6105,0.0174,1.9992,0.8350,0.0269,100.0000,0.0000,biobakery4
SRR11487937,23,0.3399,0.0204,5.3887,0.7651,0.0297,100.0000,9.0651,jams
SRR11487938,21,0.2753,0.0220,5.2846,0.7686,0.0304,100.0000,7.9849,jams
SRR11487939,21,0.1892,0.0229,5.7630,0.7593,0.0350,100.0000,11.5832,jams
SRR11487940,21,0.2835,0.0217,5.1310,0.7721,0.0302,100.0000,8.0402,jams
SRR11487941,22,0.3036,0.0212,5.4087,0.7672,0.0307,100.0000,9.0878,jams
Average,22,0.2783,0.0217,5.3952,0.7665,0.0312,100.0000,9.1523,jams
SRR11487937,24,0.3260,0.0212,5.6696,0.7456,0.0310,100.0000,10.1206,jams202212
SRR11487938,22,0.2929,0.0224,5.3486,0.7536,0.0311,100.0000,8.6447,jams202212
SRR11487939,21,0.1509,0.0249,5.9592,0.7383,0.0372,100.0000,12.4768,jams202212
SRR11487940,23,0.3509,0.0209,5.2572,0.7599,0.0297,100.0000,8.4159,jams202212
SRR11487941,23,0.3104,0.0215,5.4256,0.7525,0.0314,100.0000,9.8410,jams202212
Average,23,0.2862,0.0222,5.5321,0.7500,0.0321,100.0000,9.8998,jams202212
SRR11487937,28,0.3691,0.0212,10.2558,0.7034,0.0330,89.4737,13.2111,wgsa2
SRR11487938,27,0.3603,0.0219,10.3583,0.7043,0.0337,89.4737,12.8935,wgsa2
SRR11487939,27,0.3605,0.0219,10.2809,0.7040,0.0338,89.4737,12.9489,wgsa2
SRR11487940,28,0.3765,0.0211,10.2906,0.7047,0.0329,89.4737,13.1463,wgsa2
SRR11487941,27,0.3607,0.0218,10.3154,0.7053,0.0337,89.4737,12.9289,wgsa2
Average,27,0.3654,0.0216,10.3002,0.7043,0.0334,89.4737,13.0257,wgsa2
SRR11487937,51,0.3441,0.0146,9.3394,0.6272,0.0244,94.7368,22.4444,woltka
SRR11487938,55,0.3554,0.0138,9.5505,0.6218,0.0236,94.7368,23.2236,woltka
SRR11487939,53,0.3555,0.0140,9.4408,0.6292,0.0239,94.7368,22.6395,woltka
SRR11487940,54,0.3549,0.0139,9.5027,0.6239,0.0237,94.7368,23.1655,woltka
SRR11487941,54,0.3562,0.0139,9.4958,0.6252,0.0237,94.7368,23.1006,woltka
Average,53,0.3532,0.0140,9.4658,0.6255,0.0239,94.7368,22.9147,woltka
