SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,20,0.2709,0.0241,8.4807,0.7588,0.0313,94.7368,3.9799,biobakery3
SRR11487938,20,0.3283,0.0234,7.8474,0.7660,0.0306,94.7368,3.4926,biobakery3
SRR11487939,20,0.2666,0.0237,9.5833,0.7625,0.0316,94.7368,3.9371,biobakery3
SRR11487940,20,0.2909,0.0230,8.3586,0.7696,0.0308,94.7368,4.0588,biobakery3
SRR11487941,20,0.3010,0.0235,9.5672,0.7648,0.0312,94.7368,3.8522,biobakery3
Average,20,0.2915,0.0236,8.7674,0.7643,0.0311,94.7368,3.8641,biobakery3
SRR11487937,19,0.6104,0.0172,1.9325,0.8362,0.0264,100.0000,0.0000,biobakery4
SRR11487938,19,0.6096,0.0179,2.0494,0.8295,0.0276,100.0000,0.0000,biobakery4
SRR11487939,19,0.6052,0.0175,2.0536,0.8341,0.0273,100.0000,0.0000,biobakery4
SRR11487940,19,0.6161,0.0170,1.9498,0.8385,0.0263,100.0000,0.0000,biobakery4
SRR11487941,19,0.6111,0.0172,2.0105,0.8366,0.0269,100.0000,0.0000,biobakery4
Average,19,0.6105,0.0174,1.9992,0.8350,0.0269,100.0000,0.0000,biobakery4
SRR11487937,21,0.2492,0.0223,5.2912,0.7660,0.0311,100.0000,8.8271,jams
SRR11487938,21,0.2753,0.0220,5.2846,0.7686,0.0304,100.0000,7.9849,jams
SRR11487939,21,0.1892,0.0229,5.7630,0.7593,0.0350,100.0000,11.5832,jams
SRR11487940,21,0.2835,0.0217,5.1310,0.7721,0.0302,100.0000,8.0402,jams
SRR11487941,21,0.2552,0.0221,5.3661,0.7677,0.0314,100.0000,8.9686,jams
Average,21,0.2505,0.0222,5.3672,0.7667,0.0316,100.0000,9.0808,jams
SRR11487937,21,0.2045,0.0241,5.5720,0.7471,0.0332,100.0000,9.7260,jams202212
SRR11487938,21,0.2447,0.0234,5.3203,0.7541,0.0318,100.0000,8.5080,jams202212
SRR11487939,21,0.1509,0.0249,5.9592,0.7383,0.0372,100.0000,12.4768,jams202212
SRR11487940,21,0.2637,0.0228,5.2088,0.7611,0.0312,100.0000,8.1274,jams202212
SRR11487941,21,0.2244,0.0235,5.3818,0.7536,0.0329,100.0000,9.5435,jams202212
Average,21,0.2176,0.0237,5.4884,0.7508,0.0333,100.0000,9.6763,jams202212
SRR11487937,21,0.2022,0.0277,10.1334,0.7089,0.0387,89.4737,11.5505,wgsa2
SRR11487938,21,0.2130,0.0277,10.2375,0.7095,0.0387,89.4737,11.3533,wgsa2
SRR11487939,21,0.2142,0.0277,10.1617,0.7092,0.0388,89.4737,11.4097,wgsa2
SRR11487940,21,0.2144,0.0275,10.1575,0.7108,0.0386,89.4737,11.3468,wgsa2
SRR11487941,21,0.2133,0.0276,10.1967,0.7104,0.0387,89.4737,11.4060,wgsa2
Average,21,0.2114,0.0276,10.1774,0.7097,0.0387,89.4737,11.4133,wgsa2
SRR11487937,28,0.0895,0.0251,7.5766,0.6489,0.0333,94.7368,18.2358,woltka
SRR11487938,28,0.0851,0.0252,7.6508,0.6471,0.0336,94.7368,18.5847,woltka
SRR11487939,28,0.0912,0.0248,7.6232,0.6523,0.0333,94.7368,18.2311,woltka
SRR11487940,28,0.0872,0.0250,7.6378,0.6493,0.0334,94.7368,18.6178,woltka
SRR11487941,28,0.0883,0.0250,7.6308,0.6501,0.0334,94.7368,18.5604,woltka
Average,28,0.0883,0.0250,7.6238,0.6495,0.0334,94.7368,18.4460,woltka
