Genus,RA,TAX_ID
Bifidobacterium,0.4207871869733767,1678
Parabacteroides,0.12143456521286851,375288
Prevotella,0.1087904047934423,838
Bacteroides,0.10276277130129846,816
Escherichia,0.03185052393600422,561
Clostridium,0.020036246708784972,1485
Roseburia,0.011340388496293265,841
Alistipes,0.011121359436511625,239759
Collinsella,0.009490488706422464,102106
Anaerostipes,0.006889301904108037,207244
Anaerobutyricum,0.006310810904526447,2569097
unclassified,0.0028745396922266065,12908
Akkermansia,0.0014158870619129847,239934
Citrobacter,0.0010760741670538683,544
Shigella,0.0009992117265500207,620
Faecalibacterium,0.000989965117166099,216851
Enterobacter,0.0007351054460217618,547
Lactobacillus,0.0006518859615664681,1578
Eggerthella,0.0005773351734086007,84111
Klebsiella,0.0005206996909320813,570
Salmonella,0.00044036977190926304,590
Blautia,0.0003213196760912733,572511
Kosakonia,0.0001959125363218375,1330547
Leclercia,0.00015719235952666607,83654
Raoultella,9.073235457973005e-05,160674
Kluyvera,8.726487606075947e-05,579
Cronobacter,8.726487606075947e-05,413496
Lelliottia,7.859617976333303e-05,1330545
Cedecea,7.512870124436245e-05,158483
Pluralibacter,6.99274834659066e-05,1330546
Limosilactobacillus,6.588209186044093e-05,2742598
Mediterraneibacter,5.7791308649509586e-05,2316020
Eubacterium,5.663548247651939e-05,1730
Buttiauxella,4.16097422276469e-05,82976
Yokenella,4.045391605465671e-05,158876
Coprococcus,3.9876002968161614e-05,33042
Pseudocitrobacter,3.872017679517142e-05,1504576
Aeromonas,3.062939358424008e-05,642
Jejubacter,3.0051480497744983e-05,2815296
Faecalicatena,2.9473567411249886e-05,2005359
Gordonibacter,2.8895654324754793e-05,644652
Lachnoclostridium,2.77398281517646e-05,1506553
Berryella,2.4272349632794024e-05,2815775
Scandinavium,2.4272349632794024e-05,2726810
Dorea,2.369443654629893e-05,189330
Atlantibacter,2.369443654629893e-05,1903434
Enterococcus,2.2538610373308737e-05,1350
Pseudescherichia,2.1960697286813643e-05,2055880
Shimwellia,2.1382784200318546e-05,1335483
Pseudomonas,1.5603653335367587e-05,286
Homo,1.4447827162377396e-05,9605
Phytobacter,1.38699140758823e-05,447792
Clostridioides,1.2136174816397012e-05,1870884
Wansuia,1.1558261729901917e-05,2944198
Parolsenella,1.0980348643406822e-05,2082587
Phocaeicola,1.0980348643406822e-05,909656
Cutibacterium,1.0980348643406822e-05,1912216
Vibrio,1.0402435556911725e-05,662
Enterocloster,9.82452247041663e-06,2719313
Plesiomonas,9.82452247041663e-06,702
Simiaoa,9.246609383921534e-06,2944193
Lacrimispora,9.246609383921534e-06,2719231
Paraprevotella,8.668696297426437e-06,577309
Novisyntrophococcus,8.090783210931342e-06,2888809
Massilistercora,8.090783210931342e-06,2717089
Pectobacterium,8.090783210931342e-06,122277
Streptococcus,7.512870124436246e-06,1301
Paenibacillus,7.512870124436246e-06,44249
Lactiplantibacillus,7.512870124436246e-06,2767842
Symbiopectobacterium,7.512870124436246e-06,801
Serratia,6.3570439514460545e-06,613
Burkholderia,6.3570439514460545e-06,32008
Butyrivibrio,6.3570439514460545e-06,830
Streptomyces,5.779130864950958e-06,1883
Acinetobacter,5.779130864950958e-06,469
Dickeya,5.201217778455862e-06,204037
Bacillus,5.201217778455862e-06,1386
Pantoea,4.623304691960767e-06,53335
Yersinia,4.623304691960767e-06,629
Thermophilibacter,4.045391605465671e-06,2847307
Adlercreutzia,4.045391605465671e-06,447020
Flavonifractor,4.045391605465671e-06,946234
Bordetella,3.467478518970575e-06,517
Proteus,3.467478518970575e-06,583
Anaerocolumna,3.467478518970575e-06,1843210
Morganella,3.467478518970575e-06,581
Ligilactobacillus,2.889565432475479e-06,2767887
Pusillibacter,2.889565432475479e-06,2892397
Sellimonas,2.889565432475479e-06,1769710
Odoribacter,2.3116523459803835e-06,283168
Megasphaera,2.3116523459803835e-06,906
Porphyromonas,2.3116523459803835e-06,836
Candidatus Moranella,2.3116523459803835e-06,1048757
Vallitalea,2.3116523459803835e-06,1348611
Microbacterium,2.3116523459803835e-06,33882
Stutzerimonas,2.3116523459803835e-06,2901164
Edwardsiella,2.3116523459803835e-06,635
Raoultibacter,2.3116523459803835e-06,1926677
Herbinix,2.3116523459803835e-06,1663717
Xenorhabdus,2.3116523459803835e-06,626
Erysipelatoclostridium,2.3116523459803835e-06,1505663
Hungatella,2.3116523459803835e-06,1649459
Treponema,2.3116523459803835e-06,157
Candidatus Hoaglandella,2.3116523459803835e-06,1906659
Rhodoferax,2.3116523459803835e-06,28065
Caldichromatium,1.7337392594852874e-06,2828366
Selenomonas,1.7337392594852874e-06,970
Paracoccus,1.7337392594852874e-06,265
Rhizobium,1.7337392594852874e-06,379
Neisseria,1.7337392594852874e-06,482
Coprobacter,1.7337392594852874e-06,1348911
Actinobacillus,1.7337392594852874e-06,713
Photobacterium,1.7337392594852874e-06,657
Sodalis,1.7337392594852874e-06,84565
Candidatus Hamiltonella,1.7337392594852874e-06,568987
Spirosoma,1.7337392594852874e-06,107
Providencia,1.7337392594852874e-06,586
Candidatus Profftia,1.7337392594852874e-06,1177214
Candidatus Doolittlea,1.7337392594852874e-06,1906657
Faecalitalea,1.7337392594852874e-06,1573534
Flavobacterium,1.7337392594852874e-06,237
Dysosmobacter,1.7337392594852874e-06,2591381
Lachnospira,1.7337392594852874e-06,28050
Leuconostoc,1.7337392594852874e-06,1243
Mageeibacillus,1.7337392594852874e-06,1637257
Pseudobutyrivibrio,1.7337392594852874e-06,46205
Lachnoanaerobaculum,1.7337392594852874e-06,1164882
Romboutsia,1.7337392594852874e-06,1501226
Vescimonas,1.7337392594852874e-06,2892396
Emergencia,1.1558261729901918e-06,1926556
Caproicibacterium,1.1558261729901918e-06,2834348
Candidatus Blochmannia,1.1558261729901918e-06,203804
Ruminococcus,1.1558261729901918e-06,1263
Variovorax,1.1558261729901918e-06,34072
Paraburkholderia,1.1558261729901918e-06,1822464
Mogibacterium,1.1558261729901918e-06,86331
Massilia,1.1558261729901918e-06,149698
Sutterella,1.1558261729901918e-06,40544
Latilactobacillus,1.1558261729901918e-06,2767885
Companilactobacillus,1.1558261729901918e-06,2767879
Arthrobacter,1.1558261729901918e-06,1663
Candidatus Annandia,1.1558261729901918e-06,1302410
Candidatus Riesia,1.1558261729901918e-06,401618
Qiania,1.1558261729901918e-06,2944195
Modestobacter,1.1558261729901918e-06,88138
Stenotrophomonas,1.1558261729901918e-06,40323
Shewanella,1.1558261729901918e-06,22
Pseudoalteromonas,1.1558261729901918e-06,53246
Paraglaciecola,1.1558261729901918e-06,1621534
Haemophilus,1.1558261729901918e-06,724
Halomonas,1.1558261729901918e-06,2745
Litoricola,1.1558261729901918e-06,418700
Devosia,1.1558261729901918e-06,46913
Legionella,1.1558261729901918e-06,445
Olsenella,1.1558261729901918e-06,133925
Slackia,1.1558261729901918e-06,84108
Photorhabdus,1.1558261729901918e-06,29487
Brenneria,1.1558261729901918e-06,71655
Anaerotignum,1.1558261729901918e-06,2039240
Bradyrhizobium,1.1558261729901918e-06,374
Xanthomonas,1.1558261729901918e-06,338
Sphingomonas,1.1558261729901918e-06,13687
Hymenobacter,1.1558261729901918e-06,89966
Desulfobacca,1.1558261729901918e-06,60892
Candidatus Cytomitobacter,1.1558261729901918e-06,2601574
Virgibacillus,1.1558261729901918e-06,84406
Tessaracoccus,1.1558261729901918e-06,72763
Vagococcus,1.1558261729901918e-06,2737
Rhodocytophaga,1.1558261729901918e-06,455076
Deinococcus,1.1558261729901918e-06,1298
Methanobrevibacter,1.1558261729901918e-06,2172
Gulosibacter,1.1558261729901918e-06,256818
Arenimonas,5.779130864950959e-07,490567
Granulicella,5.779130864950959e-07,940557
Mycolicibacterium,5.779130864950959e-07,1866885
Pseudoxanthomonas,5.779130864950959e-07,83618
Natronobiforma,5.779130864950959e-07,2174848
Nitrosococcus,5.779130864950959e-07,1227
Thioflavicoccus,5.779130864950959e-07,156885
Candidatus Koribacter,5.779130864950959e-07,658061
Gynuella,5.779130864950959e-07,1445504
Breznakiella,5.779130864950959e-07,2845254
Rickettsiella,5.779130864950959e-07,59195
Borreliella,5.779130864950959e-07,64895
Aquicella,5.779130864950959e-07,254245
Francisella,5.779130864950959e-07,262
Natronomonas,5.779130864950959e-07,63743
Hahella,5.779130864950959e-07,158481
Gardnerella,5.779130864950959e-07,2701
Candidatus Bipolaricaulis,5.779130864950959e-07,2250122
Fusobacterium,5.779130864950959e-07,848
Bacterioplanoides,5.779130864950959e-07,2066071
Marinomonas,5.779130864950959e-07,28253
Kushneria,5.779130864950959e-07,504090
Aminobacterium,5.779130864950959e-07,81466
Pasteurella,5.779130864950959e-07,745
Mannheimia,5.779130864950959e-07,75984
Glaesserella,5.779130864950959e-07,2094023
Desulfurispirillum,5.779130864950959e-07,393029
Rhodococcus,5.779130864950959e-07,1827
Dyella,5.779130864950959e-07,231454
Bartonella,5.779130864950959e-07,773
Nautilia,5.779130864950959e-07,191291
Limnoglobus,5.779130864950959e-07,2731450
Polystyrenella,5.779130864950959e-07,2795774
Mesorhizobium,5.779130864950959e-07,68287
Labrys,5.779130864950959e-07,204476
Methylocystis,5.779130864950959e-07,133
Sulfuritalea,5.779130864950959e-07,1054211
Dinoroseobacter,5.779130864950959e-07,309512
Pseudogulbenkiania,5.779130864950959e-07,568394
Psychromicrobium,5.779130864950959e-07,2078575
Gluconobacter,5.779130864950959e-07,441
Devriesea,5.779130864950959e-07,472568
Comamonas,5.779130864950959e-07,283
Acidovorax,5.779130864950959e-07,12916
Psychrobacter,5.779130864950959e-07,497
Granulibacter,5.779130864950959e-07,364409
Elioraea,5.779130864950959e-07,457933
Janibacter,5.779130864950959e-07,53457
Ralstonia,5.779130864950959e-07,48736
Novosphingobium,5.779130864950959e-07,165696
Mycobacterium,5.779130864950959e-07,1763
Immundisolibacter,5.779130864950959e-07,1934947
Hyphomonas,5.779130864950959e-07,85
Hirschia,5.779130864950959e-07,2723
Syntrophotalea,5.779130864950959e-07,2812025
Spongiibacter,5.779130864950959e-07,630749
Salidesulfovibrio,5.779130864950959e-07,2950010
Microbulbifer,5.779130864950959e-07,48073
Cellvibrio,5.779130864950959e-07,10
Campylobacter,5.779130864950959e-07,194
Methyloceanibacter,5.779130864950959e-07,1484898
Propionibacterium,5.779130864950959e-07,1743
Staphylococcus,5.779130864950959e-07,1279
Jinshanibacter,5.779130864950959e-07,2810357
Saccharopolyspora,5.779130864950959e-07,1835
Liquorilactobacillus,5.779130864950959e-07,2767888
Cytobacillus,5.779130864950959e-07,2675230
Parageobacillus,5.779130864950959e-07,1906945
Salimicrobium,5.779130864950959e-07,351195
Jeotgalibaca,5.779130864950959e-07,1470540
Butyricimonas,5.779130864950959e-07,574697
Dolosigranulum,5.779130864950959e-07,29393
Lactococcus,5.779130864950959e-07,1357
Sodaliphilus,5.779130864950959e-07,2815786
Proteiniphilum,5.779130864950959e-07,294702
Mangrovivirga,5.779130864950959e-07,2858886
Weissella,5.779130864950959e-07,46255
Tenacibaculum,5.779130864950959e-07,104267
Ornithobacterium,5.779130864950959e-07,28250
Elizabethkingia,5.779130864950959e-07,308865
Chryseobacterium,5.779130864950959e-07,59732
Sphingobacterium,5.779130864950959e-07,28453
Pedobacter,5.779130864950959e-07,84567
Mesobacillus,5.779130864950959e-07,2675231
Alkalihalobacillus,5.779130864950959e-07,2675234
Malacoplasma,5.779130864950959e-07,2791001
Salicibibacter,5.779130864950959e-07,2685905
Kroppenstedtia,5.779130864950959e-07,1274351
Cohnella,5.779130864950959e-07,329857
Brevibacillus,5.779130864950959e-07,55080
Faecalibacillus,5.779130864950959e-07,2678885
Tannockella,5.779130864950959e-07,2943184
Anoxybacillus,5.779130864950959e-07,150247
Veillonella,5.779130864950959e-07,29465
Pectinatus,5.779130864950959e-07,864
Mycoplasma,5.779130864950959e-07,2093
Helcococcus,5.779130864950959e-07,31983
Peptoniphilus,5.779130864950959e-07,162289
Nostoc,5.779130864950959e-07,1177
Calothrix,5.779130864950959e-07,1186
Synechococcus,5.779130864950959e-07,1129
Chloroflexus,5.779130864950959e-07,1107
Caldilinea,5.779130864950959e-07,233191
Lacticaseibacillus,5.779130864950959e-07,2759736
Pediococcus,5.779130864950959e-07,1253
Moritella,5.779130864950959e-07,58050
Natranaerobius,5.779130864950959e-07,375928
Erwinia,5.779130864950959e-07,551
Buchnera,5.779130864950959e-07,32199
Salinispora,5.779130864950959e-07,168694
Hafnia,5.779130864950959e-07,568
Obesumbacterium,5.779130864950959e-07,82982
Leminorella,5.779130864950959e-07,82980
Macrococcus,5.779130864950959e-07,69965
Flaviflexus,5.779130864950959e-07,1522056
Oceanisphaera,5.779130864950959e-07,225143
Trueperella,5.779130864950959e-07,1069494
Actinomyces,5.779130864950959e-07,1654
Permianibacter,5.779130864950959e-07,1649479
Thiopseudomonas,5.779130864950959e-07,1654787
Saccharothrix,5.779130864950959e-07,2071
Pseudonocardia,5.779130864950959e-07,1847
Alteromonas,5.779130864950959e-07,226
Thalassotalea,5.779130864950959e-07,1518149
Nocardiopsis,5.779130864950959e-07,2013
Rahnella,5.779130864950959e-07,34037
Arsenophonus,5.779130864950959e-07,637
Thermoclostridium,5.779130864950959e-07,2304691
Iocasia,5.779130864950959e-07,2899804
Halothermothrix,5.779130864950959e-07,32636
Desulfosporosinus,5.779130864950959e-07,79206
Desulfitobacterium,5.779130864950959e-07,36853
Flintibacter,5.779130864950959e-07,1918454
Intestinimonas,5.779130864950959e-07,1392389
Monoglobus,5.779130864950959e-07,2039302
Pseudoclostridium,5.779130864950959e-07,2304693
Arabiibacter,5.779130864950959e-07,2005386
Caproicibacter,5.779130864950959e-07,2576755
Solibaculum,5.779130864950959e-07,2842531
Acetivibrio,5.779130864950959e-07,35829
Candidatus Purcelliella,5.779130864950959e-07,472825
Alkaliphilus,5.779130864950959e-07,114627
Wujia,5.779130864950959e-07,2944152
Conexibacter,5.779130864950959e-07,191494
Cuauhtlivirus,5.779130864950959e-07,2842619
