Species,RA,TAX_ID
Bifidobacterium longum,0.39434504444867735,216816
Bacteroides thetaiotaomicron,0.0947708288934948,818
Prevotella copri,0.0941195477996946,165179
Parabacteroides distasonis,0.07808520843823925,823
Clostridium butyricum,0.020997528778011844,1492
Escherichia coli,0.017478976382259252,562
Prevotella melaninogenica,0.017152078535950275,28132
Alistipes finegoldii,0.01045507323454732,214856
Roseburia hominis,0.010395351512625486,301301
Collinsella aerofaciens,0.009268182592563954,74426
Anaerostipes hadrus,0.007276620328896952,649756
Anaerobutyricum hallii,0.006876799116872895,39488
unclassified,0.0029741417517072555,12908
Bacteroides uniformis,0.001927439993814087,820
Akkermansia muciniphila,0.0013176497805069557,239935
Roseburia intestinalis,0.0009127993708473758,166486
Escherichia albertii,0.0005613841860652249,208962
Eggerthella lenta,0.0005500684913852988,84112
Shigella flexneri,0.000509834910301117,623
Escherichia marmotae,0.0004130228558173043,1499973
Escherichia fergusonii,0.00041176555640842365,564
Salmonella enterica,0.00033444164276226165,28901
Escherichia sp. E4742,0.00033255569364894064,2044467
Lactobacillus paragasseri,0.00027660586995375023,2107999
Bifidobacterium breve,0.000255860429707219,1685
Shigella dysenteriae,0.00023385769005180703,622
Klebsiella pneumoniae,0.0001634489231544888,573
Shigella boydii,0.00012635859059250863,621
Citrobacter freundii,0.0001257299408880683,546
Shigella sonnei,0.00011315694679926147,624
Blautia obeum,0.00011127099768594044,40520
Enterobacter cloacae,0.00010561315034597736,550
Lactobacillus phage phiadh,9.681205448381258e-05,12417
Bifidobacterium bifidum,6.475091955735518e-05,1681
Lelliottia amnigena,6.34936201484745e-05,61646
Citrobacter farmeri,5.972172192183244e-05,67824
Enterobacter hormaechei,5.6578473399630734e-05,158836
Eubacterium limosum,5.532117399075005e-05,1736
Limosilactobacillus fermentum,5.217792546854834e-05,1613
Citrobacter rodentium,5.1549275764108e-05,67825
Leclercia adecarboxylata,5.0920626059667657e-05,83655
Cedecea neteri,4.9663326650786974e-05,158822
Citrobacter sp. R56,4.840602724190629e-05,1573676
Parabacteroides goldsteinii,4.714872783302561e-05,328812
Ruminococcus gnavus,4.589142842414493e-05,33038
Blautia massiliensis,4.4005479310823903e-05,1737424
Citrobacter sp. RHB25-C09,4.274817990194322e-05,2742624
Parabacteroides merdae,4.274817990194322e-05,46503
Yokenella regensburgei,4.211953019750288e-05,158877
Citrobacter amalonaticus,4.0233581084181856e-05,35703
Salmonella bongori,3.897628167530117e-05,54736
Klebsiella quasipneumoniae,3.7718982266420485e-05,1463165
Pseudocitrobacter sp. G163CM,3.7718982266420485e-05,2891570
Enterobacter lignolyticus,3.7718982266420485e-05,1334193
Blautia sp. SC05B48,3.64616828575398e-05,2479767
Klebsiella aerogenes,3.457573374421878e-05,548
Klebsiella oxytoca,3.394708403977844e-05,571
Enterobacter sp. SA187,3.2689784630897755e-05,1914861
Kluyvera ascorbata,3.2061134926457414e-05,51288
Scandinavium goeteborgense,3.080383551757673e-05,1851514
Alistipes communis,3.080383551757673e-05,2585118
Gordonibacter pamelaeae,3.017518581313639e-05,471189
Dorea longicatena,2.8289236699815367e-05,88431
Lactobacillus gasseri,2.8289236699815367e-05,1596
Raoultella ornithinolytica,2.7660586995375026e-05,54291
Faecalibacterium prausnitzii,2.703193729093468e-05,853
Blautia sp. NBRC 113351,2.703193729093468e-05,2877527
Enterobacter sp. JUb54,2.703193729093468e-05,2724468
Jejubacter calystegiae,2.640328758649434e-05,2579935
Klebsiella huaxiensis,2.640328758649434e-05,2153354
Leclercia pneumoniae,2.5774637882054e-05,2815358
Kosakonia sacchari,2.5774637882054e-05,1158459
Enterobacter roggenkampii,2.4517338473173316e-05,1812935
Kluyvera intermedia,2.4517338473173316e-05,61648
Kosakonia cowanii,2.3888688768732975e-05,208223
Atlantibacter hermannii,2.3888688768732975e-05,565
Enterobacter cancerogenus,2.3888688768732975e-05,69218
Bacteroides cellulosilyticus,2.3260039064292634e-05,246787
