Species,Count
Halomonas sp. HL-93,0.876461512
Marinobacter sp. ELB17,0.021521298
Halomonas campaniensis,0.009913802
Marinobacter psychrophilus,0.006536167
Halomonas stevensii,0.005974476
Muricauda ruestringensis,0.00458079
Psychrobacter sp. P11F6,0.003142525
Marinobacter sp. AC-23,0.002856786
Halomonas boliviensis,0.002791606
Psychrobacter arcticus,0.002699161
Psychrobacter alimentarius,0.002319021
Labrenzia alba,0.001713884
Marinobacter subterrani,0.001431462
Halomonas sp. GFAJ-1,0.001416927
Marinobacter adhaerens,0.001101014
Jannaschia seosinensis,0.001029733
Muricauda antarctica,0.000995585
Marinobacter excellens,0.000994323
Arenibacter sp. C-21,0.00088437
Mycobacterium aurum,0.000863827
Psychrobacter sp. TB15,0.000854349
Fusibacter sp. 3D3,0.000843716
Methanolacinia paynteri,0.000841632
Nereida ignava,0.000837188
Thauera aminoaromatica,0.000831944
Phaeobacter sp. CECT 7735,0.000830148
Aureispira sp. CCB-QB1,0.000829362
Jannaschia rubra,0.000827732
Thalassobacter stenotrophicus,0.000825654
Dysgonomonas sp. HGC4,0.000824998
Necropsobacter massiliensis,0.000824919
Mesorhizobium plurifarium,0.000824536
Acinetobacter rudis,0.000822358
Thalassobius sp. CECT 5113,0.000818838
Helicobacter heilmannii,0.000815895
Bifidobacterium aesculapii,0.000815556
Helicobacter ailurogastricus,0.000814055
Sporanaerobacter sp. PP17-6a,0.000813882
Chondromyces apiculatus,0.00081236
Cystobacter fuscus,0.000803308
Flavobacterium succinicans,0.000798056
Shimia marina,0.000795034
Thauera terpenica,0.000793144
Tropicibacter naphthalenivorans,0.000792502
Nautella italica,0.000792235
Jannaschia donghaensis,0.000791997
Pseudoalteromonas luteoviolacea,0.000791723
Mycobacterium cosmeticum,0.000790403
Leucobacter celer,0.000777621
Paenibacillus sp. FF9,0.000776041
Microbacterium sp. C448,0.00077581
Thalassobius mediterraneus,0.000775118
Acetomicrobium hydrogeniformans,0.000774267
Saccharopolyspora rectivirgula,0.00077405
Anaerosalibacter massiliensis,0.000768301
Pseudomonas pelagia,0.000765697
Brachybacterium muris,0.000764572
Leucobacter sp. UCD-THU,0.000750211
Mesorhizobium sp. ORS3324,0.000729653
Thalassobius gelatinovorus,0.000720953
Halomonas salina,0.000717866
Psychrobacter sp. PRwf-1,0.000714216
Leisingera aquaemixtae,0.000655255
Muricauda sp. MAR_2010_75,0.000642285
Thioclava pacifica,0.000626416
Psychrobacter aquaticus,0.000619607
Moraxella catarrhalis,0.00056506
Micromonospora aurantiaca,0.000555892
Muricauda sp. CP2A,0.000543023
Marinobacter hydrocarbonoclasticus,0.0005414
Micromonospora carbonacea,0.00053286
Tropicibacter multivorans,0.000520323
Cohaesibacter marisflavi,0.000493252
Micromonospora lupini,0.000442629
Thioclava atlantica,0.000427329
Psychrobacter sp. ENNN9_III,0.000427315
Halomonas huangheensis,0.000421674
Marinobacter similis,0.000414504
Marinobacter lipolyticus,0.000395064
Marinobacter salarius,0.000346656
Verrucosispora maris,0.000323119
Halomonas elongata,0.000313994
Chlamydia psittaci,0.000284982
Thioclava dalianensis,0.000278462
Marinobacter sp. ES-1,0.000263422
Xiangella phaseoli,0.000239777
Chromohalobacter salexigens,0.000228942
Marinobacter nitratireducens,0.000221765
Marinobacter santoriniensis,0.0001975
Croceitalea dokdonensis,0.000190258
Spongiibacterium flavum,0.000186507
Flagellimonas sp. DK169,0.000172967
Halomonas sp. KM-1,0.000146971
Marinobacter mobilis,0.000139967
Halomonas sp. S2151,0.000116999
Halomonas zincidurans,0.000114323
Salinispora arenicola,0.000109873
Salinispora tropica,0.000105747
Polaribacter dokdonensis,0.000102833
