SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,11,0.9042,0.0250,7.9837,0.8623,0.0380,90.9091,0.0000,biobakery3
SRR11487932,11,0.8893,0.0245,7.0953,0.8654,0.0388,90.9091,0.0000,biobakery3
SRR11487933,12,0.8954,0.0215,9.8660,0.8708,0.0349,90.9091,1.0804,biobakery3
SRR11487934,12,0.8825,0.0211,9.3517,0.8732,0.0368,90.9091,1.0072,biobakery3
SRR11487935,12,0.9002,0.0203,8.4631,0.8781,0.0336,90.9091,1.1855,biobakery3
Average,12,0.8943,0.0225,8.5520,0.8699,0.0364,90.9091,0.6546,biobakery3
SRR11487931,11,0.9214,0.0311,1.8046,0.8291,0.0517,100.0000,0.0000,biobakery4
SRR11487932,11,0.9168,0.0321,1.8583,0.8233,0.0518,100.0000,0.0000,biobakery4
SRR11487933,11,0.9292,0.0288,1.6902,0.8413,0.0473,100.0000,0.0000,biobakery4
SRR11487934,11,0.9232,0.0302,1.6995,0.8340,0.0489,100.0000,0.0000,biobakery4
SRR11487935,11,0.9306,0.0289,1.5318,0.8412,0.0467,100.0000,0.0000,biobakery4
Average,11,0.9242,0.0302,1.7169,0.8338,0.0493,100.0000,0.0000,biobakery4
SRR11487931,11,0.8871,0.0309,2.2112,0.8298,0.0413,100.0000,0.0000,jams
SRR11487932,11,0.8793,0.0313,2.2703,0.8280,0.0421,100.0000,0.0000,jams
SRR11487933,11,0.8945,0.0291,2.0827,0.8400,0.0382,100.0000,0.0000,jams
SRR11487934,11,0.8843,0.0304,2.1903,0.8326,0.0404,100.0000,0.0000,jams
SRR11487935,11,0.9018,0.0288,2.0791,0.8414,0.0374,100.0000,0.0000,jams
Average,11,0.8894,0.0301,2.1667,0.8344,0.0399,100.0000,0.0000,jams
SRR11487931,11,0.8865,0.0309,2.1949,0.8300,0.0412,100.0000,0.0000,jams202212
SRR11487932,11,0.8794,0.0312,2.2574,0.8285,0.0420,100.0000,0.0000,jams202212
SRR11487933,11,0.8945,0.0291,2.0669,0.8402,0.0381,100.0000,0.0000,jams202212
SRR11487934,11,0.8840,0.0304,2.1788,0.8327,0.0403,100.0000,0.0000,jams202212
SRR11487935,11,0.9012,0.0288,2.0681,0.8417,0.0373,100.0000,0.0000,jams202212
Average,11,0.8891,0.0301,2.1532,0.8346,0.0398,100.0000,0.0000,jams202212
SRR11487931,12,0.8967,0.0322,3.6857,0.8069,0.0448,100.0000,3.0043,wgsa2
SRR11487932,12,0.8942,0.0326,3.7267,0.8046,0.0450,100.0000,2.9962,wgsa2
SRR11487933,12,0.9017,0.0309,3.6507,0.8144,0.0412,100.0000,3.1538,wgsa2
SRR11487934,12,0.8990,0.0314,3.6486,0.8119,0.0424,100.0000,3.0235,wgsa2
SRR11487935,12,0.9053,0.0303,3.6284,0.8185,0.0402,100.0000,3.2148,wgsa2
Average,12,0.8994,0.0315,3.6680,0.8112,0.0427,100.0000,3.0785,wgsa2
SRR11487931,12,0.2290,0.0665,6.0579,0.6009,0.0977,90.9091,11.1296,woltka
SRR11487932,12,0.2109,0.0680,6.1218,0.5922,0.1000,90.9091,11.3425,woltka
SRR11487933,12,0.2163,0.0668,6.0014,0.5994,0.0984,90.9091,10.9561,woltka
SRR11487934,12,0.2333,0.0657,5.9988,0.6060,0.0967,90.9091,10.8470,woltka
SRR11487935,12,0.2232,0.0660,5.9547,0.6040,0.0975,90.9091,10.8592,woltka
Average,12,0.2225,0.0666,6.0269,0.6005,0.0981,90.9091,11.0269,woltka
