SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,18.0000,0.9142,0.0169,5.2528,0.8563,0.0302,100.0000,0.0076,bio4
SRR11487932,17.0000,0.9028,0.0164,4.8354,0.8604,0.0308,100.0000,-0.0000,bio4
SRR11487933,17.0000,0.9066,0.0152,6.2762,0.8708,0.0291,100.0000,0.0000,bio4
SRR11487934,18.0000,0.8944,0.0161,5.8814,0.8626,0.0310,100.0000,0.0477,bio4
SRR11487935,17.0000,0.9113,0.0145,5.1244,0.8766,0.0281,100.0000,0.0000,bio4
Average,17.4000,0.9059,0.0158,5.4740,0.8653,0.0298,100.0000,0.0111,bio4
SRR11487931,76.0000,0.9021,0.0191,9.1725,0.8156,0.0317,100.0000,3.3629,jams
SRR11487932,68.0000,0.8961,0.0194,9.5318,0.8132,0.0324,100.0000,3.1428,jams
SRR11487933,75.0000,0.9069,0.0184,8.8944,0.8227,0.0299,100.0000,3.3440,jams
SRR11487934,76.0000,0.8996,0.0189,7.5433,0.8170,0.0312,94.7368,3.3965,jams
SRR11487935,79.0000,0.9133,0.0180,8.8004,0.8255,0.0291,100.0000,3.4768,jams
Average,74.8000,0.9036,0.0188,8.7885,0.8188,0.0308,98.9474,3.3446,jams
SRR11487931,926.0000,0.9122,0.0180,4.6517,0.8276,0.0302,100.0000,21.9145,wgsa
SRR11487932,952.0000,0.9108,0.0180,4.7533,0.8279,0.0304,100.0000,22.3837,wgsa
SRR11487933,933.0000,0.9187,0.0171,4.4721,0.8366,0.0287,100.0000,21.8854,wgsa
SRR11487934,880.0000,0.9158,0.0173,4.4548,0.8343,0.0293,100.0000,21.9640,wgsa
SRR11487935,869.0000,0.9223,0.0168,4.4669,0.8392,0.0281,100.0000,21.7462,wgsa
Average,912.0000,0.9160,0.0175,4.5598,0.8331,0.0293,100.0000,21.9788,wgsa
SRR11487931,188.0000,0.2914,0.0391,3.3507,0.6019,0.0796,100.0000,23.0676,wol
SRR11487932,196.0000,0.2756,0.0399,3.4846,0.5938,0.0811,100.0000,23.2304,wol
SRR11487933,205.0000,0.2816,0.0391,3.2745,0.6021,0.0799,100.0000,22.9984,wol
SRR11487934,189.0000,0.2963,0.0386,3.3150,0.6080,0.0789,100.0000,22.7483,wol
SRR11487935,198.0000,0.2883,0.0387,3.2343,0.6071,0.0793,100.0000,22.7526,wol
Average,195.2000,0.2866,0.0391,3.3318,0.6026,0.0798,100.0000,22.9595,wol
