genus,RA,genus_lineage
BACTEROIDES,0.3780349,816
BACTEROIDES,0.2351762,909656
ALISTIPES,0.1734371,239759
PARABACTEROIDES,0.0371866,375288
AKKERMANSIA,0.0301727,239934
ROSEBURIA,0.0259841,841
ACIDAMINOCOCCUS,0.0239106,904
FAECALIBACTERIUM,0.0198588,216851
ODORIBACTER,0.0141268,283168
FLAVONIFRACTOR,0.0139012,946234
RUMINOCOCCUS,0.0118174,1263
EUBACTERIUM,0.0058270999999999,2840493
PHASCOLARCTOBACTERIUM,0.0056337,33024
RUTHENIBACTERIUM,0.0034149,1905344
BLAUTIA,0.0032374,572511
MONOGLOBUS,0.0030586,2039302
BIFIDOBACTERIUM,0.0028693,1678
COLLINSELLA,0.0028477999999999,102106
EUBACTERIUM,0.0024446,2569097
COPROCOCCUS,0.0020308,33042
GORDONIBACTER,0.0012852,644652
INTESTINIMONAS,0.0012252,1392389
RUMINOCOCCUS,0.000965,2316020
ANAEROTIGNUM,0.0005574,2039240
FUSICATENIBACTER,0.0004304,1407607
GEMMIGER,0.0002945,204475
ESCHERICHIA,0.0002208,561
AGATHOBACULUM,5.11e-05,2048137
HAEMOPHILUS,0.0,724
CLOSTRIDIUM,0.0,552397
PARASUTTERELLA,0.0,577310
PREVOTELLA,0.0,838
PARAPREVOTELLA,0.0,577309
BUTYRICIMONAS,0.0,574697
COPROBACTER,0.0,1348911
STREPTOCOCCUS,0.0,1301
TURICIBACTER,0.0,191303
BACTEROIDES,0.0,538999
FIRMICUTES,0.0,47928
OSCILLIBACTER,0.0,459786
SUTTERELLA,0.0,40544
DIALISTER,0.0,39948
CLOSTRIDIUM,0.0,1485
VEILLONELLA,0.0,29465
OLSENELLA,0.0,2847313
HOLDEMANELLA,0.0,1573535
EUBACTERIUM,0.0,28050
EUBACTERIUM,0.0,1730
DOREA,0.0,189330
LAWSONIBACTER,0.0,2172004
BARNESIELLA,0.0,397864
