genus,RA,genus_lineage
PREVOTELLA,0.7140457,838
BACTEROIDES,0.1106646,909656
BACTEROIDES,0.0595454,816
PARABACTEROIDES,0.0360692,375288
EUBACTERIUM,0.016975,28050
ALISTIPES,0.011916399999999999,239759
PARAPREVOTELLA,0.0078653,577309
OSCILLIBACTER,0.0062967000000000006,459786
EUBACTERIUM,0.0057398,2840493
FAECALIBACTERIUM,0.0048493,216851
DIALISTER,0.0046911999999999,39948
EUBACTERIUM,0.0038987999999999996,1730
ROSEBURIA,0.0037898999999999997,841
COLLINSELLA,0.0027628,102106
BUTYRICIMONAS,0.002489,574697
BARNESIELLA,0.0015654,397864
HAEMOPHILUS,0.0014597,724
BLAUTIA,0.0009872,572511
COPROCOCCUS,0.0008956,33042
ODORIBACTER,0.0008290999999999,283168
BIFIDOBACTERIUM,0.0007511,1678
DOREA,0.0006791,189330
VEILLONELLA,0.0004564999999999,29465
TURICIBACTER,0.0004156,191303
CLOSTRIDIUM,0.0002309,1485
SUTTERELLA,5.2900000000000005e-05,40544
RUMINOCOCCUS,5.11e-05,2316020
RUTHENIBACTERIUM,2.68e-05,1905344
INTESTINIMONAS,0.0,1392389
FUSICATENIBACTER,0.0,1407607
CLOSTRIDIUM,0.0,552397
GORDONIBACTER,0.0,644652
PARASUTTERELLA,0.0,577310
COPROBACTER,0.0,1348911
ACIDAMINOCOCCUS,0.0,904
STREPTOCOCCUS,0.0,1301
ESCHERICHIA,0.0,561
MONOGLOBUS,0.0,2039302
BACTEROIDES,0.0,538999
FIRMICUTES,0.0,47928
HOLDEMANELLA,0.0,1573535
GEMMIGER,0.0,204475
PHASCOLARCTOBACTERIUM,0.0,33024
OLSENELLA,0.0,2847313
RUMINOCOCCUS,0.0,1263
EUBACTERIUM,0.0,2569097
AKKERMANSIA,0.0,239934
LAWSONIBACTER,0.0,2172004
ANAEROTIGNUM,0.0,2039240
AGATHOBACULUM,0.0,2048137
FLAVONIFRACTOR,0.0,946234
