genus,RA,genus_lineage
ALISTIPES,0.4029859,239759
BACTEROIDES,0.1975457,816
PREVOTELLA,0.1373936999999999,838
PARABACTEROIDES,0.09803239999999999,375288
BACTEROIDES,0.0455880999999999,909656
BUTYRICIMONAS,0.0218621,574697
AKKERMANSIA,0.019566,239934
ODORIBACTER,0.0116453999999999,283168
FAECALIBACTERIUM,0.0116336,216851
PHASCOLARCTOBACTERIUM,0.0106528,33024
RUTHENIBACTERIUM,0.0099286,1905344
CLOSTRIDIUM,0.0057213,552397
OSCILLIBACTER,0.0052581999999999005,459786
FLAVONIFRACTOR,0.004409,946234
EUBACTERIUM,0.0041256,2840493
RUMINOCOCCUS,0.0038309999999999,2316020
COLLINSELLA,0.0022192,102106
DIALISTER,0.001937,39948
BIFIDOBACTERIUM,0.0014024,1678
BACTEROIDES,0.0012018,538999
EUBACTERIUM,0.0009325000000000001,1730
FUSICATENIBACTER,0.0009191,1407607
FIRMICUTES,0.0004766,47928
STREPTOCOCCUS,0.0004349,1301
ROSEBURIA,0.000105,841
OLSENELLA,8.45e-05,2847313
PARASUTTERELLA,6.06e-05,577310
HOLDEMANELLA,4.68e-05,1573535
CLOSTRIDIUM,0.0,1485
PARAPREVOTELLA,0.0,577309
COPROBACTER,0.0,1348911
GORDONIBACTER,0.0,644652
ACIDAMINOCOCCUS,0.0,904
BLAUTIA,0.0,572511
HAEMOPHILUS,0.0,724
ESCHERICHIA,0.0,561
INTESTINIMONAS,0.0,1392389
GEMMIGER,0.0,204475
AGATHOBACULUM,0.0,2048137
BARNESIELLA,0.0,397864
COPROCOCCUS,0.0,33042
VEILLONELLA,0.0,29465
RUMINOCOCCUS,0.0,1263
DOREA,0.0,189330
EUBACTERIUM,0.0,28050
EUBACTERIUM,0.0,2569097
TURICIBACTER,0.0,191303
ANAEROTIGNUM,0.0,2039240
LAWSONIBACTER,0.0,2172004
MONOGLOBUS,0.0,2039302
SUTTERELLA,0.0,40544
