genus,RA,genus_lineage
ALISTIPES,0.3930896999999999,239759
BACTEROIDES,0.1954093999999999,816
PREVOTELLA,0.1375732,838
PARABACTEROIDES,0.10183249999999999,375288
BACTEROIDES,0.0469924,909656
BUTYRICIMONAS,0.0227161,574697
AKKERMANSIA,0.0203354,239934
FAECALIBACTERIUM,0.0147239,216851
ODORIBACTER,0.0124669999999999,283168
PHASCOLARCTOBACTERIUM,0.0104324,33024
RUTHENIBACTERIUM,0.0090648,1905344
OSCILLIBACTER,0.0054007,459786
CLOSTRIDIUM,0.0051575,552397
EUBACTERIUM,0.0049556,2840493
RUMINOCOCCUS,0.0038255,2316020
FLAVONIFRACTOR,0.0033815,946234
DIALISTER,0.0030767,39948
COLLINSELLA,0.0030106,102106
BIFIDOBACTERIUM,0.0018449999999999,1678
BACTEROIDES,0.0016893,538999
STREPTOCOCCUS,0.001198,1301
FUSICATENIBACTER,0.0009482,1407607
FIRMICUTES,0.0005129,47928
OLSENELLA,0.0001493,2847313
ROSEBURIA,0.000104,841
LAWSONIBACTER,8.42e-05,2172004
EUBACTERIUM,2.41e-05,1730
PARASUTTERELLA,0.0,577310
CLOSTRIDIUM,0.0,1485
PARAPREVOTELLA,0.0,577309
GORDONIBACTER,0.0,644652
HAEMOPHILUS,0.0,724
INTESTINIMONAS,0.0,1392389
BLAUTIA,0.0,572511
ESCHERICHIA,0.0,561
COPROBACTER,0.0,1348911
ACIDAMINOCOCCUS,0.0,904
AGATHOBACULUM,0.0,2048137
HOLDEMANELLA,0.0,1573535
GEMMIGER,0.0,204475
BARNESIELLA,0.0,397864
COPROCOCCUS,0.0,33042
VEILLONELLA,0.0,29465
RUMINOCOCCUS,0.0,1263
DOREA,0.0,189330
EUBACTERIUM,0.0,28050
EUBACTERIUM,0.0,2569097
TURICIBACTER,0.0,191303
ANAEROTIGNUM,0.0,2039240
MONOGLOBUS,0.0,2039302
SUTTERELLA,0.0,40544
