genus,RA,genus_lineage
RUMINOCOCCUS,0.2135155,1263
BACTEROIDES,0.2017387,816
ALISTIPES,0.1847633,239759
BACTEROIDES,0.119379,909656
PREVOTELLA,0.0741153,838
FAECALIBACTERIUM,0.0588096999999999,216851
FIRMICUTES,0.0491404,47928
PARABACTEROIDES,0.0160522,375288
ROSEBURIA,0.0109205,841
CLOSTRIDIUM,0.0104391,552397
OSCILLIBACTER,0.0076251,459786
COLLINSELLA,0.0069143,102106
DOREA,0.0063982999999999,189330
BIFIDOBACTERIUM,0.005984,1678
ODORIBACTER,0.0053028,283168
RUMINOCOCCUS,0.0039842,2316020
AKKERMANSIA,0.0039624,239934
EUBACTERIUM,0.0033889999999999,1730
DIALISTER,0.0030737,39948
RUTHENIBACTERIUM,0.0025256,1905344
BLAUTIA,0.0024286,572511
EUBACTERIUM,0.0024271,2840493
GEMMIGER,0.001884,204475
COPROCOCCUS,0.0015425,33042
PHASCOLARCTOBACTERIUM,0.0008112,33024
PARASUTTERELLA,0.0007704999999999,577310
FLAVONIFRACTOR,0.0006745,946234
AGATHOBACULUM,0.0006554999999999,2048137
EUBACTERIUM,0.0005685,28050
EUBACTERIUM,0.0002044,2569097
VEILLONELLA,0.0,29465
PARAPREVOTELLA,0.0,577309
STREPTOCOCCUS,0.0,1301
ACIDAMINOCOCCUS,0.0,904
COPROBACTER,0.0,1348911
INTESTINIMONAS,0.0,1392389
FUSICATENIBACTER,0.0,1407607
HAEMOPHILUS,0.0,724
GORDONIBACTER,0.0,644652
LAWSONIBACTER,0.0,2172004
BUTYRICIMONAS,0.0,574697
BARNESIELLA,0.0,397864
CLOSTRIDIUM,0.0,1485
ESCHERICHIA,0.0,561
HOLDEMANELLA,0.0,1573535
OLSENELLA,0.0,2847313
TURICIBACTER,0.0,191303
ANAEROTIGNUM,0.0,2039240
SUTTERELLA,0.0,40544
MONOGLOBUS,0.0,2039302
BACTEROIDES,0.0,538999
