genus,RA,genus_lineage
RUMINOCOCCUS,0.216434,1263
BACTEROIDES,0.2083506999999998,816
ALISTIPES,0.18325199999999991,239759
BACTEROIDES,0.12207029999999999,909656
PREVOTELLA,0.069508,838
FAECALIBACTERIUM,0.0507622,216851
FIRMICUTES,0.0465941,47928
PARABACTEROIDES,0.016702,375288
CLOSTRIDIUM,0.010783,552397
OSCILLIBACTER,0.0100569,459786
ROSEBURIA,0.0098349,841
COLLINSELLA,0.006771,102106
BIFIDOBACTERIUM,0.0066609,1678
DOREA,0.0061385,189330
ODORIBACTER,0.0048481,283168
AKKERMANSIA,0.0047634,239934
DIALISTER,0.0041172,39948
RUMINOCOCCUS,0.0036008,2316020
EUBACTERIUM,0.0033386,1730
RUTHENIBACTERIUM,0.0030313,1905344
EUBACTERIUM,0.0027169,2840493
BLAUTIA,0.0022534,572511
COPROCOCCUS,0.0016217999999999,33042
PARASUTTERELLA,0.0011231,577310
GEMMIGER,0.0009851,204475
PHASCOLARCTOBACTERIUM,0.0009824,33024
EUBACTERIUM,0.0007029,28050
EUBACTERIUM,0.0005251,2569097
AGATHOBACULUM,0.0005071,2048137
FUSICATENIBACTER,0.0004915,1407607
FLAVONIFRACTOR,0.0004728,946234
GORDONIBACTER,0.0,644652
PARAPREVOTELLA,0.0,577309
COPROBACTER,0.0,1348911
HAEMOPHILUS,0.0,724
INTESTINIMONAS,0.0,1392389
ACIDAMINOCOCCUS,0.0,904
STREPTOCOCCUS,0.0,1301
BUTYRICIMONAS,0.0,574697
LAWSONIBACTER,0.0,2172004
ESCHERICHIA,0.0,561
CLOSTRIDIUM,0.0,1485
HOLDEMANELLA,0.0,1573535
TURICIBACTER,0.0,191303
SUTTERELLA,0.0,40544
ANAEROTIGNUM,0.0,2039240
BARNESIELLA,0.0,397864
MONOGLOBUS,0.0,2039302
VEILLONELLA,0.0,29465
OLSENELLA,0.0,2847313
BACTEROIDES,0.0,538999
