genus,RA,genus_lineage
BACTEROIDES,0.20806319999999992,816
RUMINOCOCCUS,0.2016064,1263
ALISTIPES,0.1864247999999999,239759
BACTEROIDES,0.1238764,909656
PREVOTELLA,0.0753408,838
FAECALIBACTERIUM,0.0526264,216851
FIRMICUTES,0.0490582,47928
PARABACTEROIDES,0.0160362,375288
OSCILLIBACTER,0.0102209,459786
ROSEBURIA,0.0100407,841
CLOSTRIDIUM,0.009758,552397
DIALISTER,0.0072794999999999,39948
COLLINSELLA,0.006885,102106
BIFIDOBACTERIUM,0.005894,1678
ODORIBACTER,0.0055571,283168
DOREA,0.0045298,189330
AKKERMANSIA,0.0043164,239934
RUMINOCOCCUS,0.0039848,2316020
EUBACTERIUM,0.0028593,2840493
EUBACTERIUM,0.002785,1730
RUTHENIBACTERIUM,0.0025068,1905344
BLAUTIA,0.0024296,572511
COPROCOCCUS,0.0021118,33042
GEMMIGER,0.0015240999999999,204475
PHASCOLARCTOBACTERIUM,0.0010174,33024
EUBACTERIUM,0.0007929,28050
PARASUTTERELLA,0.00069,577310
AGATHOBACULUM,0.0006311,2048137
FLAVONIFRACTOR,0.0005773,946234
EUBACTERIUM,0.0003506999999999,2569097
FUSICATENIBACTER,0.0002249,1407607
INTESTINIMONAS,0.0,1392389
HAEMOPHILUS,0.0,724
COPROBACTER,0.0,1348911
GORDONIBACTER,0.0,644652
ACIDAMINOCOCCUS,0.0,904
STREPTOCOCCUS,0.0,1301
PARAPREVOTELLA,0.0,577309
BUTYRICIMONAS,0.0,574697
LAWSONIBACTER,0.0,2172004
ESCHERICHIA,0.0,561
CLOSTRIDIUM,0.0,1485
BACTEROIDES,0.0,538999
SUTTERELLA,0.0,40544
BARNESIELLA,0.0,397864
TURICIBACTER,0.0,191303
VEILLONELLA,0.0,29465
OLSENELLA,0.0,2847313
ANAEROTIGNUM,0.0,2039240
MONOGLOBUS,0.0,2039302
HOLDEMANELLA,0.0,1573535
